allocation_policy,scheduler_policy,probe_strategy,trial_count,paired_detection_probability,mean_absolute_timing_change_ns,endpoint_overlap_probability,link_overlap_probability
first_fit_admission,first_come_first_served,adaptive_explore_exploit,56,1.0,601.8452380952382,1.0,1.0
first_fit_admission,first_come_first_served,one_shot_candidate_cycle,56,1.0,601.8452380952382,1.0,1.0
first_fit_admission,first_come_first_served,one_shot_fixed,56,1.0,684.6428571428571,1.0,1.0
first_fit_admission,first_come_first_served,one_shot_knowledge_guided,56,1.0,690.1339285714286,1.0,1.0
first_fit_admission,randomized_arbitration,adaptive_explore_exploit,200,1.0,71.53333333333333,1.0,1.0
first_fit_admission,randomized_arbitration,one_shot_candidate_cycle,200,1.0,44.55,1.0,1.0
first_fit_admission,randomized_arbitration,one_shot_fixed,200,1.0,73.46666666666667,1.0,1.0
first_fit_admission,randomized_arbitration,one_shot_knowledge_guided,200,1.0,86.63541666666666,1.0,1.0
first_fit_admission,round_robin_tenants,adaptive_explore_exploit,80,1.0,128.95833333333331,1.0,1.0
first_fit_admission,round_robin_tenants,one_shot_candidate_cycle,80,1.0,128.625,1.0,1.0
first_fit_admission,round_robin_tenants,one_shot_fixed,80,1.0,146.83333333333331,1.0,1.0
first_fit_admission,round_robin_tenants,one_shot_knowledge_guided,80,1.0,153.58333333333331,1.0,1.0
load_balanced,endpoint_aware,adaptive_explore_exploit,96,0.0,0.0,0.0,0.0
load_balanced,endpoint_aware,one_shot_candidate_cycle,96,0.0,0.0,0.0,0.0
load_balanced,endpoint_aware,one_shot_fixed,96,0.0,0.0,0.0,0.0
load_balanced,endpoint_aware,one_shot_knowledge_guided,96,0.0,0.0,0.0,0.0
load_balanced,first_come_first_served,adaptive_explore_exploit,112,0.7857142857142857,575.9821428571429,0.0,0.0
load_balanced,first_come_first_served,one_shot_candidate_cycle,112,0.7857142857142857,558.8690476190476,0.0,0.0
load_balanced,first_come_first_served,one_shot_fixed,112,0.7857142857142857,549.9702380952381,0.0,0.0
load_balanced,first_come_first_served,one_shot_knowledge_guided,112,0.7857142857142857,564.7619047619048,0.0,0.0
load_balanced,randomized_arbitration,adaptive_explore_exploit,96,0.08333333333333333,0.06944444444444445,0.0,0.0
load_balanced,randomized_arbitration,one_shot_candidate_cycle,96,0.0,0.0,0.0,0.0
load_balanced,randomized_arbitration,one_shot_fixed,96,0.08333333333333333,0.06944444444444445,0.0,0.0
load_balanced,randomized_arbitration,one_shot_knowledge_guided,96,0.041666666666666664,0.034722222222222224,0.0,0.0
load_balanced,round_robin_tenants,adaptive_explore_exploit,168,0.047619047619047616,0.11904761904761904,0.0,0.0
load_balanced,round_robin_tenants,one_shot_candidate_cycle,168,0.047619047619047616,0.11904761904761904,0.0,0.0
load_balanced,round_robin_tenants,one_shot_fixed,168,0.0,0.0,0.0,0.0
load_balanced,round_robin_tenants,one_shot_knowledge_guided,168,0.023809523809523808,0.05952380952380952,0.0,0.0
uniform_random,endpoint_aware,adaptive_explore_exploit,128,0.625,72.60416666666667,0.5625,0.5
uniform_random,endpoint_aware,one_shot_candidate_cycle,128,0.625,69.453125,0.5625,0.5
uniform_random,endpoint_aware,one_shot_fixed,128,0.4375,77.34375,0.5625,0.5
uniform_random,endpoint_aware,one_shot_knowledge_guided,128,0.5,83.46354166666667,0.5625,0.5
uniform_random,first_come_first_served,adaptive_explore_exploit,160,1.0,1431.7916666666665,0.65,0.9
uniform_random,first_come_first_served,one_shot_candidate_cycle,160,1.0,1353.6875,0.65,0.9
uniform_random,first_come_first_served,one_shot_fixed,160,0.9,1010.2291666666666,0.65,0.9
uniform_random,first_come_first_served,one_shot_knowledge_guided,160,0.925,1317.6666666666665,0.65,0.9
uniform_random,randomized_arbitration,adaptive_explore_exploit,88,1.0,120.79545454545455,0.5454545454545454,0.9090909090909091
uniform_random,randomized_arbitration,one_shot_candidate_cycle,88,1.0,81.25,0.5454545454545454,0.9090909090909091
uniform_random,randomized_arbitration,one_shot_fixed,88,0.7272727272727273,71.43939393939394,0.5454545454545454,0.9090909090909091
uniform_random,randomized_arbitration,one_shot_knowledge_guided,88,0.8181818181818182,78.14393939393939,0.5454545454545454,0.9090909090909091
uniform_random,round_robin_tenants,adaptive_explore_exploit,144,0.8888888888888888,253.54166666666666,0.7222222222222222,0.8888888888888888
uniform_random,round_robin_tenants,one_shot_candidate_cycle,144,0.8888888888888888,233.81944444444446,0.7222222222222222,0.8888888888888888
uniform_random,round_robin_tenants,one_shot_fixed,144,0.8888888888888888,219.375,0.7222222222222222,0.8888888888888888
uniform_random,round_robin_tenants,one_shot_knowledge_guided,144,0.8611111111111112,245.0636574074074,0.7222222222222222,0.8888888888888888
