configuration_id,shared_endpoint,shared_switch_path,shared_link,shared_readout,shared_feedforward,shared_reset,shared_epr_pool,shared_count,shared_resources,configuration_class,affected_probe_fraction,speedup_probe_fraction,failure_transition_fraction,mean_excess_turnaround_ns,mean_absolute_timing_change_ns,cumulative_positive_excess_ns,maximum_positive_excess_ns,p95_positive_excess_ns,std_excess_turnaround_ns,longest_affected_run,affected_run_count,lag1_excess_autocorrelation,epr_miss_fraction,persistent_epr_state_fraction,direct_epr_generation_overlap_fraction,victim_mean_request_slowdown,victim_makespan_slowdown,victim_mean_added_turnaround_ns,classification_accuracy
cfg_0000000,False,False,False,False,False,False,False,0,none,everything_isolated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333
cfg_0000001,False,False,False,False,False,False,True,1,epr_pool,single_resource,0.6131944444444444,0.0,0.0,308.70791588132687,308.70791588132687,14817.979962303689,607.6559328300482,578.1559328300482,178.62937452248423,29.033333333333335,0.8666666666666667,0.5029753294828817,0.5055555555555555,0.3770833333333333,0.28125,1.7448091532481074,1.0239906645203953,208.98358673699266,1.0
cfg_0000010,False,False,False,False,False,True,False,1,reset,single_resource,0.6375,0.0,0.0,499.2984969587779,499.2984969587779,23966.32785402134,1072.783872938904,1029.8423492893141,353.4294602380205,30.066666666666666,1.4333333333333333,0.8623785298265548,0.0,0.0,0.0,1.0065771708311027,1.0003565683211881,4.987334522582061,1.0
cfg_0000011,False,False,False,False,False,True,True,2,reset+epr_pool,resource_pair,0.9083333333333333,0.0,0.0,505.05266404349254,505.05266404349254,24242.527874087642,1020.7015202054532,973.94954737614,311.15873764184715,43.233333333333334,1.1666666666666667,0.8340056201628772,0.5055555555555555,0.3770833333333333,0.28125,1.7498949432727204,1.024416215127025,212.6027448871019,1.0
cfg_0000100,False,False,False,False,True,False,False,1,feedforward,single_resource,0.06805555555555555,0.0,0.0,1.1644509368079636,1.1644509368079636,55.89364496678226,21.564332222543452,7.613198929180894,4.035103987588743,1.3666666666666667,2.2333333333333334,0.11467879183102428,0.0,0.0,0.0,1.0081495728358552,1.0001485853290368,3.1960203622207914,0.8666666666666667
cfg_0000101,False,False,False,False,True,False,True,2,feedforward+epr_pool,resource_pair,0.6305555555555556,0.0,0.0,310.287359525586,310.287359525586,14893.793257228128,613.4715731755973,580.5723235531965,179.20824936627722,29.3,1.4,0.5249561228655121,0.5055555555555555,0.3770833333333333,0.28125,1.749602849282945,1.0240480929766294,210.7821102707965,1.0
cfg_0000110,False,False,False,False,True,True,False,2,feedforward+reset,resource_pair,0.6451388888888889,0.0,0.0,501.9872523730561,501.9872523730561,24095.388113906687,1072.783872938904,1030.4105645928753,353.7518912364443,30.533333333333335,1.3333333333333333,0.8880622474438226,0.0,0.0,0.0,1.0073471722286118,1.0003565683211881,5.202934913884606,1.0
cfg_0000111,False,False,False,False,True,True,True,3,feedforward+reset+epr_pool,multi_resource,0.9104166666666667,0.0,0.0,507.7493201598335,507.7493201598335,24371.967367672005,1020.7015202054532,974.5177626797011,311.3561277557012,43.43333333333333,1.0666666666666667,0.8389335500822229,0.5055555555555555,0.3770833333333333,0.28125,1.7506571705180027,1.024416215127025,212.81616851578096,1.0
cfg_0001000,False,False,False,True,False,False,False,1,readout,single_resource,0.28680555555555554,0.0,0.0,15.176046273796384,15.176046273796384,728.4502211422265,80.81912689374956,57.017460746668526,20.609317144930344,6.433333333333334,3.066666666666667,0.4713678775817018,0.0,0.0,0.0,1.0242677909766287,1.0003660053833514,8.654512180371743,0.9666666666666667
cfg_0001001,False,False,False,True,False,False,True,2,readout+epr_pool,resource_pair,0.675,0.0,0.0,313.15868007127443,313.15868007127443,15031.616643421174,626.1437601540214,590.6722189398491,181.67252010066687,30.5,1.9333333333333333,0.6144670255911053,0.5055555555555555,0.3770833333333333,0.28125,1.7545092222679173,1.0239906645203953,212.24203584521783,1.0
cfg_0001010,False,False,False,True,False,True,False,2,readout+reset,resource_pair,0.6555555555555556,0.0,0.0,511.65070064811954,511.65070064811954,24559.23363110974,1072.783872938904,1039.8974491023023,354.4203027911651,31.1,1.3,0.9134186344947967,0.0,0.0,0.0,1.0090422644206642,1.0003565683211881,5.677560727659265,1.0
cfg_0001011,False,False,False,True,False,True,True,3,readout+reset+epr_pool,multi_resource,0.9194444444444444,0.0,0.0,513.8565416394545,513.8565416394545,24665.11399869381,1020.7015202054532,982.1166382352253,311.666232625944,43.86666666666667,1.0666666666666667,0.8428342668501239,0.5055555555555555,0.3770833333333333,0.28125,1.7534599312333783,1.0245722212203903,214.3097092146045,1.0
