configuration_id,resource_name,acquisition_count,total_wait_ns,total_cross_tenant_wait_ns,mean_wait_ns,max_wait_ns
cfg_0001100,reset,2455,0.0,0.0,0.0,0.0
cfg_0001100,switch_path,2455,0.0,0.0,0.0,0.0
cfg_0001101,endpoint,2455,157053.2740425175,0.0,63.972820383917515,529.3813849296707
cfg_0001101,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0001101,link,2455,0.0,0.0,0.0,0.0
cfg_0001101,readout,2455,5217.311284780375,5217.311284780375,2.125177712741497,69.23682673792246
cfg_0001101,reset,2455,0.0,0.0,0.0,0.0
cfg_0001101,switch_path,2455,0.0,0.0,0.0,0.0
cfg_0001110,endpoint,2455,830661.7873718011,0.0,338.3551068724241,2047.124827968768
cfg_0001110,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0001110,link,2455,0.0,0.0,0.0,0.0
cfg_0001110,readout,2455,18544.378817931673,18544.378817931673,7.553718459442637,64.85323981477995
cfg_0001110,reset,2455,34641.10587203433,34641.10587203433,14.110430090441682,50.0
cfg_0001110,switch_path,2455,0.0,0.0,0.0,0.0
cfg_0001111,endpoint,2455,439987.4630901856,0.0,179.22096256219373,1265.3282665131264
cfg_0001111,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0001111,link,2455,0.0,0.0,0.0,0.0
cfg_0001111,readout,2455,14583.900398172244,14583.900398172244,5.940488960558959,69.34541931828062
cfg_0001111,reset,2455,21438.2268222556,21438.2268222556,8.732475284014502,50.0
cfg_0001111,switch_path,2455,0.0,0.0,0.0,0.0
cfg_0010000,endpoint,2455,562951.3165137762,0.0,229.30807189970517,2007.124827968768
cfg_0010000,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0010000,link,2455,34017.50142887619,34017.50142887619,13.856416060642031,78.92247402337307
cfg_0010000,readout,2455,0.0,0.0,0.0,0.0
cfg_0010000,reset,2455,0.0,0.0,0.0,0.0
cfg_0010000,switch_path,2455,0.0,0.0,0.0,0.0
cfg_0010001,endpoint,2455,158551.56618137646,0.0,64.58312268080508,529.3813849296707
cfg_0010001,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0010001,link,2455,6761.8456737117285,6761.8456737117285,2.7543159567053883,80.0
cfg_0010001,readout,2455,0.0,0.0,0.0,0.0
cfg_0010001,reset,2455,0.0,0.0,0.0,0.0
cfg_0010001,switch_path,2455,0.0,0.0,0.0,0.0
cfg_0010010,endpoint,2455,830661.7873718011,0.0,338.3551068724241,2047.124827968768
cfg_0010010,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0010010,link,2455,24901.477031815277,24901.477031815277,10.14316783373331,74.85323981477995
cfg_0010010,readout,2455,0.0,0.0,0.0,0.0
cfg_0010010,reset,2455,28284.007658150727,28284.007658150727,11.520980716151008,40.0
cfg_0010010,switch_path,2455,0.0,0.0,0.0,0.0
cfg_0010011,endpoint,2455,439987.4630901856,0.0,179.22096256219373,1265.3282665131264
cfg_0010011,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0010011,link,2455,18314.332656899627,18314.332656899627,7.460013302199441,79.34541931828062
cfg_0010011,readout,2455,0.0,0.0,0.0,0.0
cfg_0010011,reset,2455,17707.794563528216,17707.794563528216,7.212950942374019,40.0
cfg_0010011,switch_path,2455,0.0,0.0,0.0,0.0
cfg_0010100,endpoint,2455,562951.3165137762,0.0,229.30807189970517,2007.124827968768
cfg_0010100,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0010100,link,2455,34017.50142887619,34017.50142887619,13.856416060642031,78.92247402337307
cfg_0010100,readout,2455,0.0,0.0,0.0,0.0
cfg_0010100,reset,2455,0.0,0.0,0.0,0.0
cfg_0010100,switch_path,2455,0.0,0.0,0.0,0.0
cfg_0010101,endpoint,2455,158551.56618137646,0.0,64.58312268080508,529.3813849296707
cfg_0010101,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0010101,link,2455,6761.8456737117285,6761.8456737117285,2.7543159567053883,80.0
cfg_0010101,readout,2455,0.0,0.0,0.0,0.0
cfg_0010101,reset,2455,0.0,0.0,0.0,0.0
cfg_0010101,switch_path,2455,0.0,0.0,0.0,0.0
cfg_0010110,endpoint,2455,830661.7873718011,0.0,338.3551068724241,2047.124827968768
cfg_0010110,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0010110,link,2455,24901.477031815277,24901.477031815277,10.14316783373331,74.85323981477995
cfg_0010110,readout,2455,0.0,0.0,0.0,0.0
cfg_0010110,reset,2455,28284.007658150727,28284.007658150727,11.520980716151008,40.0
cfg_0010110,switch_path,2455,0.0,0.0,0.0,0.0
cfg_0010111,endpoint,2455,439987.4630901856,0.0,179.22096256219373,1265.3282665131264
cfg_0010111,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0010111,link,2455,18314.332656899627,18314.332656899627,7.460013302199441,79.34541931828062
cfg_0010111,readout,2455,0.0,0.0,0.0,0.0
cfg_0010111,reset,2455,17707.794563528216,17707.794563528216,7.212950942374019,40.0
cfg_0010111,switch_path,2455,0.0,0.0,0.0,0.0
cfg_0011000,endpoint,2455,562951.3165137762,0.0,229.30807189970517,2007.124827968768
cfg_0011000,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0011000,link,2455,34017.50142887619,34017.50142887619,13.856416060642031,78.92247402337307
cfg_0011000,readout,2455,0.0,0.0,0.0,0.0
cfg_0011000,reset,2455,0.0,0.0,0.0,0.0
cfg_0011000,switch_path,2455,0.0,0.0,0.0,0.0
cfg_0011001,endpoint,2455,158551.56618137646,0.0,64.58312268080508,529.3813849296707
cfg_0011001,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0011001,link,2455,6761.8456737117285,6761.8456737117285,2.7543159567053883,80.0
cfg_0011001,readout,2455,0.0,0.0,0.0,0.0
cfg_0011001,reset,2455,0.0,0.0,0.0,0.0
cfg_0011001,switch_path,2455,0.0,0.0,0.0,0.0
cfg_0011010,endpoint,2455,830661.7873718011,0.0,338.3551068724241,2047.124827968768
cfg_0011010,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0011010,link,2455,24901.477031815277,24901.477031815277,10.14316783373331,74.85323981477995
cfg_0011010,readout,2455,0.0,0.0,0.0,0.0
cfg_0011010,reset,2455,28284.007658150727,28284.007658150727,11.520980716151008,40.0
cfg_0011010,switch_path,2455,0.0,0.0,0.0,0.0
cfg_0011011,endpoint,2455,439987.4630901856,0.0,179.22096256219373,1265.3282665131264
cfg_0011011,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0011011,link,2455,18314.332656899627,18314.332656899627,7.460013302199441,79.34541931828062
cfg_0011011,readout,2455,0.0,0.0,0.0,0.0
cfg_0011011,reset,2455,17707.794563528216,17707.794563528216,7.212950942374019,40.0
cfg_0011011,switch_path,2455,0.0,0.0,0.0,0.0
cfg_0011100,endpoint,2455,562951.3165137762,0.0,229.30807189970517,2007.124827968768
cfg_0011100,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0011100,link,2455,34017.50142887619,34017.50142887619,13.856416060642031,78.92247402337307
cfg_0011100,readout,2455,0.0,0.0,0.0,0.0
cfg_0011100,reset,2455,0.0,0.0,0.0,0.0
cfg_0011100,switch_path,2455,0.0,0.0,0.0,0.0
cfg_0011101,endpoint,2455,158551.56618137646,0.0,64.58312268080508,529.3813849296707
cfg_0011101,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0011101,link,2455,6761.8456737117285,6761.8456737117285,2.7543159567053883,80.0
cfg_0011101,readout,2455,0.0,0.0,0.0,0.0
cfg_0011101,reset,2455,0.0,0.0,0.0,0.0
cfg_0011101,switch_path,2455,0.0,0.0,0.0,0.0
cfg_0011110,endpoint,2455,830661.7873718011,0.0,338.3551068724241,2047.124827968768
cfg_0011110,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0011110,link,2455,24901.477031815277,24901.477031815277,10.14316783373331,74.85323981477995
cfg_0011110,readout,2455,0.0,0.0,0.0,0.0
cfg_0011110,reset,2455,28284.007658150727,28284.007658150727,11.520980716151008,40.0
cfg_0011110,switch_path,2455,0.0,0.0,0.0,0.0
cfg_0011111,endpoint,2455,439987.4630901856,0.0,179.22096256219373,1265.3282665131264
cfg_0011111,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0011111,link,2455,18314.332656899627,18314.332656899627,7.460013302199441,79.34541931828062
cfg_0011111,readout,2455,0.0,0.0,0.0,0.0
cfg_0011111,reset,2455,17707.794563528216,17707.794563528216,7.212950942374019,40.0
cfg_0011111,switch_path,2455,0.0,0.0,0.0,0.0
cfg_0100000,endpoint,2455,106281.1571655842,0.0,43.29171371306892,574.8340369363686
cfg_0100000,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0100000,link,2455,0.0,0.0,0.0,0.0
cfg_0100000,readout,2455,0.0,0.0,0.0,0.0
cfg_0100000,reset,2455,0.0,0.0,0.0,0.0
cfg_0100000,switch_path,2455,587.7211754852824,587.7211754852824,0.2393976274889134,14.966755579713208
cfg_0100001,endpoint,2455,153440.67900618116,0.0,62.50129491086809,529.3813849296707
cfg_0100001,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0100001,link,2455,0.0,0.0,0.0,0.0
cfg_0100001,readout,2455,0.0,0.0,0.0,0.0
cfg_0100001,reset,2455,0.0,0.0,0.0,0.0
cfg_0100001,switch_path,2455,220.6905432155886,220.6905432155886,0.08989431495543324,14.34541931828062
cfg_0100010,endpoint,2455,830661.7873718011,0.0,338.3551068724241,2047.124827968768
cfg_0100010,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0100010,link,2455,0.0,0.0,0.0,0.0
cfg_0100010,readout,2455,0.0,0.0,0.0,0.0
cfg_0100010,reset,2455,53140.30307715497,53140.30307715497,21.64574463427901,105.0
cfg_0100010,switch_path,2455,45.18161281102857,45.18161281102857,0.018403915605306954,9.853239814779954
cfg_0100011,endpoint,2455,439987.4630901856,0.0,179.22096256219373,1265.3282665131264
cfg_0100011,feedforward,2455,0.0,0.0,0.0,0.0
cfg_0100011,link,2455,0.0,0.0,0.0,0.0
cfg_0100011,readout,2455,0.0,0.0,0.0,0.0
cfg_0100011,reset,2455,35964.933817215824,35964.933817215824,14.649667542654104,105.0
cfg_0100011,switch_path,2455,57.19340321201844,57.19340321201844,0.02329670191935578,14.34541931828062
cfg_0100100,endpoint,2455,107363.22007247238,0.0,43.732472534611965,614.85323981478
cfg_0100100,feedforward,2455,3402.220740543238,3402.220740543238,1.3858332955369606,25.0
cfg_0100100,link,2455,0.0,0.0,0.0,0.0
cfg_0100100,readout,2455,0.0,0.0,0.0,0.0
cfg_0100100,reset,2455,0.0,0.0,0.0,0.0
cfg_0100100,switch_path,2455,386.96547253632707,386.96547253632707,0.15762341040176256,14.966755579713208
cfg_0100101,endpoint,2455,155166.06099838665,0.0,63.20409816634894,529.3813849296707
cfg_0100101,feedforward,2455,1705.7442850190553,1705.7442850190553,0.6948041894171304,25.0
cfg_0100101,link,2455,0.0,0.0,0.0,0.0
cfg_0100101,readout,2455,0.0,0.0,0.0,0.0
cfg_0100101,reset,2455,0.0,0.0,0.0,0.0
cfg_0100101,switch_path,2455,273.0243200062009,273.0243200062009,0.1112115356440737,14.236826737922456
cfg_0100110,endpoint,2455,830661.7873718011,0.0,338.3551068724241,2047.124827968768
cfg_0100110,feedforward,2455,4063.474418147028,4063.474418147028,1.6551830623816814,25.0
cfg_0100110,link,2455,0.0,0.0,0.0,0.0
cfg_0100110,readout,2455,0.0,0.0,0.0,0.0
