resource_name,metric,isolated_value,single_resource_value,sufficiency_increment_over_isolated,all_shared_value,all_shared_minus_resource_value,necessity_drop_when_privatized
endpoint,affected_probe_fraction,0.0,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.920138888888889,0.05902777777777768
endpoint,mean_absolute_timing_change_ns,0.0,6346.666666666667,6346.666666666667,6352.5,515.9746816357934,5836.525318364206
endpoint,cumulative_positive_excess_ns,0.0,304640.0,304640.0,304920.0,24766.784718518084,280153.2152814819
endpoint,maximum_positive_excess_ns,0.0,12413.333333333334,12413.333333333334,12416.666666666666,1020.7015202054532,11395.965146461212
endpoint,longest_affected_run,0.0,47.0,47.0,47.0,43.9,3.1000000000000014
endpoint,victim_mean_request_slowdown,1.0,20.01047369046559,19.01047369046559,20.0022127352021,1.7546798533414563,18.247532881860643
endpoint,victim_makespan_slowdown,1.0,1.6249137617398397,0.6249137617398397,1.6249137617398397,1.0246242232515121,0.6002895384883276
endpoint,classification_accuracy,0.3333333333333333,1.0,0.6666666666666667,1.0,1.0,0.0
switch_path,affected_probe_fraction,0.0,0.02986111111111111,0.02986111111111111,0.9791666666666666,0.9791666666666666,0.0
switch_path,mean_absolute_timing_change_ns,0.0,0.2523874637697162,0.2523874637697162,6352.5,6352.5,0.0
switch_path,cumulative_positive_excess_ns,0.0,12.114598260946376,12.114598260946376,304920.0,304920.0,0.0
switch_path,maximum_positive_excess_ns,0.0,8.691777914914352,8.691777914914352,12416.666666666666,12416.666666666666,0.0
switch_path,longest_affected_run,0.0,0.7333333333333333,0.7333333333333333,47.0,47.0,0.0
switch_path,victim_mean_request_slowdown,1.0,1.0008457198184175,0.000845719818417523,20.0022127352021,20.0022127352021,0.0
switch_path,victim_makespan_slowdown,1.0,1.0,0.0,1.6249137617398397,1.6249137617398397,0.0
switch_path,classification_accuracy,0.3333333333333333,0.5666666666666667,0.23333333333333334,1.0,1.0,0.0
link,affected_probe_fraction,0.0,0.4048611111111111,0.4048611111111111,0.9791666666666666,0.9791666666666666,0.0
link,mean_absolute_timing_change_ns,0.0,335.98914664861553,335.98914664861553,6352.5,6352.5,0.0
link,cumulative_positive_excess_ns,0.0,16127.479039133546,16127.479039133546,304920.0,304920.0,0.0
link,maximum_positive_excess_ns,0.0,689.5247592767449,689.5247592767449,12416.666666666666,12416.666666666666,0.0
link,longest_affected_run,0.0,17.1,17.1,47.0,47.0,0.0
link,victim_mean_request_slowdown,1.0,1.0188627528862098,0.018862752886209755,20.0022127352021,20.0022127352021,0.0
link,victim_makespan_slowdown,1.0,1.0002872406571377,0.00028724065713769953,1.6249137617398397,1.6249137617398397,0.0
link,classification_accuracy,0.3333333333333333,0.9666666666666667,0.6333333333333333,1.0,1.0,0.0
readout,affected_probe_fraction,0.0,0.28680555555555554,0.28680555555555554,0.9791666666666666,0.9791666666666666,0.0
readout,mean_absolute_timing_change_ns,0.0,15.176046273796384,15.176046273796384,6352.5,6352.5,0.0
readout,cumulative_positive_excess_ns,0.0,728.4502211422265,728.4502211422265,304920.0,304920.0,0.0
readout,maximum_positive_excess_ns,0.0,80.81912689374956,80.81912689374956,12416.666666666666,12416.666666666666,0.0
readout,longest_affected_run,0.0,6.433333333333334,6.433333333333334,47.0,47.0,0.0
readout,victim_mean_request_slowdown,1.0,1.0242677909766287,0.024267790976628678,20.0022127352021,20.0022127352021,0.0
readout,victim_makespan_slowdown,1.0,1.0003660053833514,0.00036600538335140875,1.6249137617398397,1.6249137617398397,0.0
readout,classification_accuracy,0.3333333333333333,0.9666666666666667,0.6333333333333333,1.0,1.0,0.0
feedforward,affected_probe_fraction,0.0,0.06805555555555555,0.06805555555555555,0.9791666666666666,0.9791666666666666,0.0
feedforward,mean_absolute_timing_change_ns,0.0,1.1644509368079636,1.1644509368079636,6352.5,6352.5,0.0
feedforward,cumulative_positive_excess_ns,0.0,55.89364496678226,55.89364496678226,304920.0,304920.0,0.0
feedforward,maximum_positive_excess_ns,0.0,21.564332222543452,21.564332222543452,12416.666666666666,12416.666666666666,0.0
feedforward,longest_affected_run,0.0,1.3666666666666667,1.3666666666666667,47.0,47.0,0.0
feedforward,victim_mean_request_slowdown,1.0,1.0081495728358552,0.008149572835855157,20.0022127352021,20.0022127352021,0.0
feedforward,victim_makespan_slowdown,1.0,1.0001485853290368,0.0001485853290368322,1.6249137617398397,1.6249137617398397,0.0
feedforward,classification_accuracy,0.3333333333333333,0.8666666666666667,0.5333333333333334,1.0,1.0,0.0
reset,affected_probe_fraction,0.0,0.6375,0.6375,0.9791666666666666,0.9791666666666666,0.0
reset,mean_absolute_timing_change_ns,0.0,499.2984969587779,499.2984969587779,6352.5,6352.5,0.0
reset,cumulative_positive_excess_ns,0.0,23966.32785402134,23966.32785402134,304920.0,304920.0,0.0
reset,maximum_positive_excess_ns,0.0,1072.783872938904,1072.783872938904,12416.666666666666,12416.666666666666,0.0
reset,longest_affected_run,0.0,30.066666666666666,30.066666666666666,47.0,47.0,0.0
reset,victim_mean_request_slowdown,1.0,1.0065771708311027,0.006577170831102652,20.0022127352021,20.0022127352021,0.0
reset,victim_makespan_slowdown,1.0,1.0003565683211881,0.0003565683211881332,1.6249137617398397,1.6249137617398397,0.0
reset,classification_accuracy,0.3333333333333333,1.0,0.6666666666666667,1.0,1.0,0.0
epr_pool,affected_probe_fraction,0.0,0.6131944444444444,0.6131944444444444,0.9791666666666666,0.9791666666666666,0.0
epr_pool,mean_absolute_timing_change_ns,0.0,308.70791588132687,308.70791588132687,6352.5,6346.666666666667,5.83333333333303
epr_pool,cumulative_positive_excess_ns,0.0,14817.979962303689,14817.979962303689,304920.0,304640.0,280.0
epr_pool,maximum_positive_excess_ns,0.0,607.6559328300482,607.6559328300482,12416.666666666666,12413.333333333334,3.3333333333321207
epr_pool,longest_affected_run,0.0,29.033333333333335,29.033333333333335,47.0,47.0,0.0
epr_pool,victim_mean_request_slowdown,1.0,1.7448091532481074,0.7448091532481074,20.0022127352021,20.01047369046559,-0.008260955263491354
epr_pool,victim_makespan_slowdown,1.0,1.0239906645203953,0.023990664520395333,1.6249137617398397,1.6249137617398397,0.0
epr_pool,classification_accuracy,0.3333333333333333,1.0,0.6666666666666667,1.0,1.0,0.0
