scheduler_policy,queue_depth,tenant_count,hub_capacity,link_capacity,communication_qubits_per_module,priority_profile,decision_interval_ns,lookahead_window_ns,preemption_allowed,epr_prefetch_enabled,trial_count,mean_remote_latency_ns,p95_remote_latency_ns,p99_remote_latency_ns,mean_queue_delay_ns,p95_queue_delay_ns,mean_positive_delay_fraction,mean_negative_speedup_fraction,mean_failure_transition_fraction,mean_observable_change_fraction,mean_signed_attacker_change_ns,mean_absolute_attacker_change_ns,mean_victim_slowdown_ratio_successful_only,victim_success_probability,tenant_success_fairness,tenant_wait_fairness,hub_utilization,link_utilization,communication_qubit_utilization,scheduler_reordering_rate,deadline_miss_fraction,mean_phase_boundary_visibility,mean_preemption_count,mean_epr_expiration_fraction,mean_queue_occupancy,mean_maximum_queue_occupancy,request_rejection_fraction
coherence_deadline,8,4,2,1,1,equal,20,500,False,False,15,229.1620579417875,688.2666666666662,1020.7326666666664,113.69307432655226,575.8333333333328,0.01944444444444444,0.0027777777777777775,0.3097222222222222,0.3319444444444445,2.75,3.0277777777777777,,0.0,0.7868024446481467,0.5824517694864809,0.21764823821464674,0.13450607109254387,0.17411859057171739,0.003469441975850287,0.38251699907724573,0.6045491143317231,0.0,0.0,0.3994644619942976,8.0,0.4249775381850854
coherence_deadline,8,4,2,1,2,equal,20,500,False,False,15,224.34597491487403,682.493333333333,933.4433333333329,108.94578721188809,569.4266666666663,0.004166666666666667,0.0027777777777777775,0.375,0.3819444444444445,39.69444444444444,40.30555555555556,,0.0,0.730624852120996,0.5937300737332171,0.20590784889031202,0.12748693844564923,0.08236313955612481,0.00586644906292546,0.40713342081700715,0.33043478260869563,0.0,0.0,0.36760993487605753,8.0,0.46001796945193174
coherence_deadline,8,4,2,1,4,equal,20,500,False,False,15,224.9363703225776,674.4599999999995,949.009333333333,109.228364469416,561.4066666666661,0.004166666666666667,0.0,0.375,0.37916666666666665,40.0,40.0,,0.0,0.782598577057063,0.6237559124041564,0.21393558494376236,0.13452057287624344,0.04278711698875247,0.005231684708857021,0.37942735432393876,0.33043478260869563,0.0,0.0,0.3771272647237895,8.0,0.4330637915543576
coherence_deadline,8,4,2,1,8,equal,20,500,False,False,15,221.28470703569118,658.1633333333326,938.1499999999997,106.0115196428382,544.6633333333326,0.004166666666666667,0.01111111111111111,0.3097222222222222,0.325,31.166666666666668,33.05555555555556,,0.0,0.7651450149487252,0.6584386172220164,0.2169714207543216,0.13327493560789364,0.02169714207543216,0.005430856856778793,0.38562948062900626,0.32822636300897173,0.0,0.0,0.3713463498338841,8.0,0.4299191374663073
coherence_deadline,32,4,2,1,1,equal,20,500,False,False,15,865.9961809761892,2587.5299999999997,2941.438,751.2322576235314,2473.2966666666666,0.1513888888888889,0.0013888888888888887,0.3111111111111111,0.46388888888888885,175.91666666666666,176.13888888888889,1.0142088573769907,0.4,0.8892529047859712,0.5843136642898099,0.29397265998794947,0.17440369540324407,0.23517812799035953,0.021609818666654193,0.39714879275268267,0.7550085931929903,0.0,0.0,3.6333238901725133,24.8,0.23180592991913745
coherence_deadline,32,4,2,1,2,equal,20,500,False,False,15,709.629522346212,2404.436666666666,2706.014666666667,595.1653605897088,2292.936666666666,0.013888888888888888,0.0,0.2513888888888889,0.2652777777777778,12.0,12.0,1.0,0.4,0.8906327004808684,0.5580931242933088,0.296341267926706,0.17335312235017733,0.11853650717068241,0.02957537261732968,0.33761200785299456,0.2601823708206687,0.0,0.0,3.032146858788896,24.533333333333335,0.2138364779874214
coherence_deadline,32,4,2,1,4,equal,20,500,False,False,15,735.8775238303366,2390.683333333333,2679.9126666666666,621.1825169750272,2278.323333333333,0.0125,0.009722222222222222,0.3111111111111111,0.3333333333333333,18.444444444444446,19.72222222222222,1.0,0.4,0.8919999071657031,0.5470266957097499,0.29321145153038003,0.17373946368267326,0.05864229030607601,0.028002407540767948,0.35083478044199107,0.3260385005065856,0.0,0.0,3.0896608544375024,24.466666666666665,0.22192273135669363
coherence_deadline,32,4,2,1,8,equal,20,500,False,False,15,662.5160636206122,2358.059999999999,2672.7633333333333,547.9901069851514,2245.8299999999995,0.016666666666666666,0.0,0.19166666666666668,0.20833333333333334,34.083333333333336,34.083333333333336,1.0,0.4,0.9337955950952616,0.5449370857300316,0.3103079966225158,0.18198632943029344,0.031030799662251578,0.025632123506007024,0.30951109769420965,0.23829787234042552,0.0,0.0,3.002316868169613,24.4,0.18104222821203952
coherence_deadline,128,4,2,1,1,equal,20,500,False,False,15,1494.352218449061,4422.1466666666665,4888.905333333333,1380.2841237859757,4308.833333333333,0.30694444444444446,0.0013888888888888887,0.0,0.30833333333333335,194.80555555555557,195.19444444444443,1.0207699140648372,1.0,1.0,0.6428017562471914,0.3798090028500473,0.21445268747197585,0.30384720228003786,0.0446116865532347,0.3364424175339735,0.7484308292818932,0.0,0.0,11.185067256937849,41.46666666666667,0.0
coherence_deadline,128,4,2,1,2,equal,20,500,False,False,15,1060.7128869208486,3513.283333333333,3937.0693333333334,946.6447922577632,3399.816666666666,0.07638888888888888,0.0,0.0,0.07638888888888888,9.13888888888889,9.13888888888889,1.00624622885878,1.0,1.0,0.5712816892443431,0.3750259410169205,0.21174081155737964,0.15001037640676823,0.04176011887983046,0.26449438680653103,0.23533204384268214,0.0,0.0,7.289688918155483,37.86666666666667,0.0
coherence_deadline,128,4,2,1,4,equal,20,500,False,False,15,1037.9892841562823,3457.169999999999,3860.325333333333,923.9211894931972,3344.0699999999993,0.08194444444444444,0.0,0.0,0.08194444444444444,20.111111111111107,20.111111111111107,1.0014088659423894,1.0,1.0,0.579956751094316,0.3760487611911733,0.212234195704034,0.07520975223823467,0.040613933258417716,0.2598034766203647,0.2,0.0,0.0,7.209954756388583,37.8,0.0
coherence_deadline,128,4,2,1,8,equal,20,500,False,False,15,1040.3306400457543,3448.4833333333327,3864.132,926.2625453826693,3337.3666666666663,0.08055555555555555,0.0,0.0,0.08055555555555555,18.97222222222222,18.97222222222222,1.0015855879404514,1.0,1.0,0.5820449710075176,0.3751886524666167,0.21193386892578214,0.037518865246661676,0.040846703316631476,0.2578746834021976,0.2127659574468085,0.0,0.0,7.126894402646155,38.2,0.0
dependency_ready,8,4,2,1,1,equal,20,500,False,False,15,229.88365113840524,714.2999999999996,1058.3739999999998,114.41466752317,599.3833333333329,0.016666666666666666,0.0013888888888888887,0.3097222222222222,0.3277777777777778,2.0277777777777777,2.138888888888889,,0.0,0.7868024446481467,0.5757834021068484,0.21764823821464674,0.13450607109254387,0.17411859057171739,0.0053105050345900184,0.38571297140557104,0.4712157809983897,0.0,0.0,0.40319975175688355,8.0,0.4249775381850854
dependency_ready,8,4,2,1,2,equal,20,500,False,False,15,224.34597491487403,682.5133333333329,966.4999999999997,108.94578721188809,566.9799999999996,0.004166666666666667,0.0027777777777777775,0.375,0.3819444444444445,23.86111111111111,24.13888888888889,,0.0,0.730624852120996,0.5811816969909754,0.20590784889031202,0.12748693844564923,0.08236313955612481,0.006861623667841337,0.41163342081700716,0.33043478260869563,0.0,0.0,0.36760993487605753,8.0,0.46001796945193174
dependency_ready,8,4,2,1,4,equal,20,500,False,False,15,225.20303698924425,667.0699999999994,1010.233333333333,109.49503113608266,552.2033333333327,0.004166666666666667,0.0,0.375,0.37916666666666665,24.0,24.0,,0.0,0.782598577057063,0.6165689075572006,0.21393558494376236,0.13452057287624344,0.04278711698875247,0.006432653420778176,0.38542735432393876,0.33043478260869563,0.0,0.0,0.3780813493988044,8.0,0.4330637915543576
