subexperiment,configuration_id,allocation_policy,communication_qubits_per_module,tenants_sharing_module,reservation_duration_ns,reset_time_ns,epr_prefetch_enabled,allocation_coordination,allocation_granularity,trial_count,mean_cq_queue_delay_ns,mean_excess_cq_queue_delay_ns,mean_excess_latency_ns,mean_detection_probability,mean_balanced_detection_accuracy,mean_conflict_count,mean_request_failure_rate,mean_cq_utilization,mean_reset_utilization,mean_allocation_hold_utilization,mean_reservation_utilization,mean_effective_cq_utilization,mean_epr_wastage_fraction,mean_grant_fairness,mean_wait_fairness,mean_victim_slowdown_ratio,mean_allocation_change_probability,mean_redirected_endpoints
core_policy_capacity_tenancy,core_policy_capacity_tenancy__coherence_aware__cq8__ten4__res500__reset50__noepr__global__per_operation,coherence_aware,8,4,500,50,False,global,per_operation,15,0.0,0.0,0.0,0.0,0.5,365.06666666666666,0.0,0.03507881738745481,0.01594491699429764,0.0,0.13899337805953607,0.1900171124412885,0.0,0.7677149113724713,0.6511775229382365,1.0003567184446538,0.0,0.0
core_policy_capacity_tenancy,core_policy_capacity_tenancy__coherence_aware__cq8__ten8__res500__reset50__noepr__global__per_operation,coherence_aware,8,8,500,50,False,global,per_operation,15,0.0,0.0,0.0,0.0,0.5,785.4666666666667,0.0,0.05366185591971114,0.024391752690777792,0.0,0.23497299573042238,0.3130266043409113,0.0,0.7482382334044941,0.49203713811306654,1.0017888893310796,0.10555555555555556,0.0
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq1__ten2__res500__reset50__noepr__global__per_operation,fair_share,1,2,500,50,False,global,per_operation,15,0.0,0.0,0.0,0.0,0.5,9284.8,0.27701265358518246,0.15316845543630425,0.06962202519832011,0.0,0.473560429304713,0.6963509099393373,0.0,0.8677455078443082,0.5013972960058183,0.5681747719389878,0.0,0.0
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq1__ten3__res500__reset50__noepr__global__per_operation,fair_share,1,3,500,50,False,global,per_operation,15,6.740277777777777,0.0,0.0,0.0,0.5,11934.2,0.31288576824430164,0.1590825210167375,0.07231023682578978,0.0,0.4667542098025139,0.6981469676450412,0.0,0.7331190401266079,0.3397537802199882,0.5563073204616794,0.0,0.0
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq1__ten4__res500__reset50__noepr__global__per_operation,fair_share,1,4,500,50,False,global,per_operation,15,4.166666666666667,-5.104166666666667,-5.104166666666667,0.0,0.5,15355.266666666666,0.35041307353831075,0.16221361399783366,0.0737334609081062,0.0,0.4617536809267083,0.697700755832648,0.0,0.6549250712620982,0.2526489307471025,0.539361251227742,0.0,0.0
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq1__ten8__res500__reset50__noepr__global__per_operation,fair_share,1,8,500,50,False,global,per_operation,15,9.152777777777779,0.0,0.0,0.0,0.5,35334.0,0.4902731159876976,0.1648127675923536,0.07491489436016073,0.0,0.4510460167189232,0.6907736786714375,0.0,0.4748191357084556,0.14566588698141603,0.6417355185166914,0.0,0.0
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq2__ten2__res500__reset50__noepr__global__per_operation,fair_share,2,2,500,50,False,global,per_operation,15,0.0,0.0,0.0,0.0,0.5,6405.2,0.0,0.1112832477834811,0.05058329444703687,0.0,0.39559496033597763,0.5574615025664955,0.0,0.9011615494493965,0.5011969625105086,1.0992059005155985,0.30833333333333335,0.0
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq2__ten3__res500__reset50__noepr__global__per_operation,fair_share,2,3,500,50,False,global,per_operation,15,0.0,0.0,0.0,0.0,0.5,7523.533333333334,0.0010869565217391304,0.12511980072459275,0.05687263669299671,0.0,0.4498471490436968,0.6318395864612864,0.0,0.8037733865411387,0.33952063353280043,1.127601947098453,0.3541666666666667,0.0
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq2__ten4__res500__reset50__noepr__global__per_operation,fair_share,2,4,500,50,False,global,per_operation,15,0.0,0.0,0.0,0.0,0.5,9534.066666666668,0.004754901960784314,0.14096131767711081,0.06407332621686855,0.0,0.4991434057612552,0.7041780496552346,0.0,0.7631032629339234,0.25185076912951854,1.1273862264885974,0.5513888888888889,0.0
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq2__ten8__res500__reset50__noepr__global__per_operation,fair_share,2,8,500,50,False,global,per_operation,15,5.769444444444444,0.0,0.0,0.0,0.5,32558.6,0.12394089440278337,0.16569101247687001,0.07531409658039546,0.0,0.5305537993025483,0.7715589083598139,0.0,0.7589957055640777,0.12947993770822108,1.0940373798963392,0.24166666666666667,0.0
