protocol_context,protocol_name,spatial_mode,matching_scenario_id,nonmatching_scenario_id,common_stack_description,matching_semantics,nonmatching_semantics
direct_coherent_all_shared_local_route,direct_coherent_remote_cx,localized_only,direct_coherent_remote_cx__all_used_shared,direct_coherent_remote_cx__isolated,global switch-path + synchronous quantum-link background,probe target equals hidden victim region -> matching scenario,probe target differs from hidden victim region -> nonmatching scenario
direct_coherent_all_shared_local_route,direct_coherent_remote_cx,hybrid_local_global,direct_coherent_remote_cx__all_used_shared,direct_coherent_remote_cx__share_interconnect_stack,global switch-path + synchronous quantum-link background,probe target equals hidden victim region -> matching scenario,probe target differs from hidden victim region -> nonmatching scenario
direct_coherent_all_shared_local_route,direct_coherent_remote_cx,global_only_control,direct_coherent_remote_cx__share_interconnect_stack,direct_coherent_remote_cx__share_interconnect_stack,global switch-path + synchronous quantum-link background,probe target equals hidden victim region -> matching scenario,probe target differs from hidden victim region -> nonmatching scenario
entanglement_assisted_all_shared_local_route,entanglement_assisted_remote_cx,localized_only,entanglement_assisted_remote_cx__all_used_shared,entanglement_assisted_remote_cx__isolated,global readout + feedforward backend background,probe target equals hidden victim region -> matching scenario,probe target differs from hidden victim region -> nonmatching scenario
entanglement_assisted_all_shared_local_route,entanglement_assisted_remote_cx,hybrid_local_global,entanglement_assisted_remote_cx__all_used_shared,entanglement_assisted_remote_cx__share_measurement_stack,global readout + feedforward backend background,probe target equals hidden victim region -> matching scenario,probe target differs from hidden victim region -> nonmatching scenario
entanglement_assisted_all_shared_local_route,entanglement_assisted_remote_cx,global_only_control,entanglement_assisted_remote_cx__share_measurement_stack,entanglement_assisted_remote_cx__share_measurement_stack,global readout + feedforward backend background,probe target equals hidden victim region -> matching scenario,probe target differs from hidden victim region -> nonmatching scenario
