trace_id,protocol_context,probe_index,probe_region,release_ns,attacker_only_success,combined_success,attacker_only_completion_ns,combined_completion_ns,attacker_only_turnaround_ns,combined_turnaround_ns,excess_turnaround_ns,delayed,speedup,failure_transition
d9f8c9901e78dda1c5b9,direct_coherent_all_shared_local_route,40,module_1,16830.0,True,True,16980.0,16980.0,150.0,150.0,0.0,False,False,False
d9f8c9901e78dda1c5b9,direct_coherent_all_shared_local_route,41,module_4,17250.0,True,True,17400.0,17400.0,150.0,150.0,0.0,False,False,False
d9f8c9901e78dda1c5b9,direct_coherent_all_shared_local_route,42,module_3,17670.0,True,True,17820.0,17820.0,150.0,150.0,0.0,False,False,False
d9f8c9901e78dda1c5b9,direct_coherent_all_shared_local_route,43,module_2,18090.0,True,True,18240.0,18240.0,150.0,150.0,0.0,False,False,False
d9f8c9901e78dda1c5b9,direct_coherent_all_shared_local_route,44,module_3,18510.0,True,True,18660.0,18660.0,150.0,150.0,0.0,False,False,False
d9f8c9901e78dda1c5b9,direct_coherent_all_shared_local_route,45,module_2,18930.0,True,True,19080.0,19080.0,150.0,150.0,0.0,False,False,False
d9f8c9901e78dda1c5b9,direct_coherent_all_shared_local_route,46,module_1,19350.0,True,True,19500.0,19500.0,150.0,150.0,0.0,False,False,False
d9f8c9901e78dda1c5b9,direct_coherent_all_shared_local_route,47,module_4,19770.0,True,True,19920.0,19920.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,0,module_4,30.0,True,True,180.0,180.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,1,module_3,450.0,True,True,600.0,600.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,2,module_1,870.0,True,True,1020.0,1020.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,3,module_2,1290.0,True,True,1440.0,1440.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,4,module_4,1710.0,True,True,1860.0,1860.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,5,module_3,2130.0,True,True,2280.0,2280.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,6,module_1,2550.0,True,True,2700.0,2700.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,7,module_2,2970.0,True,True,3120.0,3120.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,8,module_1,3390.0,True,True,3540.0,3540.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,9,module_4,3810.0,True,True,3960.0,3960.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,10,module_3,4230.0,True,True,4380.0,4380.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,11,module_2,4650.0,True,True,4800.0,4800.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,12,module_2,5070.0,True,True,5220.0,5220.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,13,module_1,5490.0,True,True,5640.0,5640.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,14,module_3,5910.0,True,True,6060.0,6060.0,150.0,150.0,0.0,False,False,False
207f197f786a2ec1895f,direct_coherent_all_shared_local_route,15,module_4,6330.0,True,True,6480.0,6480.0,150.0,150.0,0.0,False,False,False
