protocol_context,spatial_mode,model_name,probe_budget,probes_per_region_nominal,sample_count,accuracy,balanced_accuracy,macro_f1,top2_accuracy
direct_coherent_all_shared_local_route,global_only_control,random_forest,8,2.0,48,0.25,0.25,0.21205357142857142,0.5
direct_coherent_all_shared_local_route,global_only_control,argmax_cumulative_positive,8,2.0,48,0.25,0.24999999999999997,0.24285714285714283,
direct_coherent_all_shared_local_route,hybrid_local_global,random_forest,8,2.0,48,0.7083333333333334,0.7083333333333334,0.7066511387163561,0.8333333333333334
direct_coherent_all_shared_local_route,hybrid_local_global,argmax_cumulative_positive,8,2.0,48,0.7083333333333334,0.7083333333333334,0.70923197492163,
direct_coherent_all_shared_local_route,localized_only,random_forest,8,2.0,48,0.7916666666666666,0.7916666666666666,0.8050420168067227,0.8541666666666666
direct_coherent_all_shared_local_route,localized_only,argmax_cumulative_positive,8,2.0,48,0.75,0.75,0.7651629072681704,
entanglement_assisted_all_shared_local_route,global_only_control,random_forest,8,2.0,48,0.25,0.25,0.2,0.5
entanglement_assisted_all_shared_local_route,global_only_control,argmax_cumulative_positive,8,2.0,48,0.25,0.24999999999999997,0.24285714285714283,
entanglement_assisted_all_shared_local_route,hybrid_local_global,random_forest,8,2.0,48,0.4375,0.4375,0.44563123495012036,0.625
entanglement_assisted_all_shared_local_route,hybrid_local_global,argmax_cumulative_positive,8,2.0,48,0.3541666666666667,0.3541666666666667,0.3473544973544973,
entanglement_assisted_all_shared_local_route,localized_only,random_forest,8,2.0,48,0.7083333333333334,0.7083333333333334,0.7230576441102756,0.8333333333333334
entanglement_assisted_all_shared_local_route,localized_only,argmax_cumulative_positive,8,2.0,48,0.5833333333333334,0.5833333333333333,0.5834224598930481,
direct_coherent_all_shared_local_route,global_only_control,random_forest,16,4.0,48,0.25,0.25,0.2464285714285714,0.5
direct_coherent_all_shared_local_route,global_only_control,argmax_cumulative_positive,16,4.0,48,0.25,0.25,0.24062499999999998,
direct_coherent_all_shared_local_route,hybrid_local_global,random_forest,16,4.0,48,0.8333333333333334,0.8333333333333333,0.8346560846560847,0.9375
direct_coherent_all_shared_local_route,hybrid_local_global,argmax_cumulative_positive,16,4.0,48,0.8125,0.8125,0.8123188405797102,
direct_coherent_all_shared_local_route,localized_only,random_forest,16,4.0,48,0.9583333333333334,0.9583333333333333,0.9590301003344481,1.0
direct_coherent_all_shared_local_route,localized_only,argmax_cumulative_positive,16,4.0,48,0.9375,0.9375,0.9386253842775583,
