protocol_context,spatial_mode,model_name,true_region,predicted_region,count,true_normalized_fraction
entanglement_assisted_all_shared_local_route,localized_only,logistic_regression,module_1,module_3,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,logistic_regression,module_1,module_4,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,logistic_regression,module_2,module_1,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,logistic_regression,module_2,module_2,12,1.0
entanglement_assisted_all_shared_local_route,localized_only,logistic_regression,module_2,module_3,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,logistic_regression,module_2,module_4,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,logistic_regression,module_3,module_1,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,logistic_regression,module_3,module_2,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,logistic_regression,module_3,module_3,12,1.0
entanglement_assisted_all_shared_local_route,localized_only,logistic_regression,module_3,module_4,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,logistic_regression,module_4,module_1,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,logistic_regression,module_4,module_2,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,logistic_regression,module_4,module_3,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,logistic_regression,module_4,module_4,12,1.0
entanglement_assisted_all_shared_local_route,localized_only,random_forest,module_1,module_1,12,1.0
entanglement_assisted_all_shared_local_route,localized_only,random_forest,module_1,module_2,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,random_forest,module_1,module_3,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,random_forest,module_1,module_4,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,random_forest,module_2,module_1,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,random_forest,module_2,module_2,12,1.0
entanglement_assisted_all_shared_local_route,localized_only,random_forest,module_2,module_3,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,random_forest,module_2,module_4,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,random_forest,module_3,module_1,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,random_forest,module_3,module_2,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,random_forest,module_3,module_3,12,1.0
entanglement_assisted_all_shared_local_route,localized_only,random_forest,module_3,module_4,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,random_forest,module_4,module_1,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,random_forest,module_4,module_2,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,random_forest,module_4,module_3,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,random_forest,module_4,module_4,12,1.0
entanglement_assisted_all_shared_local_route,localized_only,hist_gradient_boosting,module_1,module_1,12,1.0
entanglement_assisted_all_shared_local_route,localized_only,hist_gradient_boosting,module_1,module_2,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,hist_gradient_boosting,module_1,module_3,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,hist_gradient_boosting,module_1,module_4,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,hist_gradient_boosting,module_2,module_1,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,hist_gradient_boosting,module_2,module_2,12,1.0
entanglement_assisted_all_shared_local_route,localized_only,hist_gradient_boosting,module_2,module_3,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,hist_gradient_boosting,module_2,module_4,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,hist_gradient_boosting,module_3,module_1,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,hist_gradient_boosting,module_3,module_2,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,hist_gradient_boosting,module_3,module_3,12,1.0
entanglement_assisted_all_shared_local_route,localized_only,hist_gradient_boosting,module_3,module_4,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,hist_gradient_boosting,module_4,module_1,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,hist_gradient_boosting,module_4,module_2,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,hist_gradient_boosting,module_4,module_3,0,0.0
entanglement_assisted_all_shared_local_route,localized_only,hist_gradient_boosting,module_4,module_4,12,1.0
