protocol_context,spatial_mode,base_schedule_id,repeat_id,probe_index,release_ns,probe_region
direct_coherent_all_shared_local_route,localized_only,base_0001,1,11,4650.0,module_4
direct_coherent_all_shared_local_route,localized_only,base_0001,1,12,5070.0,module_1
direct_coherent_all_shared_local_route,localized_only,base_0001,1,13,5490.0,module_3
direct_coherent_all_shared_local_route,localized_only,base_0001,1,14,5910.0,module_2
direct_coherent_all_shared_local_route,localized_only,base_0001,1,15,6330.0,module_4
direct_coherent_all_shared_local_route,localized_only,base_0001,1,16,6750.0,module_4
direct_coherent_all_shared_local_route,localized_only,base_0001,1,17,7170.0,module_2
direct_coherent_all_shared_local_route,localized_only,base_0001,1,18,7590.0,module_1
direct_coherent_all_shared_local_route,localized_only,base_0001,1,19,8010.0,module_3
direct_coherent_all_shared_local_route,localized_only,base_0001,1,20,8430.0,module_3
direct_coherent_all_shared_local_route,localized_only,base_0001,1,21,8850.0,module_2
direct_coherent_all_shared_local_route,localized_only,base_0001,1,22,9270.0,module_1
direct_coherent_all_shared_local_route,localized_only,base_0001,1,23,9690.0,module_4
direct_coherent_all_shared_local_route,localized_only,base_0001,1,24,10110.0,module_1
direct_coherent_all_shared_local_route,localized_only,base_0001,1,25,10530.0,module_4
direct_coherent_all_shared_local_route,localized_only,base_0001,1,26,10950.0,module_3
direct_coherent_all_shared_local_route,localized_only,base_0001,1,27,11370.0,module_2
direct_coherent_all_shared_local_route,localized_only,base_0001,1,28,11790.0,module_3
direct_coherent_all_shared_local_route,localized_only,base_0001,1,29,12210.0,module_1
direct_coherent_all_shared_local_route,localized_only,base_0001,1,30,12630.0,module_4
direct_coherent_all_shared_local_route,localized_only,base_0001,1,31,13050.0,module_2
direct_coherent_all_shared_local_route,localized_only,base_0001,1,32,13470.0,module_2
direct_coherent_all_shared_local_route,localized_only,base_0001,1,33,13890.0,module_4
direct_coherent_all_shared_local_route,localized_only,base_0001,1,34,14310.0,module_3
