protocol_context,spatial_mode,split,schedule_profile,hidden_victim_region,probe_region,probe_count,mean_excess_ns,mean_abs_excess_ns,delayed_fraction,mean_positive_excess_ns,failure_transition_fraction
direct_coherent_all_shared_local_route,global_only_control,test,dense_periodic,module_1,module_1,48,6.1184311269117115,6.1184311269117115,0.22916666666666666,6.1184311269117115,0.0
direct_coherent_all_shared_local_route,global_only_control,test,dense_periodic,module_1,module_2,48,10.650270940818666,10.650270940818666,0.16666666666666666,10.650270940818666,0.0
direct_coherent_all_shared_local_route,global_only_control,test,dense_periodic,module_1,module_3,48,13.590006929934907,13.590006929934907,0.22916666666666666,13.590006929934907,0.0
direct_coherent_all_shared_local_route,global_only_control,test,dense_periodic,module_1,module_4,48,14.11770064064723,14.11770064064723,0.3333333333333333,14.11770064064723,0.0
direct_coherent_all_shared_local_route,global_only_control,test,dense_periodic,module_2,module_1,48,6.1184311269117115,6.1184311269117115,0.22916666666666666,6.1184311269117115,0.0
direct_coherent_all_shared_local_route,global_only_control,test,dense_periodic,module_2,module_2,48,10.650270940818666,10.650270940818666,0.16666666666666666,10.650270940818666,0.0
direct_coherent_all_shared_local_route,global_only_control,test,dense_periodic,module_2,module_3,48,13.590006929934907,13.590006929934907,0.22916666666666666,13.590006929934907,0.0
direct_coherent_all_shared_local_route,global_only_control,test,dense_periodic,module_2,module_4,48,14.11770064064723,14.11770064064723,0.3333333333333333,14.11770064064723,0.0
direct_coherent_all_shared_local_route,global_only_control,test,dense_periodic,module_3,module_1,48,6.1184311269117115,6.1184311269117115,0.22916666666666666,6.1184311269117115,0.0
direct_coherent_all_shared_local_route,global_only_control,test,dense_periodic,module_3,module_2,48,10.650270940818666,10.650270940818666,0.16666666666666666,10.650270940818666,0.0
direct_coherent_all_shared_local_route,global_only_control,test,dense_periodic,module_3,module_3,48,13.590006929934907,13.590006929934907,0.22916666666666666,13.590006929934907,0.0
direct_coherent_all_shared_local_route,global_only_control,test,dense_periodic,module_3,module_4,48,14.11770064064723,14.11770064064723,0.3333333333333333,14.11770064064723,0.0
direct_coherent_all_shared_local_route,global_only_control,test,dense_periodic,module_4,module_1,48,6.1184311269117115,6.1184311269117115,0.22916666666666666,6.1184311269117115,0.0
direct_coherent_all_shared_local_route,global_only_control,test,dense_periodic,module_4,module_2,48,10.650270940818666,10.650270940818666,0.16666666666666666,10.650270940818666,0.0
direct_coherent_all_shared_local_route,global_only_control,test,dense_periodic,module_4,module_3,48,13.590006929934907,13.590006929934907,0.22916666666666666,13.590006929934907,0.0
direct_coherent_all_shared_local_route,global_only_control,test,dense_periodic,module_4,module_4,48,14.11770064064723,14.11770064064723,0.3333333333333333,14.11770064064723,0.0
direct_coherent_all_shared_local_route,global_only_control,test,sparse_periodic,module_1,module_1,48,7.190978545846245,7.190978545846245,0.10416666666666667,7.190978545846245,0.0
direct_coherent_all_shared_local_route,global_only_control,test,sparse_periodic,module_1,module_2,48,6.01659013287571,6.01659013287571,0.125,6.01659013287571,0.0
direct_coherent_all_shared_local_route,global_only_control,test,sparse_periodic,module_1,module_3,48,3.303236808448579,3.303236808448579,0.0625,3.303236808448579,0.0
direct_coherent_all_shared_local_route,global_only_control,test,sparse_periodic,module_1,module_4,48,4.3465395216587694,4.3465395216587694,0.08333333333333333,4.3465395216587694,0.0
direct_coherent_all_shared_local_route,global_only_control,test,sparse_periodic,module_2,module_1,48,7.190978545846245,7.190978545846245,0.10416666666666667,7.190978545846245,0.0
direct_coherent_all_shared_local_route,global_only_control,test,sparse_periodic,module_2,module_2,48,6.01659013287571,6.01659013287571,0.125,6.01659013287571,0.0
direct_coherent_all_shared_local_route,global_only_control,test,sparse_periodic,module_2,module_3,48,3.303236808448579,3.303236808448579,0.0625,3.303236808448579,0.0
direct_coherent_all_shared_local_route,global_only_control,test,sparse_periodic,module_2,module_4,48,4.3465395216587694,4.3465395216587694,0.08333333333333333,4.3465395216587694,0.0
direct_coherent_all_shared_local_route,global_only_control,test,sparse_periodic,module_3,module_1,48,7.190978545846245,7.190978545846245,0.10416666666666667,7.190978545846245,0.0
direct_coherent_all_shared_local_route,global_only_control,test,sparse_periodic,module_3,module_2,48,6.01659013287571,6.01659013287571,0.125,6.01659013287571,0.0
direct_coherent_all_shared_local_route,global_only_control,test,sparse_periodic,module_3,module_3,48,3.303236808448579,3.303236808448579,0.0625,3.303236808448579,0.0
direct_coherent_all_shared_local_route,global_only_control,test,sparse_periodic,module_3,module_4,48,4.3465395216587694,4.3465395216587694,0.08333333333333333,4.3465395216587694,0.0
direct_coherent_all_shared_local_route,global_only_control,test,sparse_periodic,module_4,module_1,48,7.190978545846245,7.190978545846245,0.10416666666666667,7.190978545846245,0.0
direct_coherent_all_shared_local_route,global_only_control,test,sparse_periodic,module_4,module_2,48,6.01659013287571,6.01659013287571,0.125,6.01659013287571,0.0
direct_coherent_all_shared_local_route,global_only_control,test,sparse_periodic,module_4,module_3,48,3.303236808448579,3.303236808448579,0.0625,3.303236808448579,0.0
direct_coherent_all_shared_local_route,global_only_control,test,sparse_periodic,module_4,module_4,48,4.3465395216587694,4.3465395216587694,0.08333333333333333,4.3465395216587694,0.0
direct_coherent_all_shared_local_route,global_only_control,test,synchronization_bursty,module_1,module_1,48,11.231178462012243,11.231178462012243,0.2916666666666667,11.231178462012243,0.0
direct_coherent_all_shared_local_route,global_only_control,test,synchronization_bursty,module_1,module_2,48,8.945408841081393,8.945408841081393,0.20833333333333334,8.945408841081393,0.0
direct_coherent_all_shared_local_route,global_only_control,test,synchronization_bursty,module_1,module_3,48,13.868825997201645,13.868825997201645,0.3333333333333333,13.868825997201645,0.0
direct_coherent_all_shared_local_route,global_only_control,test,synchronization_bursty,module_1,module_4,48,6.261935386803107,6.261935386803107,0.1875,6.261935386803107,0.0
direct_coherent_all_shared_local_route,global_only_control,test,synchronization_bursty,module_2,module_1,48,11.231178462012243,11.231178462012243,0.2916666666666667,11.231178462012243,0.0
direct_coherent_all_shared_local_route,global_only_control,test,synchronization_bursty,module_2,module_2,48,8.945408841081393,8.945408841081393,0.20833333333333334,8.945408841081393,0.0
direct_coherent_all_shared_local_route,global_only_control,test,synchronization_bursty,module_2,module_3,48,13.868825997201645,13.868825997201645,0.3333333333333333,13.868825997201645,0.0
direct_coherent_all_shared_local_route,global_only_control,test,synchronization_bursty,module_2,module_4,48,6.261935386803107,6.261935386803107,0.1875,6.261935386803107,0.0
direct_coherent_all_shared_local_route,global_only_control,test,synchronization_bursty,module_3,module_1,48,11.231178462012243,11.231178462012243,0.2916666666666667,11.231178462012243,0.0
direct_coherent_all_shared_local_route,global_only_control,test,synchronization_bursty,module_3,module_2,48,8.945408841081393,8.945408841081393,0.20833333333333334,8.945408841081393,0.0
direct_coherent_all_shared_local_route,global_only_control,test,synchronization_bursty,module_3,module_3,48,13.868825997201645,13.868825997201645,0.3333333333333333,13.868825997201645,0.0
direct_coherent_all_shared_local_route,global_only_control,test,synchronization_bursty,module_3,module_4,48,6.261935386803107,6.261935386803107,0.1875,6.261935386803107,0.0
direct_coherent_all_shared_local_route,global_only_control,test,synchronization_bursty,module_4,module_1,48,11.231178462012243,11.231178462012243,0.2916666666666667,11.231178462012243,0.0
direct_coherent_all_shared_local_route,global_only_control,test,synchronization_bursty,module_4,module_2,48,8.945408841081393,8.945408841081393,0.20833333333333334,8.945408841081393,0.0
direct_coherent_all_shared_local_route,global_only_control,test,synchronization_bursty,module_4,module_3,48,13.868825997201645,13.868825997201645,0.3333333333333333,13.868825997201645,0.0
direct_coherent_all_shared_local_route,global_only_control,test,synchronization_bursty,module_4,module_4,48,6.261935386803107,6.261935386803107,0.1875,6.261935386803107,0.0
direct_coherent_all_shared_local_route,global_only_control,train,dense_periodic,module_1,module_1,96,12.302660379300912,12.302660379300912,0.23958333333333334,12.302660379300912,0.0
direct_coherent_all_shared_local_route,global_only_control,train,dense_periodic,module_1,module_2,96,17.389828367470802,17.389828367470802,0.2916666666666667,17.389828367470802,0.0
direct_coherent_all_shared_local_route,global_only_control,train,dense_periodic,module_1,module_3,96,9.566754495789958,9.566754495789958,0.17708333333333334,9.566754495789958,0.0
direct_coherent_all_shared_local_route,global_only_control,train,dense_periodic,module_1,module_4,96,9.615441807229322,9.615441807229322,0.16666666666666666,9.615441807229322,0.0
direct_coherent_all_shared_local_route,global_only_control,train,dense_periodic,module_2,module_1,96,12.302660379300912,12.302660379300912,0.23958333333333334,12.302660379300912,0.0
direct_coherent_all_shared_local_route,global_only_control,train,dense_periodic,module_2,module_2,96,17.389828367470802,17.389828367470802,0.2916666666666667,17.389828367470802,0.0
direct_coherent_all_shared_local_route,global_only_control,train,dense_periodic,module_2,module_3,96,9.566754495789958,9.566754495789958,0.17708333333333334,9.566754495789958,0.0
direct_coherent_all_shared_local_route,global_only_control,train,dense_periodic,module_2,module_4,96,9.615441807229322,9.615441807229322,0.16666666666666666,9.615441807229322,0.0
direct_coherent_all_shared_local_route,global_only_control,train,dense_periodic,module_3,module_1,96,12.302660379300912,12.302660379300912,0.23958333333333334,12.302660379300912,0.0
direct_coherent_all_shared_local_route,global_only_control,train,dense_periodic,module_3,module_2,96,17.389828367470802,17.389828367470802,0.2916666666666667,17.389828367470802,0.0
direct_coherent_all_shared_local_route,global_only_control,train,dense_periodic,module_3,module_3,96,9.566754495789958,9.566754495789958,0.17708333333333334,9.566754495789958,0.0
direct_coherent_all_shared_local_route,global_only_control,train,dense_periodic,module_3,module_4,96,9.615441807229322,9.615441807229322,0.16666666666666666,9.615441807229322,0.0
direct_coherent_all_shared_local_route,global_only_control,train,dense_periodic,module_4,module_1,96,12.302660379300912,12.302660379300912,0.23958333333333334,12.302660379300912,0.0
direct_coherent_all_shared_local_route,global_only_control,train,dense_periodic,module_4,module_2,96,17.389828367470802,17.389828367470802,0.2916666666666667,17.389828367470802,0.0
direct_coherent_all_shared_local_route,global_only_control,train,dense_periodic,module_4,module_3,96,9.566754495789958,9.566754495789958,0.17708333333333334,9.566754495789958,0.0
direct_coherent_all_shared_local_route,global_only_control,train,dense_periodic,module_4,module_4,96,9.615441807229322,9.615441807229322,0.16666666666666666,9.615441807229322,0.0
direct_coherent_all_shared_local_route,global_only_control,train,sparse_periodic,module_1,module_1,96,4.19169200560647,4.19169200560647,0.07291666666666667,4.19169200560647,0.0
direct_coherent_all_shared_local_route,global_only_control,train,sparse_periodic,module_1,module_2,96,1.5518684009829353,1.5518684009829353,0.0625,1.5518684009829353,0.0
direct_coherent_all_shared_local_route,global_only_control,train,sparse_periodic,module_1,module_3,96,5.058788100969596,5.058788100969596,0.125,5.058788100969596,0.0
direct_coherent_all_shared_local_route,global_only_control,train,sparse_periodic,module_1,module_4,96,4.459149086789945,4.459149086789945,0.09375,4.459149086789945,0.0
direct_coherent_all_shared_local_route,global_only_control,train,sparse_periodic,module_2,module_1,96,4.19169200560647,4.19169200560647,0.07291666666666667,4.19169200560647,0.0
direct_coherent_all_shared_local_route,global_only_control,train,sparse_periodic,module_2,module_2,96,1.5518684009829353,1.5518684009829353,0.0625,1.5518684009829353,0.0
direct_coherent_all_shared_local_route,global_only_control,train,sparse_periodic,module_2,module_3,96,5.058788100969596,5.058788100969596,0.125,5.058788100969596,0.0
direct_coherent_all_shared_local_route,global_only_control,train,sparse_periodic,module_2,module_4,96,4.459149086789945,4.459149086789945,0.09375,4.459149086789945,0.0
direct_coherent_all_shared_local_route,global_only_control,train,sparse_periodic,module_3,module_1,96,4.19169200560647,4.19169200560647,0.07291666666666667,4.19169200560647,0.0
direct_coherent_all_shared_local_route,global_only_control,train,sparse_periodic,module_3,module_2,96,1.5518684009829353,1.5518684009829353,0.0625,1.5518684009829353,0.0
direct_coherent_all_shared_local_route,global_only_control,train,sparse_periodic,module_3,module_3,96,5.058788100969596,5.058788100969596,0.125,5.058788100969596,0.0
direct_coherent_all_shared_local_route,global_only_control,train,sparse_periodic,module_3,module_4,96,4.459149086789945,4.459149086789945,0.09375,4.459149086789945,0.0
direct_coherent_all_shared_local_route,global_only_control,train,sparse_periodic,module_4,module_1,96,4.19169200560647,4.19169200560647,0.07291666666666667,4.19169200560647,0.0
direct_coherent_all_shared_local_route,global_only_control,train,sparse_periodic,module_4,module_2,96,1.5518684009829353,1.5518684009829353,0.0625,1.5518684009829353,0.0
direct_coherent_all_shared_local_route,global_only_control,train,sparse_periodic,module_4,module_3,96,5.058788100969596,5.058788100969596,0.125,5.058788100969596,0.0
direct_coherent_all_shared_local_route,global_only_control,train,sparse_periodic,module_4,module_4,96,4.459149086789945,4.459149086789945,0.09375,4.459149086789945,0.0
direct_coherent_all_shared_local_route,global_only_control,train,synchronization_bursty,module_1,module_1,96,11.826267107359852,11.826267107359852,0.22916666666666666,11.826267107359852,0.0
direct_coherent_all_shared_local_route,global_only_control,train,synchronization_bursty,module_1,module_2,96,12.231608798527015,12.231608798527015,0.2604166666666667,12.231608798527015,0.0
direct_coherent_all_shared_local_route,global_only_control,train,synchronization_bursty,module_1,module_3,96,13.631847410876679,13.631847410876679,0.2604166666666667,13.631847410876679,0.0
direct_coherent_all_shared_local_route,global_only_control,train,synchronization_bursty,module_1,module_4,96,12.69779575518725,12.69779575518725,0.3125,12.69779575518725,0.0
direct_coherent_all_shared_local_route,global_only_control,train,synchronization_bursty,module_2,module_1,96,11.826267107359852,11.826267107359852,0.22916666666666666,11.826267107359852,0.0
direct_coherent_all_shared_local_route,global_only_control,train,synchronization_bursty,module_2,module_2,96,12.231608798527015,12.231608798527015,0.2604166666666667,12.231608798527015,0.0
direct_coherent_all_shared_local_route,global_only_control,train,synchronization_bursty,module_2,module_3,96,13.631847410876679,13.631847410876679,0.2604166666666667,13.631847410876679,0.0
direct_coherent_all_shared_local_route,global_only_control,train,synchronization_bursty,module_2,module_4,96,12.69779575518725,12.69779575518725,0.3125,12.69779575518725,0.0
