allocation_policy,communication_qubits_per_module,tenants_sharing_module,trial_count,attacker_baseline_rejection_rate,attacker_combined_rejection_rate,victim_combined_rejection_rate,mean_request_failure_rate,mean_conflict_count,mean_redirected_endpoints
coherence_aware,1,2,15,0.0,0.0,0.0,0.27701265358518246,9284.8,0.0
coherence_aware,1,3,15,0.0,0.0,0.0,0.3145951620302691,12113.866666666667,0.0
coherence_aware,1,4,15,0.0,0.0,0.0,0.3500621921300289,15270.266666666666,0.0
coherence_aware,1,8,15,0.0,0.0,0.0,0.48839849807745417,35387.13333333333,0.0
coherence_aware,2,2,15,0.0,0.0,0.0,0.0,6187.0,0.0
coherence_aware,2,3,15,0.0,0.0,0.0,0.0,7035.133333333333,0.0
coherence_aware,2,4,330,0.0,0.0,0.0,0.05585676353097002,10136.78484848485,0.0
coherence_aware,2,8,15,0.0,0.0,0.0,0.07958127093379787,30639.666666666668,0.0
coherence_aware,4,2,15,0.0,0.0,0.0,0.0,2502.4,0.0
coherence_aware,4,3,15,0.0,0.0,0.0,0.0,2767.9333333333334,0.0
coherence_aware,4,4,15,0.0,0.0,0.0,0.0,3548.133333333333,0.0
coherence_aware,4,8,15,0.0,0.0,0.0,0.0,6429.6,0.0
coherence_aware,8,2,15,0.0,0.0,0.0,0.0,212.6,0.0
coherence_aware,8,3,15,0.0,0.0,0.0,0.0,227.46666666666667,0.0
coherence_aware,8,4,15,0.0,0.0,0.0,0.0,365.06666666666666,0.0
coherence_aware,8,8,15,0.0,0.0,0.0,0.0,785.4666666666667,0.0
fair_share,1,2,15,0.0,0.0,0.0,0.27701265358518246,9284.8,0.0
fair_share,1,3,15,0.0,0.0,0.0,0.31288576824430164,11934.2,0.0
fair_share,1,4,15,0.0,0.0,0.0,0.35041307353831075,15355.266666666666,0.0
fair_share,1,8,15,0.0,0.0,0.0,0.4902731159876976,35334.0,0.0
fair_share,2,2,15,0.0,0.0,0.0,0.0,6405.2,0.0
fair_share,2,3,15,0.0,0.0,0.0,0.0010869565217391304,7523.533333333334,0.0
fair_share,2,4,330,0.0,0.0,0.0,0.07088752790727951,10513.90909090909,0.0
fair_share,2,8,15,0.0,0.0,0.0,0.12394089440278337,32558.6,0.0
fair_share,4,2,15,0.0,0.0,0.0,0.0,2541.6,0.0
fair_share,4,3,15,0.0,0.0,0.0,0.0,2999.0666666666666,0.0
fair_share,4,4,15,0.0,0.0,0.0,0.0,3452.6,0.0
fair_share,4,8,15,0.0,0.0,0.0,0.0,7322.533333333334,0.0
fair_share,8,2,15,0.0,0.0,0.0,0.0,213.8,0.0
fair_share,8,3,15,0.0,0.0,0.0,0.0,378.0,0.0
fair_share,8,4,15,0.0,0.0,0.0,0.0,400.8,0.0
fair_share,8,8,15,0.0,0.0,0.0,0.0,963.0,0.0
first_available,1,2,15,0.0,0.0,0.0,0.27701265358518246,9284.8,0.0
first_available,1,3,15,0.0,0.0,0.0,0.3273141043468753,12175.133333333333,0.0
first_available,1,4,15,0.0,0.0,0.0,0.3521409418117198,15406.6,0.0
first_available,1,8,15,0.0,0.0,0.0,0.48565352986024074,35850.46666666667,0.0
first_available,2,2,15,0.0,0.0,0.0,0.0,6405.2,0.0
first_available,2,3,15,0.0,0.0,0.0,0.0010869565217391304,7523.133333333333,0.0
