allocation_policy,communication_qubits_per_module,trial_count,mean_cq_queue_delay_ns,mean_excess_cq_queue_delay_ns,mean_excess_latency_ns,mean_detection_probability,mean_balanced_detection_accuracy,mean_conflict_count,mean_request_failure_rate,mean_cq_utilization,mean_reset_utilization,mean_allocation_hold_utilization,mean_reservation_utilization,mean_effective_cq_utilization,mean_epr_wastage_fraction,mean_grant_fairness,mean_wait_fairness,mean_victim_slowdown_ratio,mean_allocation_change_probability,mean_redirected_endpoints
coherence_aware,1,60,9.555902777777778,-5.102777777777778,-5.102777777777778,0.0,0.5,18014.016666666666,0.3575171264557337,0.15991722695922944,0.07268964861783157,0.0,0.46348711099724194,0.6960939865743029,0.0,0.682222820271353,0.31152180706624877,0.5480143996987304,0.0,0.0
coherence_aware,2,60,2.936805555555556,0.0,0.0,0.0,0.5,13267.5,0.021224974596194563,0.13709985153643212,0.062318114334741874,0.0,0.3769690133386075,0.5763869792097814,0.0,0.7881053542947766,0.30827643882584815,1.1768426537092722,0.03715277777777778,0.0
coherence_aware,4,60,0.0,0.0,0.0,0.0,0.5,3812.016666666667,0.0,0.0742891593177008,0.033767799689864,0.0,0.25619149102556826,0.36424845003313305,0.0,0.8055181787340238,0.37323065613026724,1.0192125071335538,0.022569444444444444,0.0
coherence_aware,8,60,0.0,0.0,0.0,0.0,0.5,397.65,0.0,0.036883949170519424,0.01676543144114519,0.0,0.14672000057717585,0.20036938118884048,0.0,0.8055181787340238,0.6457612694934124,1.00071481415474,0.02847222222222222,0.0
fair_share,1,60,5.014930555555556,-1.2760416666666667,-1.2760416666666667,0.0,0.5,17977.066666666666,0.35764615283887313,0.15981933951080726,0.07264515432309421,0.0,0.4632785841882146,0.695743078022116,0.0,0.6826521887353675,0.30986647348858126,0.5763947155362751,0.0,0.0
fair_share,2,60,1.442361111111111,0.0,0.0,0.0,0.5,14005.35,0.03244568822132671,0.1357638446655137,0.06171083848432439,0.0,0.4687848286108695,0.6662595117607075,0.0,0.8067584761221341,0.3055120757202622,1.1120578634997471,0.3638888888888889,0.0
fair_share,4,60,0.0,0.0,0.0,0.0,0.5,4078.95,0.0,0.07407099896599133,0.03366863589363242,0.0,0.3142115717805039,0.4219512066401276,0.0,0.8055181787340238,0.34603866559394086,1.0352960684175267,0.6527777777777778,0.0
fair_share,8,60,0.0,0.0,0.0,0.0,0.5,488.9,0.0,0.037226931198720434,0.016921332363054743,0.0,0.1859413492439233,0.24008961280569846,0.0,0.8055181787340238,0.5749523215252268,1.0007492058040075,0.7121527777777777,0.0
first_available,1,60,14.86597222222222,-0.4125,-0.4125,0.0,0.5,18179.25,0.3605303074010046,0.159767788546279,0.07262172206649044,0.0,0.463660428096097,0.6960499387088663,0.0,0.6780967933218953,0.3099255240039984,0.5452521276321217,0.0,0.0
first_available,2,60,0.9673611111111111,0.08090277777777778,0.08090277777777778,0.0010416666666666667,0.5005208333333333,13827.45,0.022565369354885224,0.1374073615239648,0.06245789160180218,0.0,0.4805016350961812,0.6803668882219482,0.0,0.7960390955140496,0.3041888977781093,1.1240156994910273,0.5302083333333333,0.0
first_available,4,60,0.0,0.0,0.0,0.0,0.5,3919.5333333333333,0.0,0.0738654482264896,0.03357520373931346,0.0,0.3197628756177754,0.42720352758357844,0.0,0.8055181787340238,0.33814651785087685,1.0279317121099938,0.7833333333333333,0.0
first_available,8,60,0.0,0.0,0.0,0.0,0.5,489.76666666666665,0.0,0.037201750055324896,0.016909886388784042,0.0,0.1875532046088567,0.24166484105296562,0.0,0.8055181787340238,0.5434290053633121,1.0005282604478523,0.79375,0.0
per_tenant_reserved,1,60,0.0,0.0,0.0,1.0,1.0,8436.683333333332,0.6509449077444527,0.10608592745359434,0.04822087611527015,0.0,0.22894909269546918,0.3832558962643337,0.0,0.3020833333333333,0.6982431328465634,1.0,1.0,0.0
per_tenant_reserved,2,60,0.0,0.0,0.0,0.0,0.5,9517.666666666666,0.2860038811368749,0.09988579472607378,0.04540263396639718,0.0,0.2967546158398241,0.44204304453229504,0.0,0.5556956058314932,0.6982431328465634,1.0,1.0,0.0
per_tenant_reserved,4,60,0.0,0.0,0.0,0.0,0.5,10210.05,0.12759057530786116,0.061293909632167846,0.02786086801462175,0.0,0.20193645962116477,0.2910912372679544,0.0,0.7336985625900342,0.48431976718292463,1.0,1.0,0.0
per_tenant_reserved,8,60,0.0,0.0,0.0,0.0,0.5,10882.35,0.037915319145446776,0.035092354685868986,0.015951070311758627,0.0,0.1219820264180204,0.173025451415648,0.0,0.8290566987208161,0.39419885765047064,1.0,1.0,0.0
predicted_demand,1,60,54.686458333333334,42.48263888888889,42.48263888888889,0.011458333333333333,0.5057291666666667,18027.283333333333,0.3579146565322658,0.16019261028284387,0.07281482285583812,0.0,0.4632828963343191,0.6962903294730011,0.0,0.6781615580189668,0.31699035774961415,0.605806159832762,0.0,0.0
predicted_demand,2,60,0.359375,0.0,0.0,0.0,0.5,12760.016666666666,0.026901891787511453,0.13707579199263695,0.06230717817847133,0.0,0.3925325281458519,0.5919154983169601,0.0,0.7843284894672462,0.30435481120915847,1.1213453883346072,0.016666666666666666,0.0
predicted_demand,4,60,0.0,0.0,0.0,0.0,0.5,3974.3166666666666,0.0,0.07374950752866595,0.03352250342212089,0.0,0.2644094265142216,0.3716814374650084,0.0,0.8055181787340238,0.372841010144436,1.022551154255672,0.0,0.0
predicted_demand,8,60,0.0,0.0,0.0,0.0,0.5,412.8666666666667,0.0,0.03699765692424806,0.016817116783749118,0.0,0.15366261211638318,0.20747738582438036,0.0,0.8055181787340238,0.6295735083189086,1.0006399353143474,0.0,0.0
priority_allocation,1,60,29.120486111111113,16.73125,16.73125,0.013541666666666667,0.5067708333333333,17991.783333333333,0.35594334102044617,0.16039122555093605,0.07290510252315276,0.0,0.46354675281460467,0.6968430808886935,0.0,0.6836457902962955,0.3191595309513459,0.5735981271287515,0.0,0.0
priority_allocation,2,60,47.85347222222222,46.91597222222222,46.91597222222222,0.009722222222222222,0.5048611111111111,13587.0,0.020075753639813832,0.1375919119759789,0.0625417781708995,0.0,0.4782509921412192,0.6783846822880976,0.0,0.7888797439649529,0.31769214441097193,1.1567321707697913,0.4701388888888889,0.0
priority_allocation,4,60,0.0,0.0,0.0,0.0,0.5,4141.216666666666,0.0,0.07408686341893084,0.033675847008604924,0.0,0.3197558963753201,0.4275186068028558,0.0,0.8055181787340238,0.3458203596166811,1.0182064630878875,0.7694444444444444,0.0
priority_allocation,8,60,0.0,0.0,0.0,0.0,0.5,519.0,0.0,0.0370070443686414,0.016821383803927906,0.0,0.18615705762070114,0.23998548579327045,0.0,0.8055181787340238,0.544867906142287,1.000504869615604,0.7923611111111111,0.0
random_allocation,1,60,14.099652777777777,-1.6010416666666667,-1.6010416666666667,0.0,0.5,18171.6,0.3608743437420312,0.15978704320200976,0.07263047418273172,0.0,0.46377302906717693,0.6961905464519184,0.0,0.6780601605976206,0.3132657561285283,0.5522615956894924,0.0,0.0
random_allocation,2,60,1.5586805555555554,-0.7194444444444444,-0.7194444444444444,0.0,0.5,13683.75,0.021600663339118368,0.13758233649566562,0.062537425679848,0.0,0.43850792454494414,0.6386276867204578,0.0,0.7931828707634024,0.30453245870067136,1.2128638360540975,0.20243055555555556,0.0
random_allocation,4,60,0.0,0.0,0.0,0.0,0.5,4070.0666666666666,0.0,0.07400239040932861,0.03363745018605846,0.0,0.30078938164208213,0.4084292222374692,0.0,0.8055181787340238,0.34165907090258835,1.0205138994225267,0.2236111111111111,0.0
