allocation_policy,allocation_granularity,trial_count,mean_cq_queue_delay_ns,mean_excess_cq_queue_delay_ns,mean_excess_latency_ns,mean_detection_probability,mean_balanced_detection_accuracy,mean_conflict_count,mean_request_failure_rate,mean_cq_utilization,mean_reset_utilization,mean_allocation_hold_utilization,mean_reservation_utilization,mean_effective_cq_utilization,mean_epr_wastage_fraction,mean_grant_fairness,mean_wait_fairness,mean_victim_slowdown_ratio,mean_allocation_change_probability,mean_redirected_endpoints
coherence_aware,per_job,60,112.95833333333333,0.0,0.0,0.0,0.5,13880.366666666667,0.2198868048196796,0.09556258771962298,0.04920009903383103,0.09625929691915068,0.45949806970573287,0.7005200533783376,0.0977484751493314,0.7413370487343482,0.28226210520069955,1.424110475089506,0.0034722222222222225,0.0
coherence_aware,per_layer,60,0.0,0.0,0.0,0.0,0.5,8998.266666666666,0.0,0.12883895526681685,0.0644521061843447,0.03352383436869663,0.3795430989382854,0.6063579947581437,0.11715920600496015,0.7677149113724713,0.2529325670173372,1.211366489013743,0.26493055555555556,0.0
coherence_aware,per_operation,60,0.6059027777777779,0.06666666666666667,0.06666666666666667,0.0006944444444444444,0.5003472222222222,9687.15,0.0038112745098039216,0.12771726529935676,0.06379210664315603,0.03499626732234024,0.4284659997574707,0.6549716390223238,0.11734799445124053,0.7640189455884052,0.2528770673450866,1.2255564682442652,0.24027777777777776,0.0
fair_share,per_job,60,0.0,0.0,0.0,0.0,0.5,13913.3,0.2519304758071362,0.09154579899663831,0.046796996653188615,0.10438698859781122,0.5877806435281395,0.8305104277757777,0.13830030992278336,0.7230549840075328,0.27908961111409575,0.9274705146024008,0.15,0.0
fair_share,per_layer,60,0.0,0.0,-0.3125,0.0,0.5,9800.533333333333,0.015304303539597658,0.12673452877225136,0.0631293993037111,0.041654433086578575,0.43438723674239593,0.665905597904937,0.15870972550175558,0.7767131688992371,0.25427408885256214,1.528336460960679,0.46458333333333335,0.0
fair_share,per_operation,60,0.3302083333333333,0.0,-0.4340277777777778,0.0003472222222222222,0.5001736111111111,10120.316666666668,0.004042075163398693,0.12933126473278514,0.0641318405012217,0.03400238966679444,0.5008149082861578,0.7282804031869591,0.15894251619087277,0.7642944518324737,0.2520868117519121,1.1913751265923664,0.554861111111111,0.0
first_available,per_job,60,113.19250000000001,0.0,0.0,0.0,0.5,13761.733333333334,0.2188820837474775,0.09646523655462332,0.04891005738308944,0.0915608358464989,0.5965589610955748,0.8334950908797866,0.1422685955668955,0.745723670647872,0.2798572054648533,1.2449659057973708,0.18333333333333332,0.0
first_available,per_layer,60,0.375,0.09027777777777778,0.09027777777777778,0.0006944444444444444,0.5003472222222222,9250.166666666666,0.0,0.1302384211945756,0.06445815523392741,0.03431349369776939,0.43208436200041433,0.6610944321266867,0.15950020566461295,0.7677149113724713,0.2557998545335785,1.1509014529256658,0.4756944444444445,0.0
first_available,per_operation,60,0.8190972222222221,0.0,0.0,0.0,0.5,9752.883333333333,0.003008578431372549,0.1289325153980131,0.06401961482640015,0.034897735857124586,0.5022656337053346,0.7301154997868725,0.15884747660534343,0.7648035520806739,0.25312415311028447,1.1784804052454816,0.38576388888888885,0.0
per_tenant_reserved,per_job,60,0.0,0.0,0.0,0.0,0.5,10437.483333333334,0.3229347692156041,0.08836764948516186,0.0450728345878503,0.009041195748946629,0.2714390771808525,0.4139207570028112,0.08434390976550682,0.45988601861916684,0.7502703913880835,1.0,1.0,0.0
per_tenant_reserved,per_layer,60,0.0,0.0,0.0,0.0,0.5,10416.2,0.3229347692156041,0.08792392867025932,0.04486648103728921,0.00899282454358106,0.25917302273316584,0.40095625698429543,0.08434390976550682,0.45988601861916684,0.7502703913880835,1.0,1.0,0.0
per_tenant_reserved,per_operation,60,0.0,0.0,0.0,0.0,0.5,10442.583333333334,0.3229347692156041,0.08848523162498999,0.04516262463808808,0.009023536771585029,0.2949130028123218,0.4375843958469849,0.08434390976550682,0.45988601861916684,0.7502703913880835,1.0,1.0,0.0
predicted_demand,per_job,60,0.0,0.0,0.0,0.0,0.5,13892.933333333332,0.24153065419716274,0.09161002728820661,0.04745641949466939,0.09588228317007831,0.44573730057142824,0.6806860305243826,0.09769852794860284,0.7389349934572487,0.2799950349686758,1.187244718423648,0.0,0.0
predicted_demand,per_layer,60,1.25,0.5902777777777778,0.5902777777777778,0.0013888888888888887,0.5006944444444444,9534.2,0.03490808823529412,0.12162456653093733,0.06130080137077962,0.04621684396708569,0.37636286993049384,0.6055050817992965,0.11717614243478545,0.7905086255405213,0.2593097115391224,1.4841374012396626,0.0,0.0
predicted_demand,per_operation,60,18.43125,18.163888888888888,18.424305555555556,0.00625,0.503125,9508.183333333332,0.0038398692810457514,0.12848614439939177,0.06403608568555069,0.03552704704885422,0.43328449872532254,0.6613337758591192,0.1191027303132303,0.7639955618492382,0.2614953659964694,1.2024727580440058,0.016666666666666666,0.0
priority_allocation,per_job,60,225.36499999999998,0.0,0.0,0.0,0.5,14092.683333333332,0.19129893369860163,0.10376118239874116,0.052004995504888574,0.09313628883775414,0.5949123504141411,0.8438148171555251,0.1507199419432714,0.7124377949887308,0.27931975435002915,1.228865545022354,0.13333333333333333,0.0
priority_allocation,per_layer,60,0.0,0.0,0.0,0.0,0.5,8936.5,0.0008169934640522876,0.13038826211161372,0.0646169800519841,0.03126638088419882,0.437161142822888,0.6634327658706846,0.16033836700848542,0.7669328552630356,0.2527301342017091,1.1528470771934132,0.5041666666666667,0.0
priority_allocation,per_operation,60,1.2013888888888888,0.0,0.0,0.0,0.5,10166.283333333333,0.005543300653594771,0.1289926256355784,0.06394355687318148,0.03280876257461624,0.5025440789166843,0.7282890240000603,0.15925144378376566,0.7623136456139866,0.25454709560531025,1.174227244350557,0.4732638888888889,0.0
random_allocation,per_job,60,0.0,0.0,-1.1805555555555556,0.003125,0.5015625,14353.966666666667,0.2238103916297702,0.09770410606536213,0.04842597447982751,0.10488509904543446,0.5801023020264116,0.8311174816170357,0.17271700427004014,0.7376725746871388,0.27017618062263066,1.361039253870822,0.1079861111111111,0.0
random_allocation,per_layer,60,0.0,0.0,-0.2777777777777778,0.0006944444444444444,0.5003472222222222,9164.85,0.0,0.13380487792054827,0.0651680946089257,0.03313450152089561,0.40863066354703187,0.6407381375974014,0.17694413377307538,0.7677149113724713,0.2528886218351137,1.1985885314464892,0.19166666666666668,0.0
random_allocation,per_operation,60,0.2694444444444445,-0.2298611111111111,-0.4034722222222222,0.0013888888888888887,0.5006944444444444,9700.85,0.003997140522875817,0.1318098754143529,0.0641954161815095,0.03403974644368193,0.4707798265574104,0.7008248645969548,0.17391706344589583,0.7638370029955671,0.253021472695568,1.1322840881872032,0.2986111111111111,0.0
round_robin,per_job,60,120.36140350877193,0.0,0.0,0.0,0.5,14458.016666666666,0.2384246575951984,0.09347998875474296,0.0477013736211477,0.092311648020454,0.5920110463494586,0.8255040567458032,0.13671366260987888,0.7348662001887244,0.27776936308658456,1.0963159694879088,0.175,0.0
round_robin,per_layer,60,0.6666666666666666,0.2916666666666667,0.13541666666666666,0.001736111111111111,0.5008680555555556,9353.416666666666,0.0,0.13076307107522595,0.0646769600252983,0.033556244795105813,0.43362845234968594,0.6626247282453159,0.15911229601121288,0.7677149113724713,0.2530740263235371,1.1909790794614505,0.25,0.0
round_robin,per_operation,60,1.1486111111111112,0.10972222222222223,-0.13333333333333333,0.001736111111111111,0.5008680555555556,10015.9,0.0036254084967320263,0.12957140437267803,0.06420698953975432,0.037501124959087105,0.5016809322284559,0.7329604510999754,0.15665735412513995,0.7642158654034034,0.2534034738759126,1.188632817504893,0.3111111111111111,0.0
shared_global_pool,per_job,60,0.0,0.0,-15.225694444444446,0.0,0.5,6049.783333333334,0.027567449022619803,0.12540874735434396,0.06261189075909171,0.0,0.923204205116908,1.1112248432303435,0.14650524290179412,0.7661898658308276,0.326639567539157,1.1462382027106486,0.7413194444444444,287.6333333333333
shared_global_pool,per_layer,60,0.0,0.0,-3.888888888888889,0.0003472222222222222,0.5001736111111111,4134.666666666667,0.0,0.13037756358382702,0.06472535282370483,0.0,0.5484469652028581,0.7435498816103899,0.16302782565732613,0.7677149113724713,0.3514798929092542,1.1118144021134964,0.7944444444444444,296.8
shared_global_pool,per_operation,60,0.0,0.0,-4.045138888888889,0.0,0.5,4165.1,0.0,0.12930845872646585,0.06449935572242087,0.0,0.5805030608190488,0.7743108752679355,0.16009811250105932,0.7677149113724713,0.33049908635641684,1.1099683388617338,0.829861111111111,296.8
static_assignment,per_job,60,0.0,0.0,0.0,0.0,0.5,16139.85,0.28856089818625397,0.08083221155532955,0.042168176066955325,0.050585932906727464,0.3917823305213666,0.5653686510503789,0.07703311076073426,0.7115984787497495,0.30925695761032995,1.0,0.0,0.0
static_assignment,per_layer,60,0.0,0.0,0.0,0.0,0.5,12858.55,0.04939309056956116,0.11896313564574976,0.06013081682016608,0.019055580352455918,0.3600972810306933,0.558246813849065,0.08707124722291823,0.7971377366120858,0.2531534640452875,1.0,0.0,0.0
static_assignment,per_operation,60,0.0,0.0,0.0,0.0,0.5,14552.633333333333,0.048853079110432046,0.11857313196654662,0.0593471497037821,0.01720305508755382,0.3895882263419667,0.5847115630998493,0.09250960901912048,0.7793185326832304,0.25107796729831006,1.0,0.0,0.0
