protocol_context,graph_mode,model_name,trace_count,exact_graph_match,mean_edge_precision,mean_edge_recall,mean_edge_f1,mean_edge_jaccard,mean_edge_edit_distance,mean_edge_count_absolute_error,mean_node_degree_mae
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,18,0.16666666666666666,0.7203703703703703,0.9027777777777778,0.7914462081128748,0.6731481481481482,1.3888888888888888,0.7222222222222222,0.5
direct_coherent_dynamic_graph,edge_localized,logistic_regression,18,0.2777777777777778,0.7749999999999999,0.8611111111111112,0.8011022927689594,0.700925925925926,1.2777777777777777,0.7222222222222222,0.4444444444444444
direct_coherent_dynamic_graph,edge_localized,random_forest,18,0.2777777777777778,0.8175925925925926,0.8287037037037037,0.8038800705467373,0.7064814814814815,1.2222222222222223,0.7777777777777778,0.4444444444444444
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,18,0.0,0.5527777777777777,0.6388888888888888,0.5753086419753086,0.43148148148148147,2.611111111111111,0.9444444444444444,0.7222222222222222
direct_coherent_dynamic_graph,global_only_control,logistic_regression,18,0.05555555555555555,0.5296296296296297,0.6666666666666666,0.5764991181657848,0.44999999999999996,2.7222222222222223,1.0555555555555556,0.7777777777777778
direct_coherent_dynamic_graph,global_only_control,random_forest,18,0.0,0.48055555555555557,0.7361111111111112,0.5742504409171076,0.437037037037037,3.0,1.6666666666666667,1.0
entanglement_assisted_dynamic_graph,edge_localized,hist_gradient_boosting,18,0.16666666666666666,0.7055555555555555,0.9814814814814815,0.8090828924162258,0.6962962962962963,1.3333333333333333,1.2222222222222223,0.6388888888888888
entanglement_assisted_dynamic_graph,edge_localized,logistic_regression,18,0.2222222222222222,0.8296296296296296,0.8425925925925926,0.8112433862433862,0.7046296296296296,1.1666666666666667,0.8333333333333334,0.5
entanglement_assisted_dynamic_graph,edge_localized,random_forest,18,0.5555555555555556,0.9166666666666666,0.925925925925926,0.9119047619047619,0.8537037037037037,0.5555555555555556,0.3333333333333333,0.2222222222222222
entanglement_assisted_dynamic_graph,global_only_control,hist_gradient_boosting,18,0.0,0.4898148148148148,0.7731481481481481,0.5833774250440917,0.43148148148148147,3.0555555555555554,1.7222222222222223,1.0
entanglement_assisted_dynamic_graph,global_only_control,logistic_regression,18,0.0,0.5277777777777778,0.6574074074074073,0.5613756613756613,0.41203703703703703,2.7777777777777777,1.0,0.8055555555555556
entanglement_assisted_dynamic_graph,global_only_control,random_forest,18,0.1111111111111111,0.6037037037037037,0.7037037037037037,0.6322751322751323,0.49351851851851847,2.388888888888889,0.8333333333333334,0.6944444444444444
