protocol_context,graph_mode,model_name,sample_count,state_class_count,chance_accuracy,accuracy,balanced_accuracy,macro_f1,remote_edge_identity_accuracy,remote_edge_identity_macro_f1,remote_edge_identity_chance,stable_interior_accuracy_gt_one_scan,near_boundary_accuracy_within_one_scan,remote_vs_no_accuracy,remote_vs_no_f1
direct_coherent_dynamic_graph,edge_localized,logistic_regression,1728,7,0.14285714285714285,0.5266203703703703,0.5588149014600104,0.526514154584704,0.5289421157684631,0.6397530037728344,0.16666666666666666,0.5902777777777778,0.46296296296296297,0.6035879629629629,0.6593734460467429
direct_coherent_dynamic_graph,edge_localized,random_forest,1728,7,0.14285714285714285,0.5283564814814815,0.5789155531640606,0.530301344593018,0.562874251497006,0.6610596657149973,0.16666666666666666,0.5810185185185185,0.4756944444444444,0.5960648148148148,0.6611650485436893
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,1728,7,0.14285714285714285,0.5104166666666666,0.5041857286072793,0.49016702138257695,0.48902195608782434,0.5793003724013488,0.16666666666666666,0.5578703703703703,0.46296296296296297,0.5966435185185185,0.6470886075949367
direct_coherent_dynamic_graph,edge_localized,majority_baseline,1728,7,0.14285714285714285,0.4201388888888889,0.14285714285714285,0.08452672022354173,0.0,0.0,0.16666666666666666,,,0.4201388888888889,0.0
direct_coherent_dynamic_graph,global_only_control,logistic_regression,1728,7,0.14285714285714285,0.3414351851851852,0.1814477867244567,0.18434134850264128,0.1217564870259481,0.125804409365955,0.16666666666666666,0.3958333333333333,0.28703703703703703,0.6753472222222222,0.7136294027565084
direct_coherent_dynamic_graph,global_only_control,random_forest,1728,7,0.14285714285714285,0.3767361111111111,0.19509022482463512,0.19785144348539502,0.13273453093812376,0.1344880637428274,0.16666666666666666,0.4166666666666667,0.3368055555555556,0.7002314814814815,0.7276550998948476
direct_coherent_dynamic_graph,global_only_control,hist_gradient_boosting,1728,7,0.14285714285714285,0.3802083333333333,0.20246347377160223,0.21427015326413032,0.1437125748502994,0.15731790976596013,0.16666666666666666,0.4363425925925926,0.32407407407407407,0.7002314814814815,0.7290794979079498
direct_coherent_dynamic_graph,global_only_control,majority_baseline,1728,7,0.14285714285714285,0.4201388888888889,0.14285714285714285,0.08452672022354173,0.0,0.0,0.16666666666666666,,,0.4201388888888889,0.0
entanglement_assisted_dynamic_graph,edge_localized,logistic_regression,1728,7,0.14285714285714285,0.4496527777777778,0.5160833067780439,0.45302822628567174,0.49700598802395207,0.5820949398473046,0.16666666666666666,0.49189814814814814,0.4074074074074074,0.5746527777777778,0.6601941747572816
entanglement_assisted_dynamic_graph,edge_localized,random_forest,1728,7,0.14285714285714285,0.5237268518518519,0.5361274221798554,0.5279883557161057,0.47704590818363274,0.6034263823159959,0.16666666666666666,0.5613425925925926,0.4861111111111111,0.6122685185185185,0.6532091097308489
entanglement_assisted_dynamic_graph,edge_localized,hist_gradient_boosting,1728,7,0.14285714285714285,0.5028935185185185,0.45376970467745176,0.45893270312490514,0.38922155688622756,0.508755875765397,0.16666666666666666,0.5347222222222222,0.4710648148148148,0.5914351851851852,0.6060267857142857
entanglement_assisted_dynamic_graph,edge_localized,majority_baseline,1728,7,0.14285714285714285,0.4201388888888889,0.14285714285714285,0.08452672022354173,0.0,0.0,0.16666666666666666,,,0.4201388888888889,0.0
entanglement_assisted_dynamic_graph,global_only_control,logistic_regression,1728,7,0.14285714285714285,0.37905092592592593,0.18611813230784552,0.1786374600599152,0.10778443113772455,0.11320587797627261,0.16666666666666666,0.4224537037037037,0.33564814814814814,0.6579861111111112,0.6662902315076228
entanglement_assisted_dynamic_graph,global_only_control,random_forest,1728,7,0.14285714285714285,0.38773148148148145,0.19227161471693163,0.19232462512161133,0.11077844311377245,0.13006396998919742,0.16666666666666666,0.42592592592592593,0.34953703703703703,0.6475694444444444,0.6477732793522267
entanglement_assisted_dynamic_graph,global_only_control,hist_gradient_boosting,1728,7,0.14285714285714285,0.3773148148148148,0.2078742342586152,0.18478755523904408,0.10578842315369262,0.12567113654722975,0.16666666666666666,0.41550925925925924,0.33912037037037035,0.6232638888888888,0.6199649737302977
entanglement_assisted_dynamic_graph,global_only_control,majority_baseline,1728,7,0.14285714285714285,0.4201388888888889,0.14285714285714285,0.08452672022354173,0.0,0.0,0.16666666666666666,,,0.4201388888888889,0.0
