protocol_context,graph_mode,model_name,trace_id,graph_instance_id,repeat_id,true_boundary_count,predicted_boundary_count,matched_boundary_count,boundary_recall_within_tolerance,boundary_precision_within_tolerance,boundary_f1_within_tolerance,boundary_mae_ns,boundary_median_absolute_error_ns,boundary_mean_signed_error_ns,tolerance_ns
direct_coherent_dynamic_graph,edge_localized,logistic_regression,39d40183ebb6306fa888,graph_0017,0,5,13,5,1.0,0.38461538461538464,0.5555555555555556,697.4852906174004,443.99261065119936,582.1860835533844,2520.0
direct_coherent_dynamic_graph,edge_localized,logistic_regression,54b27dc44db5be6d11bd,graph_0006,1,3,6,0,0.0,0.0,0.0,,,,2520.0
direct_coherent_dynamic_graph,edge_localized,logistic_regression,834caa9a11b06852f61c,graph_0022,0,4,6,2,0.5,0.3333333333333333,0.4,1204.0451801930321,1204.0451801930321,733.2805323560679,2520.0
direct_coherent_dynamic_graph,edge_localized,logistic_regression,9a33b91ff840bb32f788,graph_0013,1,4,17,3,0.75,0.17647058823529413,0.2857142857142857,797.6141409548612,445.0748002110395,715.3745782240834,2520.0
direct_coherent_dynamic_graph,edge_localized,logistic_regression,9e13fc54fd19cf70187e,graph_0029,1,5,10,4,0.8,0.4,0.5333333333333333,1062.077686187428,878.1409810823366,1062.077686187428,2520.0
direct_coherent_dynamic_graph,edge_localized,logistic_regression,a946f7644cc70534c101,graph_0022,1,4,11,1,0.25,0.09090909090909091,0.13333333333333333,529.40353895113,529.40353895113,529.40353895113,2520.0
direct_coherent_dynamic_graph,edge_localized,logistic_regression,b9606cb8f4f3620cb8fc,graph_0016,0,4,18,3,0.75,0.16666666666666666,0.27272727272727276,956.0136593143285,1013.3489529663602,403.46623823456895,2520.0
direct_coherent_dynamic_graph,edge_localized,logistic_regression,c6ec899d5b48f5400370,graph_0005,1,5,16,4,0.8,0.25,0.38095238095238093,800.8597862405727,567.0720754878666,-175.9400947096151,2520.0
direct_coherent_dynamic_graph,edge_localized,logistic_regression,d9e49aa10dcecba43f8c,graph_0013,0,4,14,3,0.75,0.21428571428571427,0.3333333333333333,1358.408785456267,1824.4082785573773,1358.408785456267,2520.0
direct_coherent_dynamic_graph,edge_localized,logistic_regression,e0d0a47c0fd12f5ab960,graph_0006,0,3,7,2,0.6666666666666666,0.2857142857142857,0.4,1127.9891925629904,1127.9891925629904,1127.9891925629904,2520.0
direct_coherent_dynamic_graph,edge_localized,logistic_regression,e354edca84bb4c2355af,graph_0024,1,3,12,2,0.6666666666666666,0.16666666666666666,0.26666666666666666,379.74384567653306,379.74384567653306,379.74384567653306,2520.0
direct_coherent_dynamic_graph,edge_localized,logistic_regression,ea328e273ee965310c89,graph_0024,0,3,15,2,0.6666666666666666,0.13333333333333333,0.2222222222222222,934.2299979545196,934.2299979545196,934.2299979545196,2520.0
direct_coherent_dynamic_graph,edge_localized,random_forest,002033da972fd3c4ef5c,graph_0003,0,3,15,2,0.6666666666666666,0.13333333333333333,0.2222222222222222,512.7009346125869,512.7009346125869,512.7009346125869,2520.0
direct_coherent_dynamic_graph,edge_localized,random_forest,0fd6d0cc3cc6a5450dcc,graph_0029,0,5,17,5,1.0,0.29411764705882354,0.45454545454545453,1083.4897488841866,1298.8362751120685,311.82376962035835,2520.0
direct_coherent_dynamic_graph,edge_localized,random_forest,1de136165120953a48cb,graph_0003,1,3,15,3,1.0,0.2,0.33333333333333337,752.2025879192382,887.4569636789893,752.2025879192382,2520.0
direct_coherent_dynamic_graph,edge_localized,random_forest,1f0a8541c50933571d98,graph_0016,1,4,22,4,1.0,0.18181818181818182,0.3076923076923077,724.9468313662408,528.8086204394817,-335.33690820456764,2520.0
direct_coherent_dynamic_graph,edge_localized,random_forest,1fd30054f2c86a388fab,graph_0005,0,5,18,5,1.0,0.2777777777777778,0.4347826086956522,236.36761567125504,205.5984571947356,236.36761567125504,2520.0
