candidate_edge_index,candidate_probe_edge,endpoint_a,endpoint_b,attacker_knows_probe_edge,victim_active_edge_hidden_from_attacker
0,module_1--module_2,module_1,module_2,True,True
1,module_1--module_3,module_1,module_3,True,True
2,module_1--module_4,module_1,module_4,True,True
3,module_2--module_3,module_2,module_3,True,True
4,module_2--module_4,module_2,module_4,True,True
5,module_3--module_4,module_3,module_4,True,True
