trace_id,protocol_context,probe_index,probe_edge,release_ns,attacker_only_success,combined_success,attacker_only_completion_ns,combined_completion_ns,attacker_only_turnaround_ns,combined_turnaround_ns,excess_turnaround_ns,delayed,speedup,failure_transition
367cf358963db8b6ca74,direct_coherent_dynamic_graph,40,module_1--module_2,16830.0,True,True,16980.0,16980.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,41,module_2--module_4,17250.0,True,True,17400.0,17400.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,42,module_3--module_4,17670.0,True,True,17820.0,17820.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,43,module_1--module_2,18090.0,True,True,18240.0,18240.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,44,module_1--module_4,18510.0,True,True,18660.0,18660.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,45,module_2--module_3,18930.0,True,True,19080.0,19080.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,46,module_2--module_4,19350.0,True,True,19500.0,19500.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,47,module_1--module_3,19770.0,True,True,19920.0,19920.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,48,module_1--module_3,20190.0,True,True,20340.0,20340.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,49,module_2--module_3,20610.0,True,True,20760.0,20760.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,50,module_1--module_2,21030.0,True,True,21180.0,21180.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,51,module_3--module_4,21450.0,True,True,21600.0,21600.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,52,module_2--module_4,21870.0,True,True,22020.0,22212.083176610748,150.0,342.0831766107476,192.0831766107476,True,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,53,module_1--module_4,22290.0,True,True,22440.0,22440.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,54,module_2--module_4,22710.0,True,True,22860.0,23278.581953795758,150.0,568.5819537957577,418.5819537957577,True,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,55,module_1--module_4,23130.0,True,True,23280.0,23280.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,56,module_1--module_3,23550.0,True,True,23700.0,23700.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,57,module_2--module_3,23970.0,True,True,24120.0,24120.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,58,module_1--module_2,24390.0,True,True,24540.0,24540.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,59,module_3--module_4,24810.0,True,True,24960.0,24960.0,150.0,150.0,0.0,False,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,60,module_2--module_4,25230.0,True,True,25380.0,25422.8637063128,150.0,192.8637063128008,42.86370631280079,True,False,False
367cf358963db8b6ca74,direct_coherent_dynamic_graph,61,module_1--module_4,25650.0,True,True,25800.0,25800.0,150.0,150.0,0.0,False,False,False
