protocol_context,graph_mode,graph_instance_id,repeat_id,probe_edge,scenario_id,victim_request_count_used,victim_edges_used
direct_coherent_dynamic_graph,edge_localized,graph_0003,1,module_1--module_3,direct_coherent_remote_cx__all_used_shared,0,
direct_coherent_dynamic_graph,edge_localized,graph_0003,1,module_1--module_4,direct_coherent_remote_cx__all_used_shared,24,module_1--module_4
direct_coherent_dynamic_graph,edge_localized,graph_0003,1,module_2--module_3,direct_coherent_remote_cx__all_used_shared,0,
direct_coherent_dynamic_graph,edge_localized,graph_0003,1,module_2--module_4,direct_coherent_remote_cx__all_used_shared,0,
direct_coherent_dynamic_graph,edge_localized,graph_0003,1,module_3--module_4,direct_coherent_remote_cx__all_used_shared,15,module_3--module_4
direct_coherent_dynamic_graph,edge_localized,graph_0004,0,module_1--module_2,direct_coherent_remote_cx__all_used_shared,18,module_1--module_2
direct_coherent_dynamic_graph,edge_localized,graph_0004,0,module_1--module_3,direct_coherent_remote_cx__all_used_shared,12,module_1--module_3
direct_coherent_dynamic_graph,edge_localized,graph_0004,0,module_1--module_4,direct_coherent_remote_cx__all_used_shared,12,module_1--module_4
direct_coherent_dynamic_graph,edge_localized,graph_0004,0,module_2--module_3,direct_coherent_remote_cx__all_used_shared,0,
direct_coherent_dynamic_graph,edge_localized,graph_0004,0,module_2--module_4,direct_coherent_remote_cx__all_used_shared,0,
direct_coherent_dynamic_graph,edge_localized,graph_0004,0,module_3--module_4,direct_coherent_remote_cx__all_used_shared,0,
direct_coherent_dynamic_graph,edge_localized,graph_0004,1,module_1--module_2,direct_coherent_remote_cx__all_used_shared,17,module_1--module_2
direct_coherent_dynamic_graph,edge_localized,graph_0004,1,module_1--module_3,direct_coherent_remote_cx__all_used_shared,12,module_1--module_3
direct_coherent_dynamic_graph,edge_localized,graph_0004,1,module_1--module_4,direct_coherent_remote_cx__all_used_shared,10,module_1--module_4
direct_coherent_dynamic_graph,edge_localized,graph_0004,1,module_2--module_3,direct_coherent_remote_cx__all_used_shared,0,
direct_coherent_dynamic_graph,edge_localized,graph_0004,1,module_2--module_4,direct_coherent_remote_cx__all_used_shared,0,
direct_coherent_dynamic_graph,edge_localized,graph_0004,1,module_3--module_4,direct_coherent_remote_cx__all_used_shared,0,
direct_coherent_dynamic_graph,edge_localized,graph_0005,0,module_1--module_2,direct_coherent_remote_cx__all_used_shared,0,
direct_coherent_dynamic_graph,edge_localized,graph_0005,0,module_1--module_3,direct_coherent_remote_cx__all_used_shared,6,module_1--module_3
direct_coherent_dynamic_graph,edge_localized,graph_0005,0,module_1--module_4,direct_coherent_remote_cx__all_used_shared,10,module_1--module_4
direct_coherent_dynamic_graph,edge_localized,graph_0005,0,module_2--module_3,direct_coherent_remote_cx__all_used_shared,12,module_2--module_3
direct_coherent_dynamic_graph,edge_localized,graph_0005,0,module_2--module_4,direct_coherent_remote_cx__all_used_shared,0,
direct_coherent_dynamic_graph,edge_localized,graph_0005,0,module_3--module_4,direct_coherent_remote_cx__all_used_shared,16,module_3--module_4
direct_coherent_dynamic_graph,edge_localized,graph_0005,1,module_1--module_2,direct_coherent_remote_cx__all_used_shared,0,
direct_coherent_dynamic_graph,edge_localized,graph_0005,1,module_1--module_3,direct_coherent_remote_cx__all_used_shared,6,module_1--module_3
