protocol_context,graph_mode,remote_profile,true_active_edge,probe_edge,probe_count,mean_excess_ns,mean_abs_excess_ns,mean_positive_excess_ns,delayed_fraction,speedup_fraction,failure_transition_fraction
direct_coherent_dynamic_graph,edge_localized,sparse_periodic,module_1--module_4,module_1--module_3,16,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,sparse_periodic,module_1--module_4,module_1--module_4,16,39.8807896651644,39.8807896651644,39.8807896651644,0.4375,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,sparse_periodic,module_1--module_4,module_2--module_3,16,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,sparse_periodic,module_1--module_4,module_2--module_4,19,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,sparse_periodic,module_1--module_4,module_3--module_4,17,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,sparse_periodic,module_3--module_4,module_1--module_2,4,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,sparse_periodic,module_3--module_4,module_1--module_3,4,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,sparse_periodic,module_3--module_4,module_1--module_4,6,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,sparse_periodic,module_3--module_4,module_2--module_3,4,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,sparse_periodic,module_3--module_4,module_2--module_4,5,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,sparse_periodic,module_3--module_4,module_3--module_4,5,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_1--module_2,module_1--module_2,10,432.2747524424052,432.2747524424052,432.2747524424052,1.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_1--module_2,module_1--module_3,12,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_1--module_2,module_1--module_4,11,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_1--module_2,module_2--module_3,12,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_1--module_2,module_2--module_4,13,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_1--module_2,module_3--module_4,12,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_1--module_4,module_1--module_2,10,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_1--module_4,module_1--module_3,10,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_1--module_4,module_1--module_4,12,272.24512411100324,272.24512411100324,272.24512411100324,0.6666666666666666,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_1--module_4,module_2--module_3,12,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_1--module_4,module_2--module_4,10,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_1--module_4,module_3--module_4,12,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_2--module_3,module_1--module_2,30,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_2--module_3,module_1--module_3,30,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_2--module_3,module_1--module_4,33,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_2--module_3,module_2--module_3,29,428.70049831159173,428.70049831159173,428.70049831159173,0.7586206896551724,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_2--module_3,module_2--module_4,30,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_dynamic_graph,edge_localized,synchronization_bursty,module_2--module_3,module_3--module_4,26,0.0,0.0,0.0,0.0,0.0,0.0
