protocol_context,graph_mode,model_name,true_state_label,predicted_state_label,count,true_normalized_fraction
direct_coherent_dynamic_graph,edge_localized,random_forest,no_remote,module_1--module_4,28,0.03856749311294766
direct_coherent_dynamic_graph,edge_localized,random_forest,no_remote,module_2--module_3,97,0.13360881542699724
direct_coherent_dynamic_graph,edge_localized,random_forest,no_remote,module_2--module_4,76,0.1046831955922865
direct_coherent_dynamic_graph,edge_localized,random_forest,no_remote,module_3--module_4,67,0.09228650137741047
direct_coherent_dynamic_graph,edge_localized,random_forest,module_1--module_2,no_remote,44,0.3283582089552239
direct_coherent_dynamic_graph,edge_localized,random_forest,module_1--module_2,module_1--module_2,68,0.5074626865671642
direct_coherent_dynamic_graph,edge_localized,random_forest,module_1--module_2,module_1--module_3,1,0.007462686567164179
direct_coherent_dynamic_graph,edge_localized,random_forest,module_1--module_2,module_1--module_4,3,0.022388059701492536
direct_coherent_dynamic_graph,edge_localized,random_forest,module_1--module_2,module_2--module_3,5,0.03731343283582089
direct_coherent_dynamic_graph,edge_localized,random_forest,module_1--module_2,module_2--module_4,13,0.09701492537313433
direct_coherent_dynamic_graph,edge_localized,random_forest,module_1--module_2,module_3--module_4,0,0.0
direct_coherent_dynamic_graph,edge_localized,random_forest,module_1--module_3,no_remote,107,0.37943262411347517
direct_coherent_dynamic_graph,edge_localized,random_forest,module_1--module_3,module_1--module_2,4,0.014184397163120567
direct_coherent_dynamic_graph,edge_localized,random_forest,module_1--module_3,module_1--module_3,127,0.450354609929078
direct_coherent_dynamic_graph,edge_localized,random_forest,module_1--module_3,module_1--module_4,13,0.04609929078014184
direct_coherent_dynamic_graph,edge_localized,random_forest,module_1--module_3,module_2--module_3,2,0.0070921985815602835
direct_coherent_dynamic_graph,edge_localized,random_forest,module_1--module_3,module_2--module_4,27,0.09574468085106383
direct_coherent_dynamic_graph,edge_localized,random_forest,module_1--module_3,module_3--module_4,2,0.0070921985815602835
direct_coherent_dynamic_graph,edge_localized,random_forest,module_1--module_4,no_remote,55,0.3273809523809524
direct_coherent_dynamic_graph,edge_localized,random_forest,module_1--module_4,module_1--module_2,1,0.005952380952380952
direct_coherent_dynamic_graph,edge_localized,random_forest,module_1--module_4,module_1--module_3,2,0.011904761904761904
direct_coherent_dynamic_graph,edge_localized,random_forest,module_1--module_4,module_1--module_4,100,0.5952380952380952
direct_coherent_dynamic_graph,edge_localized,random_forest,module_1--module_4,module_2--module_3,6,0.03571428571428571
direct_coherent_dynamic_graph,edge_localized,random_forest,module_1--module_4,module_2--module_4,1,0.005952380952380952
direct_coherent_dynamic_graph,edge_localized,random_forest,module_1--module_4,module_3--module_4,3,0.017857142857142856
direct_coherent_dynamic_graph,edge_localized,random_forest,module_2--module_3,no_remote,54,0.25961538461538464
direct_coherent_dynamic_graph,edge_localized,random_forest,module_2--module_3,module_1--module_2,3,0.014423076923076924
direct_coherent_dynamic_graph,edge_localized,random_forest,module_2--module_3,module_1--module_3,0,0.0
direct_coherent_dynamic_graph,edge_localized,random_forest,module_2--module_3,module_1--module_4,9,0.04326923076923077
direct_coherent_dynamic_graph,edge_localized,random_forest,module_2--module_3,module_2--module_3,135,0.6490384615384616
direct_coherent_dynamic_graph,edge_localized,random_forest,module_2--module_3,module_2--module_4,4,0.019230769230769232
direct_coherent_dynamic_graph,edge_localized,random_forest,module_2--module_3,module_3--module_4,3,0.014423076923076924
direct_coherent_dynamic_graph,edge_localized,random_forest,module_2--module_4,no_remote,10,0.20833333333333334
direct_coherent_dynamic_graph,edge_localized,random_forest,module_2--module_4,module_1--module_2,0,0.0
direct_coherent_dynamic_graph,edge_localized,random_forest,module_2--module_4,module_1--module_3,0,0.0
direct_coherent_dynamic_graph,edge_localized,random_forest,module_2--module_4,module_1--module_4,1,0.020833333333333332
direct_coherent_dynamic_graph,edge_localized,random_forest,module_2--module_4,module_2--module_3,0,0.0
direct_coherent_dynamic_graph,edge_localized,random_forest,module_2--module_4,module_2--module_4,37,0.7708333333333334
direct_coherent_dynamic_graph,edge_localized,random_forest,module_2--module_4,module_3--module_4,0,0.0
direct_coherent_dynamic_graph,edge_localized,random_forest,module_3--module_4,no_remote,51,0.3148148148148148
direct_coherent_dynamic_graph,edge_localized,random_forest,module_3--module_4,module_1--module_2,2,0.012345679012345678
direct_coherent_dynamic_graph,edge_localized,random_forest,module_3--module_4,module_1--module_3,3,0.018518518518518517
direct_coherent_dynamic_graph,edge_localized,random_forest,module_3--module_4,module_1--module_4,3,0.018518518518518517
direct_coherent_dynamic_graph,edge_localized,random_forest,module_3--module_4,module_2--module_3,5,0.030864197530864196
direct_coherent_dynamic_graph,edge_localized,random_forest,module_3--module_4,module_2--module_4,1,0.006172839506172839
direct_coherent_dynamic_graph,edge_localized,random_forest,module_3--module_4,module_3--module_4,97,0.5987654320987654
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,no_remote,no_remote,392,0.5399449035812672
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,no_remote,module_1--module_2,18,0.024793388429752067
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,no_remote,module_1--module_3,55,0.07575757575757576
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,no_remote,module_1--module_4,16,0.02203856749311295
direct_coherent_dynamic_graph,edge_localized,hist_gradient_boosting,no_remote,module_2--module_3,86,0.1184573002754821
