protocol_context,protocol_name,graph_mode,scenario_id,scenario_description
direct_coherent_dynamic_graph,direct_coherent_remote_cx,edge_localized,direct_coherent_remote_cx__all_used_shared,route-local validated protocol resources for the matching candidate edge
direct_coherent_dynamic_graph,direct_coherent_remote_cx,global_only_control,direct_coherent_remote_cx__share_interconnect_stack,global switch-path + synchronous quantum-link timing only
entanglement_assisted_dynamic_graph,entanglement_assisted_remote_cx,edge_localized,entanglement_assisted_remote_cx__all_used_shared,route-local validated protocol resources for the matching candidate edge
entanglement_assisted_dynamic_graph,entanglement_assisted_remote_cx,global_only_control,entanglement_assisted_remote_cx__share_measurement_stack,global readout + feedforward timing only
