trace_id,base_schedule_id,repeat_id,schedule_profile,link_success_probability,condition_id,task_name,evaluator_label,runtime_mode,post_profile,distillation_depth,retry_limit,uses_prefetch,victim_remote_operation_count,victim_success_fraction,actual_generation_attempt_count,actual_retry_count,victim_mean_request_slowdown,victim_makespan_slowdown
9c8fce4a619c4506f2a3,base_0000,0,sparse_periodic,0.65,protocol_direct,protocol_inference,direct_transfer,direct,baseline,0,1,False,19,1.0,0,0,1.5250488200377659,1.0130357095316618
78667d321da43d3bc9dd,base_0000,0,sparse_periodic,0.65,protocol_on_demand,protocol_inference,on_demand_epr,custom_epr,baseline,0,4,False,19,1.0,29,10,1.3690062759625998,1.014747138298152
7c2549ddaf57836b078e,base_0000,0,sparse_periodic,0.65,protocol_prefetch,protocol_inference,prefetched_epr,prefetch,prefetched,0,4,True,19,1.0,24,5,1.5833875778197402,1.0130458824509805
98b36644a7279c7ec4e8,base_0000,0,sparse_periodic,0.65,protocol_telegate,protocol_inference,telegate,prefetch,telegate,0,4,True,19,1.0,31,12,1.5371219384672774,1.0130357095316618
f028187d610bd787c1e7,base_0000,0,sparse_periodic,0.65,protocol_teledata,protocol_inference,teledata,prefetch,teledata,0,4,True,19,1.0,28,9,1.3750348714555478,1.0129951760138665
a4c42fd22c522099cdc8,base_0000,0,sparse_periodic,0.65,distill_0,distillation_depth_inference,distill_0,custom_epr,baseline,0,6,False,19,1.0,32,13,1.4431614239891366,1.0192576168583625
4a58e24ed7566e25c3de,base_0000,0,sparse_periodic,0.65,distill_1,distillation_depth_inference,distill_1,custom_epr,baseline,1,6,False,19,1.0,56,18,1.2566026167779327,1.005275686133674
97ad91ae3dd95fe56bf3,base_0000,0,sparse_periodic,0.65,distill_2,distillation_depth_inference,distill_2,custom_epr,baseline,2,6,False,19,1.0,111,35,3.462525532791591,1.3153631946161077
c002c421f9fd659351a2,base_0000,0,sparse_periodic,0.65,retry_1,retry_policy_inference,retry_1,custom_epr,baseline,0,1,False,19,0.6842105263157895,19,6,1.261199175245621,1.0033762975111993
35239e8e843fd7fa8b75,base_0000,0,sparse_periodic,0.65,retry_2,retry_policy_inference,retry_2,custom_epr,baseline,0,2,False,19,0.8947368421052632,29,12,1.3604668863527276,1.0033762975111993
7365256af0e7b5ddaa6c,base_0000,0,sparse_periodic,0.65,retry_4,retry_policy_inference,retry_4,custom_epr,baseline,0,4,False,19,0.8947368421052632,32,15,1.282462616476318,1.0041464685707329
194a26b5deafc44166f5,base_0000,0,sparse_periodic,0.65,service_low_latency,service_class_inference,low_latency,prefetch,low_latency,0,1,True,19,1.0,30,11,1.7673170549532533,1.0130662759970608
d6cdce7336fa69e078d0,base_0000,0,sparse_periodic,0.65,service_high_fidelity,service_class_inference,high_fidelity,custom_epr,high_fidelity,2,6,False,19,1.0,111,35,3.5710033979236875,1.301585823944345
