base_schedule_id,repeat_id,schedule_profile,victim_request_index,release_ns
base_0001,1,dense_periodic,36,18743.02421208761
base_0001,1,dense_periodic,37,19259.69049733359
base_0001,1,dense_periodic,38,19772.774649676132
base_0002,0,synchronization_bursty,0,140.43739180804135
base_0002,0,synchronization_bursty,1,199.0872461088027
base_0002,0,synchronization_bursty,2,261.05349638669094
base_0002,0,synchronization_bursty,3,322.08342484517397
base_0002,0,synchronization_bursty,4,382.856392712398
base_0002,0,synchronization_bursty,5,443.3696628071756
base_0002,0,synchronization_bursty,6,1702.9358455319361
base_0002,0,synchronization_bursty,7,1764.0124246357807
base_0002,0,synchronization_bursty,8,1815.6049747505306
base_0002,0,synchronization_bursty,9,1879.060162511722
base_0002,0,synchronization_bursty,10,1937.2448612667886
base_0002,0,synchronization_bursty,11,1994.539327604638
base_0002,0,synchronization_bursty,12,3261.0288794002036
base_0002,0,synchronization_bursty,13,3318.36234275824
base_0002,0,synchronization_bursty,14,3376.245715254391
base_0002,0,synchronization_bursty,15,3436.7996061605418
base_0002,0,synchronization_bursty,16,3496.605114710615
base_0002,0,synchronization_bursty,17,3558.7394673277813
base_0002,0,synchronization_bursty,18,4814.783373894783
base_0002,0,synchronization_bursty,19,4876.304566944788
base_0002,0,synchronization_bursty,20,4931.54076144344
base_0002,0,synchronization_bursty,21,4994.40362886176
base_0002,0,synchronization_bursty,22,5057.286524617949
base_0002,0,synchronization_bursty,23,5111.980012276296
base_0002,0,synchronization_bursty,24,6378.133167548162
base_0002,0,synchronization_bursty,25,6433.013307527239
base_0002,0,synchronization_bursty,26,6496.388649478462
base_0002,0,synchronization_bursty,27,6551.01616467802
base_0002,0,synchronization_bursty,28,6615.265933346472
base_0002,0,synchronization_bursty,29,6669.162062905457
base_0002,0,synchronization_bursty,30,7929.6758067413075
base_0002,0,synchronization_bursty,31,7992.538546983676
base_0002,0,synchronization_bursty,32,8054.706817923348
base_0002,0,synchronization_bursty,33,8108.569083691637
base_0002,0,synchronization_bursty,34,8173.761316204456
base_0002,0,synchronization_bursty,35,8228.30263712866
base_0002,0,synchronization_bursty,36,9491.65662495123
base_0002,0,synchronization_bursty,37,9549.348448674757
base_0002,0,synchronization_bursty,38,9611.977008102132
base_0002,0,synchronization_bursty,39,9665.129425752993
base_0002,0,synchronization_bursty,40,9727.835235738386
base_0002,0,synchronization_bursty,41,9783.947041227262
base_0002,0,synchronization_bursty,42,11049.300707630058
base_0002,0,synchronization_bursty,43,11105.348535077545
base_0002,0,synchronization_bursty,44,11167.327070659148
base_0002,0,synchronization_bursty,45,11227.402864237216
base_0002,0,synchronization_bursty,46,11284.153699875616
base_0002,0,synchronization_bursty,47,11348.038549709103
base_0002,0,synchronization_bursty,48,12610.256315937533
base_0002,0,synchronization_bursty,49,12665.696925625825
base_0002,0,synchronization_bursty,50,12721.590054208185
base_0002,0,synchronization_bursty,51,12787.165659750628
base_0002,0,synchronization_bursty,52,12848.212293403305
base_0002,0,synchronization_bursty,53,12901.86279040996
base_0002,0,synchronization_bursty,54,14164.78372536192
base_0002,0,synchronization_bursty,55,14225.170630585217
