task_name,model_name,true_label,predicted_label,count,true_normalized_fraction
distillation_depth_inference,logistic_regression,distill_0,distill_0,33,0.9166666666666666
distillation_depth_inference,logistic_regression,distill_0,distill_1,3,0.08333333333333333
distillation_depth_inference,logistic_regression,distill_0,distill_2,0,0.0
distillation_depth_inference,logistic_regression,distill_1,distill_0,2,0.05555555555555555
distillation_depth_inference,logistic_regression,distill_1,distill_1,29,0.8055555555555556
distillation_depth_inference,logistic_regression,distill_1,distill_2,5,0.1388888888888889
distillation_depth_inference,logistic_regression,distill_2,distill_0,3,0.08333333333333333
distillation_depth_inference,logistic_regression,distill_2,distill_1,3,0.08333333333333333
distillation_depth_inference,logistic_regression,distill_2,distill_2,30,0.8333333333333334
distillation_depth_inference,random_forest,distill_0,distill_0,33,0.9166666666666666
distillation_depth_inference,random_forest,distill_0,distill_1,3,0.08333333333333333
distillation_depth_inference,random_forest,distill_0,distill_2,0,0.0
distillation_depth_inference,random_forest,distill_1,distill_0,1,0.027777777777777776
distillation_depth_inference,random_forest,distill_1,distill_1,31,0.8611111111111112
distillation_depth_inference,random_forest,distill_1,distill_2,4,0.1111111111111111
distillation_depth_inference,random_forest,distill_2,distill_0,1,0.027777777777777776
distillation_depth_inference,random_forest,distill_2,distill_1,6,0.16666666666666666
distillation_depth_inference,random_forest,distill_2,distill_2,29,0.8055555555555556
distillation_depth_inference,hist_gradient_boosting,distill_0,distill_0,32,0.8888888888888888
distillation_depth_inference,hist_gradient_boosting,distill_0,distill_1,3,0.08333333333333333
distillation_depth_inference,hist_gradient_boosting,distill_0,distill_2,1,0.027777777777777776
distillation_depth_inference,hist_gradient_boosting,distill_1,distill_0,0,0.0
distillation_depth_inference,hist_gradient_boosting,distill_1,distill_1,30,0.8333333333333334
distillation_depth_inference,hist_gradient_boosting,distill_1,distill_2,6,0.16666666666666666
distillation_depth_inference,hist_gradient_boosting,distill_2,distill_0,0,0.0
distillation_depth_inference,hist_gradient_boosting,distill_2,distill_1,3,0.08333333333333333
distillation_depth_inference,hist_gradient_boosting,distill_2,distill_2,33,0.9166666666666666
protocol_inference,logistic_regression,direct_transfer,direct_transfer,33,0.9166666666666666
