name,endpoint_access_ns,readout_ns,feedforward_ns,correction_ns,reset_ns
baseline,20.0,70.0,40.0,20.0,120.0
prefetched,20.0,55.0,30.0,30.0,110.0
telegate,20.0,70.0,40.0,20.0,120.0
teledata,30.0,85.0,50.0,45.0,135.0
low_latency,15.0,50.0,25.0,15.0,80.0
high_fidelity,25.0,95.0,55.0,30.0,160.0
