scheduler_policy,communication_qubits_per_module,trial_count,mean_remote_latency_ns,p95_remote_latency_ns,p99_remote_latency_ns,mean_queue_delay_ns,p95_queue_delay_ns,mean_positive_delay_fraction,mean_negative_speedup_fraction,mean_failure_transition_fraction,mean_observable_change_fraction,mean_signed_attacker_change_ns,mean_absolute_attacker_change_ns,mean_victim_slowdown_ratio_successful_only,victim_success_probability,tenant_success_fairness,tenant_wait_fairness,hub_utilization,link_utilization,communication_qubit_utilization,scheduler_reordering_rate,deadline_miss_fraction,mean_phase_boundary_visibility,mean_preemption_count,mean_epr_expiration_fraction,mean_queue_occupancy,mean_maximum_queue_occupancy,request_rejection_fraction
coherence_deadline,1,45,863.1701524556793,2565.9811111111107,2950.3586666666665,748.4031519120199,2452.654444444444,0.15925925925925924,0.0018518518518518517,0.20694444444444443,0.3680555555555556,124.49074074074073,124.78703703703704,1.0188953264397382,0.4666666666666667,0.8920184498113726,0.6031890633411607,0.29714330035088116,0.17445415132258793,0.23771464028070494,0.02323031573191306,0.3720360697879673,0.7026628456022022,0.0,0.0,5.0726185363682195,24.755555555555556,0.21892782270140762
coherence_deadline,2,600,835.1381327043623,2519.041416666666,2840.3644166666663,721.236568986004,2405.6332499999994,0.08875,0.011354166666666667,0.2815625,0.38201388888888893,186.62430555555554,189.62333333333333,1.005891129789134,0.4266666666666667,0.8845218507720225,0.5895594810808337,0.2912617123648555,0.16145379789989725,0.11826200649057647,0.026599710940964687,0.37922547210947444,0.50636836871303,6.098333333333334,0.004147510517320923,3.5230147796024522,24.841666666666665,0.22798093971631206
coherence_deadline,4,45,666.2677261030655,2174.1044444444437,2496.4157777777777,551.4440236458802,2061.266666666666,0.03287037037037037,0.003240740740740741,0.2287037037037037,0.2648148148148148,26.185185185185183,26.61111111111111,1.0010063328159926,0.4666666666666667,0.8915328280742554,0.5835797864027408,0.2943985992217719,0.17349807742098358,0.05887971984435438,0.024616008502680895,0.3300218704620982,0.2854910943717604,0.0,0.0,3.5589142918499586,23.42222222222222,0.2183288409703504
coherence_deadline,8,45,641.3771369006859,2154.9022222222216,2491.681777777778,526.754724003553,2042.6199999999992,0.033796296296296297,0.0037037037037037034,0.16712962962962966,0.20462962962962963,28.074074074074073,28.703703703703706,1.001132562814608,0.4666666666666667,0.8996468700146624,0.5951402246531885,0.300822689947818,0.17573171132132306,0.030082268994781804,0.023969894559805766,0.3176717539084712,0.25976339759873524,0.0,0.0,3.5001858735498836,23.533333333333335,0.20365378855944893
dependency_ready,1,45,874.593034850925,3042.1888888888884,3685.8244444444445,759.8830638953111,2927.4611111111103,0.12638888888888888,0.011574074074074072,0.1875,0.32546296296296295,24.716666666666665,26.012962962962963,1.0936529693245216,0.4666666666666667,0.8930382571660461,0.5289726673905834,0.2987835498786584,0.17479394943053578,0.23902683990292672,0.03700286258130948,0.36055653786441266,0.5478533467170532,0.0,0.0,5.208801241763731,24.955555555555556,0.21428571428571427
dependency_ready,2,600,833.155903364138,2869.7442499999993,3435.9851999999996,719.16760982966,2751.4230833333327,0.059166666666666666,0.012604166666666666,0.27395833333333336,0.34572916666666664,118.84479166666667,121.12513888888888,1.0634702227210364,0.42833333333333334,0.8858543407008564,0.5561623764135638,0.2924610421672575,0.16190265095912362,0.11871556416722129,0.04360353086491317,0.37110722293194226,0.4491807135926831,3.3916666666666666,0.003509521495305727,3.547092036165231,24.823333333333334,0.22560948581560283
dependency_ready,4,45,668.6178194737471,2383.295555555555,2792.7911111111107,553.7941170165617,2269.0955555555547,0.02685185185185185,0.003240740740740741,0.2287037037037037,0.2587962962962963,14.796296296296298,15.203703703703702,1.003836911655552,0.4666666666666667,0.8915328280742554,0.5713842786530747,0.2943985992217719,0.17349807742098358,0.05887971984435438,0.033306726625468,0.33451221234665257,0.29683861210225687,0.0,0.0,3.5810776308269205,23.333333333333332,0.2183288409703504
dependency_ready,8,45,644.4901524145838,2324.966666666666,2771.7044444444446,529.8663700807873,2210.7666666666655,0.027314814814814813,0.0037037037037037034,0.16712962962962966,0.19814814814814813,12.972222222222221,13.453703703703702,1.0046676426876537,0.4666666666666667,0.899583487343152,0.586591935607379,0.3007672352190421,0.1757095294298127,0.030076723521904207,0.03092307245381111,0.3219548763135101,0.27347498152308514,0.0,0.0,3.525445426277686,23.533333333333335,0.20380353399221324
endpoint_aware,1,45,1005.5230204133185,3548.3788888888885,4062.907777777778,890.834673508054,3435.228888888889,0.11203703703703705,0.009259259259259259,0.16712962962962963,0.2884259259259259,43.342592592592595,44.39814814814815,1.1373775335412049,0.4666666666666667,0.900343578157208,0.5964280266867807,0.30049996369411897,0.1756350113979915,0.24039997095529517,0.045924873696894755,0.3654988885420574,0.42236527619115755,0.0,0.0,6.2625307449473935,26.644444444444446,0.20829589697514225
endpoint_aware,2,600,865.3644348433934,3112.2604999999994,3555.452,750.2321993606687,2994.2770833333325,0.0525,0.019027777777777775,0.28045138888888893,0.3528125,13.300104166666667,21.557881944444443,1.0494296564954286,0.42833333333333334,0.8829385604217441,0.622578931807889,0.2911978996629407,0.16130622210631043,0.1182062895097373,0.04818043386087108,0.36995277437226176,0.4387675208104947,12.06,0.0060197354754793824,3.660389581036075,24.905,0.22982047872340425
