scheduler_policy,decision_interval_ns,trial_count,mean_remote_latency_ns,p95_remote_latency_ns,p99_remote_latency_ns,mean_queue_delay_ns,p95_queue_delay_ns,mean_positive_delay_fraction,mean_negative_speedup_fraction,mean_failure_transition_fraction,mean_observable_change_fraction,mean_signed_attacker_change_ns,mean_absolute_attacker_change_ns,mean_victim_slowdown_ratio_successful_only,victim_success_probability,tenant_success_fairness,tenant_wait_fairness,hub_utilization,link_utilization,communication_qubit_utilization,scheduler_reordering_rate,deadline_miss_fraction,mean_phase_boundary_visibility,mean_preemption_count,mean_epr_expiration_fraction,mean_queue_occupancy,mean_maximum_queue_occupancy,request_rejection_fraction
coherence_deadline,0,45,756.2538420636919,2327.5799999999995,2596.42,641.1756196944073,2214.804444444444,0.013888888888888888,0.0,0.4435185185185185,0.4574074074074074,8.426388888888889,8.426388888888889,1.0000373428488445,0.4888888888888889,0.8514689969581604,0.459117179528131,0.27577293771275374,0.16621438438222108,0.11030917508510149,0.028409991759768334,0.4013684995340593,0.4207111996180228,0.0,0.0,2.8239824808084455,24.444444444444443,0.2719377058999701
coherence_deadline,20,645,769.0258912224109,2351.3675968992243,2666.2545581395348,655.1221920428663,2238.1639534883716,0.09111757105943152,0.011046511627906977,0.23895348837209301,0.3414405684754522,177.86753875968992,180.69350775193797,1.0067941790805306,0.4449612403100775,0.8943257291715326,0.5999663581384344,0.29634277540053533,0.16444607703605607,0.1180600227583613,0.02466927280947185,0.35800590982243463,0.4920918183236907,5.672868217054264,0.0038581493184380684,3.518277761520825,24.454263565891473,0.2145937803091273
coherence_deadline,100,45,1527.0318352660136,4451.69111111111,4997.246444444444,1411.8291137326826,4336.496666666666,0.08935185185185185,0.0018518518518518517,0.48842592592592593,0.5796296296296296,109.21296296296296,110.04629629629629,1.0,0.2222222222222222,0.8066850431104626,0.5840671759625157,0.25250136926478467,0.1531264234978334,0.10100054770591387,0.04447612931173073,0.5432827819625733,0.5254683248221746,0.0,0.0,5.852618700527157,27.977777777777778,0.33528002395926926
dependency_ready,0,45,725.9257472585944,2584.767777777777,2921.558222222222,611.0403097807375,2469.2122222222215,0.008796296296296295,0.0,0.36342592592592593,0.37222222222222223,2.2310185185185185,2.2310185185185185,1.0008611812142156,0.4888888888888889,0.8668146843985374,0.46579217692347136,0.28548806048878367,0.16990790247105386,0.11419522419551346,0.039587854387070846,0.37742587047852705,0.3787504221546775,0.0,0.0,2.8797380709041005,24.377777777777776,0.24528301886792453
dependency_ready,20,645,771.6319831650519,2683.7651937984488,3229.995953488372,657.6409031645628,2565.8427906976735,0.06489018087855297,0.012758397932816537,0.2361111111111111,0.3137596899224806,111.42697028423773,113.64899870801034,1.064226301327702,0.4449612403100775,0.8943694930635568,0.5645750466153225,0.29686770300552756,0.16459420051084042,0.11829258075190688,0.04019307031143349,0.35365485877567576,0.4394420061020494,3.1550387596899223,0.0032646711584239318,3.5506793894695017,24.451162790697673,0.2139850182628614
dependency_ready,100,45,1510.4622123034244,4961.638888888889,5845.289111111111,1395.218426915322,4846.6722222222215,0.030555555555555555,0.0037037037037037043,0.48842592592592593,0.5226851851851851,37.73148148148148,38.47222222222222,1.000546986106553,0.24444444444444444,0.8094350302853534,0.5444127220887944,0.25283814298156,0.15361212594321388,0.10113525719262399,0.06692454434181336,0.5186410860205927,0.42982394529411716,0.0,0.0,5.837075461104462,27.955555555555556,0.33423180592991913
endpoint_aware,0,45,745.9185585013339,2661.2911111111107,2952.7802222222217,631.0112691718361,2547.4022222222216,0.008796296296296295,0.0004629629629629629,0.3800925925925926,0.38935185185185184,2.1879629629629633,2.2333333333333334,1.0041639435550354,0.4888888888888889,0.8681634915644463,0.5293407228964006,0.283975029946837,0.1696734000838943,0.11359001197873479,0.04364154737073829,0.3731530756649353,0.35146284413423895,0.0,0.0,2.9323228985263583,24.4,0.24932614555256064
endpoint_aware,20,645,811.1721812240706,2932.0980620155033,3365.8157209302326,696.1190584554421,2814.522403100774,0.05801033591731266,0.018443152454780364,0.23959948320413435,0.316828165374677,15.551582687338502,23.27012273901809,1.0538464186459677,0.448062015503876,0.8918753623664518,0.6278242607159992,0.29603278153055446,0.16415548164343413,0.11803052727349449,0.04433162870203111,0.35337609079190624,0.4306397427492267,11.21860465116279,0.005599753930678496,3.7625080998617184,24.67906976744186,0.21693596648713345
endpoint_aware,100,45,1568.3798640411703,5490.199999999999,6154.9,1453.1392223377616,5376.155555555555,0.008333333333333333,0.0037037037037037034,0.48842592592592593,0.5004629629629629,0.2777777777777778,1.3888888888888888,1.0628984969373705,0.2,0.8055897574890022,0.6677568983090361,0.24936792494811522,0.15173302924635662,0.0997471699792461,0.07976949566699269,0.5115075294373207,0.25266683761196573,0.0,0.0,5.973374078589367,27.977777777777778,0.3435160227613058
first_come_first_served,0,45,767.713184585562,2281.3466666666664,2540.294,652.7929383096442,2168.394444444444,0.1287037037037037,0.002777777777777778,0.36342592592592593,0.4949074074074074,127.35231481481482,127.6375,1.001729854571943,0.4666666666666667,0.8672621665314918,0.6222977280204174,0.28185391500176393,0.16817479650359246,0.11274156600070558,0.01402528900273287,0.39695106778455924,0.686520995159293,0.0,0.0,3.0192120563042053,24.666666666666668,0.2550164719976041
