configuration_id,subexperiment,mechanism,alternate_path_count,path_selection_frequency,rerouting_threshold,path_switching_cost_ns,state_transfer_cost_ns,decision_mode,victim_qasm,victim_tag,trial_id,attacker_probe_count,effective_reconfiguration_time_ns,mean_signed_excess_latency_ns,mean_absolute_timing_change_ns,max_absolute_timing_change_ns,positive_delay_fraction,negative_speedup_fraction,observable_change_fraction,failure_transition_fraction,before_probe_count,before_mean_signed_excess_ns,before_mean_absolute_change_ns,before_max_absolute_change_ns,before_positive_delay_fraction,before_negative_speedup_fraction,before_observable_change_fraction,transient_probe_count,transient_mean_signed_excess_ns,transient_mean_absolute_change_ns,transient_max_absolute_change_ns,transient_positive_delay_fraction,transient_negative_speedup_fraction,transient_observable_change_fraction,after_probe_count,after_mean_signed_excess_ns,after_mean_absolute_change_ns,after_max_absolute_change_ns,after_positive_delay_fraction,after_negative_speedup_fraction,after_observable_change_fraction,transient_amplification,ground_truth_reconfiguration,change_detected,change_detection_correct,change_score_ns,ground_truth_path_change,predicted_path_change,path_change_detection_correct,actual_path_before,actual_path_after,predicted_path_before,predicted_path_after,path_localization_before_correct,path_localization_after_correct,path_localization_before_score_ns,path_localization_after_score_ns,victim_only_completion_time_ns,combined_victim_completion_time_ns,static_reference_victim_completion_time_ns,victim_slowdown_ratio,rerouting_additional_victim_latency_ns,combined_total_switching_overhead_ns,combined_total_state_transfer_overhead_ns,redirected_victim_request_count,redirected_victim_fraction,communication_qubit_reassignment_count,combined_rejected_request_count,mean_hub_utilization,mean_link_utilization,mean_communication_qubit_utilization
cfg_7d6bdecf,threshold_frequency,failure_triggered_rerouting,4,per_layer,2,100,500,deterministic,bv_n19.qasm,bv_n19,0,48,7000,3.9583333333333335,3.9583333333333335,130.0,0.0625,0.0,0.0625,0.0,13,14.615384615384615,14.615384615384615,130.0,0.23076923076923078,0.0,0.23076923076923078,4,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.0,False,True,False,0.0,,2.0,0,False,False,43.333333333333336,0.0,2300.0,2300.0,2300.0,1.0,0.0,0,0,0,0.0,0,0,0.08291512109971634,0.07167152263480124,0.11171721579751254
cfg_7d6bdecf,threshold_frequency,failure_triggered_rerouting,4,per_layer,2,100,500,deterministic,bv_n19.qasm,bv_n19,1,48,7000,1.875,1.875,50.0,0.0625,0.0,0.0625,0.0,13,6.923076923076923,6.923076923076923,50.0,0.23076923076923078,0.0,0.23076923076923078,4,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.0,False,True,False,0.0,,1.0,0,False,False,16.666666666666668,0.0,2300.0,2300.0,2300.0,1.0,0.0,0,0,0,0.0,0,0,0.08630871263741256,0.07460493055221544,0.11628963386935587
cfg_7d6bdecf,threshold_frequency,failure_triggered_rerouting,4,per_layer,2,100,500,deterministic,bv_n19.qasm,bv_n19,2,48,7000,3.9583333333333335,3.9583333333333335,150.0,0.0625,0.0,0.0625,0.0,13,14.615384615384615,14.615384615384615,150.0,0.23076923076923078,0.0,0.23076923076923078,4,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.0,False,True,False,0.0,,1.0,0,False,False,50.0,0.0,2300.0,2300.0,2300.0,1.0,0.0,0,0,0,0.0,0,0,0.09011572756592677,0.0778957001127144,0.12141908556251185
cfg_4c6639b5,threshold_frequency,failure_triggered_rerouting,4,per_operation,2,100,500,deterministic,square_root_n18.qasm,square_root_n18,0,48,7000,47.604166666666664,47.604166666666664,210.0,0.4375,0.0,0.4375,0.0,13,69.23076923076923,69.23076923076923,185.0,0.6153846153846154,0.0,0.6153846153846154,4,65.0,65.0,135.0,0.5,0.0,0.5,31,36.29032258064516,36.29032258064516,210.0,0.3548387096774194,0.0,0.3548387096774194,1.2319811875367432,True,True,True,30.0,False,False,True,0.0,,1.0,1,False,False,105.0,52.5,12900.0,12900.0,15600.0,1.0,-2700.0,200,0,29,0.25,0,0,0.199133441288459,0.11314557126765883,0.22801873167315856
cfg_4c6639b5,threshold_frequency,failure_triggered_rerouting,4,per_operation,2,100,500,deterministic,square_root_n18.qasm,square_root_n18,1,48,7000,48.4375,48.4375,300.0,0.3958333333333333,0.0,0.3958333333333333,0.0,13,58.07692307692308,58.07692307692308,265.0,0.5384615384615384,0.0,0.5384615384615384,4,81.25,81.25,200.0,0.5,0.0,0.5,31,40.16129032258065,40.16129032258065,300.0,0.3225806451612903,0.0,0.3225806451612903,1.6541424602172263,True,True,True,46.25,False,True,False,0.0,,1.0,0,False,False,105.0,57.142857142857146,12900.0,12900.0,15600.0,1.0,-2700.0,200,0,29,0.25,0,0,0.20007915219207598,0.11368291446703034,0.22910162261993758
cfg_4c6639b5,threshold_frequency,failure_triggered_rerouting,4,per_operation,2,100,500,deterministic,square_root_n18.qasm,square_root_n18,2,48,7000,49.583333333333336,49.583333333333336,300.0,0.3958333333333333,0.0,0.3958333333333333,0.0,13,66.0,66.0,185.0,0.6153846153846154,0.0,0.6153846153846154,4,56.25,56.25,125.0,0.5,0.0,0.5,31,41.83870967741935,41.83870967741935,300.0,0.2903225806451613,0.0,0.2903225806451613,1.043224648519294,True,False,False,21.25,False,True,False,0.0,,1.0,0,False,False,105.0,64.42857142857143,12951.0,12951.0,15611.0,1.0,-2660.0,200,0,29,0.25,0,0,0.1978777072279725,0.11243207610223263,0.22658084717752458
cfg_4c6639b5,threshold_frequency,failure_triggered_rerouting,4,per_operation,2,100,500,deterministic,qft_n18.qasm,qft_n18,0,48,7000,15.895833333333334,15.895833333333334,160.0,0.1875,0.0,0.1875,0.0,13,58.69230769230769,58.69230769230769,160.0,0.6923076923076923,0.0,0.6923076923076923,4,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.0,False,True,False,0.0,,1.0,0,False,False,80.0,0.0,7710.0,7710.0,10600.0,1.0,-2890.0,100,0,6,0.09090909090909091,0,0,0.15201448199034534,0.09508081380577324,0.18264946156702563
cfg_4c6639b5,threshold_frequency,failure_triggered_rerouting,4,per_operation,2,100,500,deterministic,qft_n18.qasm,qft_n18,1,48,7000,15.0,15.0,160.0,0.16666666666666666,0.0,0.16666666666666666,0.0,13,55.38461538461539,55.38461538461539,160.0,0.6153846153846154,0.0,0.6153846153846154,4,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.0,False,True,False,0.0,,1.0,0,False,False,80.0,0.0,7710.0,7710.0,10600.0,1.0,-2890.0,100,0,6,0.09090909090909091,0,0,0.1455102856888968,0.09101262063498373,0.17483449593459816
cfg_4c6639b5,threshold_frequency,failure_triggered_rerouting,4,per_operation,2,100,500,deterministic,qft_n18.qasm,qft_n18,2,48,7000,15.0,15.0,160.0,0.16666666666666666,0.0,0.16666666666666666,0.0,13,55.38461538461539,55.38461538461539,160.0,0.6153846153846154,0.0,0.6153846153846154,4,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0.0,False,True,False,0.0,,1.0,0,False,False,80.0,0.0,7710.0,7710.0,10600.0,1.0,-2890.0,100,0,6,0.09090909090909091,0,0,0.14692687303723642,0.09189865646619913,0.17653656348138178
cfg_4c6639b5,threshold_frequency,failure_triggered_rerouting,4,per_operation,2,100,500,deterministic,dnn_n16.qasm,dnn_n16,0,48,7000,179.375,179.375,1160.0,0.3541666666666667,0.0,0.3541666666666667,0.0,13,306.15384615384613,306.15384615384613,1160.0,0.46153846153846156,0.0,0.46153846153846156,4,215.0,215.0,360.0,1.0,0.0,1.0,31,121.61290322580645,121.61290322580645,1030.0,0.22580645161290322,0.0,0.22580645161290322,1.0052207204594235,True,True,True,145.0,True,True,True,0.0,1.0,1.0,0,False,False,433.3333333333333,172.85714285714286,11000.0,11200.0,12700.0,1.02,-1700.0,200,0,20,0.2777777777777778,0,0,0.149603226226096,0.09202138949559405,0.17822297385195784
