mechanism,subexperiment,trial_count,mean_absolute_timing_change_ns,std_absolute_timing_change_ns,mean_positive_delay_fraction,mean_negative_speedup_fraction,mean_observable_change_fraction,mean_before_leakage_ns,mean_transient_leakage_ns,mean_after_leakage_ns,mean_transient_amplification,reconfiguration_detection_accuracy,path_change_detection_accuracy,path_localization_before_accuracy,path_localization_after_accuracy,mean_victim_slowdown_ratio,mean_rerouting_additional_victim_latency_ns,mean_switching_overhead_ns,mean_state_transfer_overhead_ns,mean_redirected_victim_fraction,mean_hub_utilization,mean_link_utilization,mean_communication_qubit_utilization
communication_qubit_reassignment,core_mechanism_paths,90,42.701388888888886,57.92180261090489,0.18796296296296297,0.0,0.18796296296296297,72.51318681318682,105.16666666666667,26.426093770406165,1.5615667746869872,0.6666666666666666,0.5111111111111111,0.4,0.13333333333333333,1.0017457427316039,0.0,0.0,0.0,0.01835016835016835,0.21098688386572953,0.14448468533418835,0.15563382747750704
communication_qubit_reassignment,switching_cost,45,39.475,52.9424164115355,0.18194444444444444,0.0,0.18194444444444444,63.88669108669109,128.08333333333334,24.907724439303387,1.8824717293884732,0.6666666666666666,0.2,0.06666666666666667,0.13333333333333333,1.0009595145752885,0.0,0.0,0.0,0.030883548124927437,0.1381887223981829,0.09837042141276231,0.15285073986372166
dynamic_victim_module_migration,core_mechanism_paths,90,27.15,32.63547241528823,0.14189814814814816,0.0,0.14189814814814816,89.33504273504273,31.5,0.5111111111111111,0.3990189209986623,0.36666666666666664,0.37777777777777777,0.37777777777777777,0.2,1.000320262104774,200.43333333333334,0.0,500.0,0.0,0.21098688386572953,0.1437169805837334,0.15299286399512926
dynamic_victim_module_migration,state_transfer_cost,180,26.788310185185182,31.94409472788999,0.13738425925925926,0.0,0.13738425925925926,88.74871794871795,31.091666666666665,0.2496415770609319,0.40942373510350805,0.4,0.06666666666666667,0.06666666666666667,0.2,1.0009864391237344,397.76666666666665,0.0,833.3333333333334,0.0,0.15155634939892573,0.12159685367443941,0.15340884010281855
failure_triggered_rerouting,core_mechanism_paths,90,107.45162037037038,140.777842512423,0.25462962962962965,0.0,0.25462962962962965,89.33504273504273,295.1972222222222,90.8236559139785,2.2159495095384854,0.4888888888888889,0.5,0.37777777777777777,0.1,1.0053604034215364,-912.7222222222222,151.11111111111111,0.0,0.07846327257246798,0.21094799571968947,0.13808975676810764,0.1676008285939126
failure_triggered_rerouting,switching_cost,45,51.4375,68.44350657995876,0.20833333333333334,0.0004629629629629629,0.2087962962962963,89.05641025641026,69.27777777777777,33.359856630824375,0.6873905694313991,0.3111111111111111,0.2222222222222222,0.0,0.0,1.0089837044892065,-1396.3777777777777,233.33333333333334,0.0,0.12201323580633926,0.14025557602897887,0.0923450019161889,0.17014552710151373
failure_triggered_rerouting,threshold_frequency,135,47.018055555555556,60.886761725521225,0.21388888888888888,0.0,0.21388888888888888,89.05641025641026,53.583333333333336,28.541935483870965,0.46438445880684576,0.3333333333333333,0.26666666666666666,0.0,0.0,1.0063621035245374,-1475.3333333333333,100.0,0.0,0.12373737373737373,0.13929505401220219,0.09183927229419858,0.16870383341383643
hub_to_hub_migration,core_mechanism_paths,90,48.63333333333333,67.25183266325752,0.199537037037037,0.0,0.199537037037037,89.33504273504273,49.07222222222222,31.508243727598565,0.5425054468047474,0.35555555555555557,0.5333333333333333,0.37777777777777777,0.06666666666666667,1.0029410045323413,24.666666666666668,40.0,0.0,0.12834088006501798,0.21143105575076165,0.1362192353921517,0.16625932341808355
hub_to_hub_migration,switching_cost,45,51.480555555555554,71.31998135979576,0.2,0.0,0.2,89.05641025641026,70.25,33.3010752688172,0.8443813493487536,0.4,0.2,0.0,0.0,1.0041456194099179,77.0,120.0,0.0,0.192511320097527,0.13952123805327926,0.09193450767991526,0.1689300174549135
hub_to_hub_migration,threshold_frequency,135,49.640277777777776,68.6971792792135,0.2013888888888889,0.0,0.2013888888888889,89.05641025641026,48.5,33.25806451612903,0.4963228857171288,0.4,0.2,0.0,0.0,1.0031654170853772,37.0,60.0,0.0,0.192511320097527,0.13885498022573106,0.09165397806831602,0.1682637596273653
load_triggered_rerouting,core_mechanism_paths,90,47.30185185185186,65.2449387243761,0.1925925925925926,0.0,0.1925925925925926,75.76239316239317,39.42777777777778,32.47550776583035,0.4975006198082863,0.7777777777777778,0.4444444444444444,0.37777777777777777,0.1111111111111111,1.0037948290202552,0.0,13.333333333333334,0.0,0.0012345679012345679,0.21112228497328037,0.1429425145877844,0.16596829958939469
load_triggered_rerouting,switching_cost,45,48.28842592592592,66.97231999909594,0.19074074074074077,0.0,0.19074074074074077,68.64615384615384,34.71666666666667,35.567980884109915,0.4477965290203622,0.8,0.06666666666666667,0.0,0.08888888888888889,1.004528337289958,2.6666666666666665,40.0,0.0,0.0018518518518518517,0.13863295489681915,0.09708339483840138,0.1680417342984534
