configuration_id,subexperiment,mechanism,victim_qasm,victim_tag,trial_id,actual_path_before,actual_path_after,predicted_path_before,predicted_path_after,before_correct,after_correct,ground_truth_path_change,predicted_path_change,path_change_detection_correct
cfg_ab377105,core_mechanism_paths,static_path,square_root_n18.qasm,square_root_n18,0,0.0,,0.0,0,True,False,False,False,True
cfg_ab377105,core_mechanism_paths,static_path,square_root_n18.qasm,square_root_n18,1,0.0,,0.0,0,True,False,False,False,True
cfg_ab377105,core_mechanism_paths,static_path,square_root_n18.qasm,square_root_n18,2,0.0,,0.0,0,True,False,False,False,True
cfg_ab377105,core_mechanism_paths,static_path,qft_n18.qasm,qft_n18,0,0.0,,0.0,0,True,False,False,False,True
cfg_ab377105,core_mechanism_paths,static_path,qft_n18.qasm,qft_n18,1,0.0,,0.0,0,True,False,False,False,True
cfg_ab377105,core_mechanism_paths,static_path,qft_n18.qasm,qft_n18,2,0.0,,0.0,0,True,False,False,False,True
cfg_ab377105,core_mechanism_paths,static_path,dnn_n16.qasm,dnn_n16,0,0.0,0.0,0.0,0,True,True,False,False,True
cfg_ab377105,core_mechanism_paths,static_path,dnn_n16.qasm,dnn_n16,1,0.0,0.0,0.0,0,True,True,False,False,True
cfg_ab377105,core_mechanism_paths,static_path,dnn_n16.qasm,dnn_n16,2,0.0,0.0,0.0,0,True,True,False,False,True
cfg_ab377105,core_mechanism_paths,static_path,sat_n11.qasm,sat_n11,0,0.0,,0.0,0,True,False,False,False,True
cfg_ab377105,core_mechanism_paths,static_path,sat_n11.qasm,sat_n11,1,0.0,,0.0,0,True,False,False,False,True
cfg_ab377105,core_mechanism_paths,static_path,sat_n11.qasm,sat_n11,2,0.0,,0.0,0,True,False,False,False,True
cfg_ab377105,core_mechanism_paths,static_path,bv_n19.qasm,bv_n19,0,0.0,,0.0,0,True,False,False,False,True
cfg_ab377105,core_mechanism_paths,static_path,bv_n19.qasm,bv_n19,1,0.0,,0.0,0,True,False,False,False,True
cfg_ab377105,core_mechanism_paths,static_path,bv_n19.qasm,bv_n19,2,0.0,,0.0,0,True,False,False,False,True
cfg_84b12ee0,core_mechanism_paths,static_path,square_root_n18.qasm,square_root_n18,0,0.0,,0.0,0,True,False,False,False,True
cfg_84b12ee0,core_mechanism_paths,static_path,square_root_n18.qasm,square_root_n18,1,0.0,,0.0,0,True,False,False,False,True
cfg_84b12ee0,core_mechanism_paths,static_path,square_root_n18.qasm,square_root_n18,2,0.0,,0.0,0,True,False,False,False,True
cfg_84b12ee0,core_mechanism_paths,static_path,qft_n18.qasm,qft_n18,0,0.0,,0.0,0,True,False,False,False,True
cfg_84b12ee0,core_mechanism_paths,static_path,qft_n18.qasm,qft_n18,1,0.0,,0.0,0,True,False,False,False,True
cfg_84b12ee0,core_mechanism_paths,static_path,qft_n18.qasm,qft_n18,2,0.0,,0.0,0,True,False,False,False,True
cfg_84b12ee0,core_mechanism_paths,static_path,dnn_n16.qasm,dnn_n16,0,0.0,0.0,0.0,0,True,True,False,False,True
cfg_84b12ee0,core_mechanism_paths,static_path,dnn_n16.qasm,dnn_n16,1,0.0,0.0,0.0,0,True,True,False,False,True
cfg_84b12ee0,core_mechanism_paths,static_path,dnn_n16.qasm,dnn_n16,2,0.0,0.0,0.0,0,True,True,False,False,True
cfg_84b12ee0,core_mechanism_paths,static_path,sat_n11.qasm,sat_n11,0,0.0,,0.0,0,True,False,False,False,True
cfg_84b12ee0,core_mechanism_paths,static_path,sat_n11.qasm,sat_n11,1,0.0,,0.0,0,True,False,False,False,True
cfg_84b12ee0,core_mechanism_paths,static_path,sat_n11.qasm,sat_n11,2,0.0,,0.0,0,True,False,False,False,True
cfg_84b12ee0,core_mechanism_paths,static_path,bv_n19.qasm,bv_n19,0,0.0,,0.0,0,True,False,False,False,True
cfg_84b12ee0,core_mechanism_paths,static_path,bv_n19.qasm,bv_n19,1,0.0,,0.0,0,True,False,False,False,True
cfg_84b12ee0,core_mechanism_paths,static_path,bv_n19.qasm,bv_n19,2,0.0,,0.0,0,True,False,False,False,True
cfg_f020c010,core_mechanism_paths,static_path,square_root_n18.qasm,square_root_n18,0,0.0,,1.0,0,False,False,False,True,False
cfg_f020c010,core_mechanism_paths,static_path,square_root_n18.qasm,square_root_n18,1,0.0,,0.0,1,True,False,False,True,False
cfg_f020c010,core_mechanism_paths,static_path,square_root_n18.qasm,square_root_n18,2,0.0,,1.0,1,False,False,False,False,True
cfg_f020c010,core_mechanism_paths,static_path,qft_n18.qasm,qft_n18,0,0.0,,1.0,0,False,False,False,True,False
cfg_f020c010,core_mechanism_paths,static_path,qft_n18.qasm,qft_n18,1,0.0,,1.0,0,False,False,False,True,False
cfg_f020c010,core_mechanism_paths,static_path,qft_n18.qasm,qft_n18,2,0.0,,1.0,0,False,False,False,True,False
