scenario_name,workload_name,trial_count,mean_affected_probe_fraction,mean_excess_turnaround_ns,mean_p95_excess_turnaround_ns,max_excess_turnaround_ns,mean_victim_latency_slowdown,mean_victim_makespan_slowdown
separate_modules_control,layered_bursty,12,0.0,0.0,0.0,0.0,1.0,1.0
separate_modules_control,periodic_dense,12,0.0,0.0,0.0,0.0,1.0,1.0
separate_modules_control,periodic_sparse,12,0.0,0.0,0.0,0.0,1.0,1.0
shared_communication_qubit_only,layered_bursty,12,0.5729166666666666,129.93840198976264,359.3191320682922,360.0,1.4992451588679712,1.0161075471560868
shared_communication_qubit_only,periodic_dense,12,0.421875,40.80803988212613,165.86806056168174,194.67618319384383,1.220418362596542,1.0015748480233848
shared_communication_qubit_only,periodic_sparse,12,0.21006944444444445,20.20583509111244,144.0959428480096,188.17293144115683,1.2274365620396064,1.0017547539314828
shared_endpoint_without_reset,layered_bursty,12,0.5729166666666666,151.60506865642932,483.11528242090566,555.0,1.4082565324462737,1.0104172019835003
shared_endpoint_without_reset,periodic_dense,12,0.421875,40.80803988212613,165.86806056168174,194.67618319384383,1.220418362596542,1.0015748480233848
shared_endpoint_without_reset,periodic_sparse,12,0.21006944444444445,20.20583509111244,144.0959428480096,188.17293144115683,1.2274365620396064,1.0017547539314828
shared_full_endpoint_pipeline,layered_bursty,12,0.5729166666666666,151.60506865642932,483.11528242090566,555.0,1.4082565324462737,1.0104172019835003
shared_full_endpoint_pipeline,periodic_dense,12,0.421875,40.80803988212613,165.86806056168174,194.67618319384383,1.220418362596542,1.0015748480233848
shared_full_endpoint_pipeline,periodic_sparse,12,0.21006944444444445,20.20583509111244,144.0959428480096,188.17293144115683,1.2274365620396064,1.0017547539314828
shared_interconnect_port_only,layered_bursty,12,0.1840277777777778,8.662478210064407,68.36528242090571,101.19296891943077,1.1036113392786715,1.00214446293669
shared_interconnect_port_only,periodic_dense,12,0.22395833333333334,11.875407890216414,75.86806056168173,104.67618319384383,1.0633878105590375,1.0003481115319777
shared_interconnect_port_only,periodic_sparse,12,0.1111111111111111,5.79914779232413,54.766764216801754,98.17293144115683,1.0641025404298106,1.0000620657322215
shared_local_route_only,layered_bursty,12,0.2378472222222222,24.31501652308395,152.3652824209056,244.69199003772724,1.0028740309754276,1.0001362369744295
shared_local_route_only,periodic_dense,12,0.0625,0.9798573620962526,2.6485161286285708,29.676183193843826,1.0048479159118877,1.0
shared_local_route_only,periodic_sparse,12,0.03125,0.43656004130225096,4.540224429543199,23.172931441156834,1.0045155787979427,1.0
shared_module_fully_independent,layered_bursty,12,0.0,0.0,0.0,0.0,1.0,1.0
shared_module_fully_independent,periodic_dense,12,0.0,0.0,0.0,0.0,1.0,1.0
shared_module_fully_independent,periodic_sparse,12,0.0,0.0,0.0,0.0,1.0,1.0
shared_reset_engine_only,layered_bursty,12,0.05034722222222222,0.8939856248083117,3.4093954136138067,36.19296891943077,1.0174431719675978,1.0004697370578046
shared_reset_engine_only,periodic_dense,12,0.08333333333333333,1.739005046806797,10.868060561681725,39.676183193843826,1.0089067816957151,1.0
shared_reset_engine_only,periodic_sparse,12,0.046875,0.8289109581420687,8.620673964677188,33.172931441156834,1.0085262999556848,1.0
