scenario_name,logical_component,shared_between_tenants,trial_resource_count,mean_utilization,max_utilization,mean_busy_time_ns,mean_attacker_busy_time_ns,mean_victim_busy_time_ns,mean_interval_count
separate_modules_control,communication_qubit,False,72,0.3979856904362459,0.4685857321652065,7992.291666666667,4680.0,3312.2916666666665,40.986111111111114
separate_modules_control,interconnect_port,False,72,0.21429998715797854,0.2523153942428035,4303.541666666667,2520.0,1783.5416666666667,40.986111111111114
separate_modules_control,intermodule_link,False,72,0.16327618069179317,0.19224030037546933,3278.8888888888887,1920.0,1358.888888888889,40.986111111111114
separate_modules_control,local_route,False,72,0.09021772157369386,0.2290145958958471,1814.5833333333333,720.0,1094.5833333333333,40.986111111111114
separate_modules_control,receiver_engine,False,72,0.06122856775942244,0.07209011264080101,1229.5833333333333,720.0,509.5833333333333,40.986111111111114
separate_modules_control,reset_engine,False,72,0.08163809034589659,0.09612015018773466,1639.4444444444443,960.0,679.4444444444445,40.986111111111114
separate_modules_control,switch_path,False,72,0.19389046457150438,0.22828535669586983,3893.6805555555557,2280.0,1613.6805555555557,40.986111111111114
shared_communication_qubit_only,communication_qubit,True,36,0.7902620221755611,0.8894397620228062,15984.583333333334,9360.0,6624.583333333333,81.97222222222223
shared_communication_qubit_only,interconnect_port,False,72,0.21276285212418952,0.2523153942428035,4303.541666666667,2520.0,1783.5416666666667,40.986111111111114
shared_communication_qubit_only,intermodule_link,False,72,0.16210503018985867,0.19224030037546933,3278.8888888888887,1920.0,1358.888888888889,40.986111111111114
shared_communication_qubit_only,local_route,False,72,0.21641295175141018,0.39672386386490627,4399.91407336294,2247.61821570401,2152.29585765893,40.986111111111114
shared_communication_qubit_only,receiver_engine,False,72,0.060789386321197014,0.07209011264080101,1229.5833333333333,720.0,509.5833333333333,40.986111111111114
shared_communication_qubit_only,reset_engine,False,72,0.08105251509492933,0.09612015018773466,1639.4444444444443,960.0,679.4444444444445,40.986111111111114
shared_communication_qubit_only,switch_path,False,72,0.19249972335045717,0.22828535669586983,3893.6805555555557,2280.0,1613.6805555555557,40.986111111111114
shared_endpoint_without_reset,communication_qubit,True,36,0.7902620221755611,0.8894397620228062,15984.583333333334,9360.0,6624.583333333333,81.97222222222223
shared_endpoint_without_reset,interconnect_port,True,36,0.42552570424837904,0.47892910262766486,8607.083333333334,5040.0,3567.0833333333335,81.97222222222223
shared_endpoint_without_reset,intermodule_link,False,72,0.16210503018985867,0.19224030037546933,3278.8888888888887,1920.0,1358.888888888889,40.986111111111114
shared_endpoint_without_reset,local_route,True,36,0.3567197067406511,0.5479527268844061,7240.409940852982,3704.566579825354,3535.843361027628,81.97222222222223
shared_endpoint_without_reset,receiver_engine,False,72,0.060789386321197014,0.07209011264080101,1229.5833333333333,720.0,509.5833333333333,40.986111111111114
shared_endpoint_without_reset,reset_engine,False,72,0.08105251509492933,0.09612015018773466,1639.4444444444443,960.0,679.4444444444445,40.986111111111114
shared_endpoint_without_reset,switch_path,False,72,0.19249972335045717,0.22828535669586983,3893.6805555555557,2280.0,1613.6805555555557,40.986111111111114
shared_full_endpoint_pipeline,communication_qubit,True,36,0.7902620221755611,0.8894397620228062,15984.583333333334,9360.0,6624.583333333333,81.97222222222223
shared_full_endpoint_pipeline,interconnect_port,True,36,0.42552570424837904,0.47892910262766486,8607.083333333334,5040.0,3567.0833333333335,81.97222222222223
shared_full_endpoint_pipeline,intermodule_link,False,72,0.16210503018985867,0.19224030037546933,3278.8888888888887,1920.0,1358.888888888889,40.986111111111114
shared_full_endpoint_pipeline,local_route,True,36,0.3567197067406511,0.5479527268844061,7240.409940852982,3704.566579825354,3535.843361027628,81.97222222222223
shared_full_endpoint_pipeline,receiver_engine,False,72,0.060789386321197014,0.07209011264080101,1229.5833333333333,720.0,509.5833333333333,40.986111111111114
shared_full_endpoint_pipeline,reset_engine,True,36,0.16210503018985867,0.1824491819533962,3278.8888888888887,1920.0,1358.888888888889,81.97222222222223
shared_full_endpoint_pipeline,switch_path,False,72,0.19249972335045717,0.22828535669586983,3893.6805555555557,2280.0,1613.6805555555557,40.986111111111114
