scenario_name,same_module,shared_components,shared_component_count,expected_mechanism,workload_name,trial_id,victim_phase_ns,probe_count,affected_probe_count,affected_probe_fraction,mean_excess_turnaround_ns,median_excess_turnaround_ns,p95_excess_turnaround_ns,max_excess_turnaround_ns,total_excess_turnaround_ns,attacker_baseline_mean_wait_ns,attacker_combined_mean_wait_ns,victim_request_count,victim_baseline_mean_latency_ns,victim_combined_mean_latency_ns,victim_mean_latency_slowdown,victim_baseline_makespan_ns,victim_combined_makespan_ns,victim_makespan_slowdown,max_causal_accounting_error_ns
separate_modules_control,False,none,0,no_cross_tenant_endpoint_contention,periodic_sparse,0,297.15041869018194,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,205.0,205.0,1.0,19105.000000000004,19105.000000000004,1.0,0.0
shared_module_fully_independent,True,none,0,module_colocation_without_pipeline_sharing,periodic_sparse,0,297.15041869018194,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,205.0,205.0,1.0,19105.000000000004,19105.000000000004,1.0,0.0
shared_local_route_only,True,local_route,1,local_route_wait,periodic_sparse,0,297.15041869018194,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,205.0,205.38857926952042,1.0018955086318069,19105.000000000004,19105.000000000004,1.0,0.0
shared_communication_qubit_only,True,communication_qubit,1,communication_qubit_reuse_wait,periodic_sparse,0,297.15041869018194,48,10,0.20833333333333334,20.031337227121448,0.0,141.1504186901826,162.15041869018387,961.5041869018295,0.0,20.031337227121448,22,205.0,249.12028326310676,1.2152208939663744,19105.000000000004,19105.000000000004,1.0,0.0
shared_interconnect_port_only,True,interconnect_port,1,interconnect_port_wait,periodic_sparse,0,297.15041869018194,48,6,0.125,5.268802336272851,0.0,51.150418690182605,72.15041869018387,252.90251214109685,0.0,5.268802336272851,22,205.0,218.04988581176815,1.0636579795696006,19105.000000000004,19105.000000000004,1.0,0.0
shared_reset_engine_only,True,reset_engine,1,late_reset_recovery_wait,periodic_sparse,0,297.15041869018194,48,3,0.0625,0.44690116813641606,0.0,4.647772148618323,7.150418690183869,21.45125607054797,0.0,0.44690116813641606,22,205.0,206.7522156331568,1.0085473933324722,19105.000000000004,19105.000000000004,1.0,0.0
shared_endpoint_without_reset,True,local_route;communication_qubit;interconnect_port,3,active_endpoint_contention,periodic_sparse,0,297.15041869018194,48,10,0.20833333333333334,20.031337227121448,0.0,141.1504186901826,162.15041869018387,961.5041869018295,0.0,20.031337227121448,22,205.0,249.12028326310676,1.2152208939663744,19105.000000000004,19105.000000000004,1.0,0.0
shared_full_endpoint_pipeline,True,local_route;communication_qubit;interconnect_port;reset_engine,4,full_endpoint_pipeline_contention,periodic_sparse,0,297.15041869018194,48,10,0.20833333333333334,20.031337227121448,0.0,141.1504186901826,162.15041869018387,961.5041869018295,0.0,20.031337227121448,22,205.0,249.12028326310676,1.2152208939663744,19105.000000000004,19105.000000000004,1.0,0.0
separate_modules_control,False,none,0,no_cross_tenant_endpoint_contention,periodic_sparse,1,311.6978592802601,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,205.0,205.0,1.0,19105.000000000004,19105.000000000004,1.0,0.0
shared_module_fully_independent,True,none,0,module_colocation_without_pipeline_sharing,periodic_sparse,1,311.6978592802601,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,205.0,205.0,1.0,19105.000000000004,19105.000000000004,1.0,0.0
