scenario_name,workload_name,trial_id,probe_count,affected_probe_count,affected_probe_fraction,mean_excess_turnaround_ns,median_excess_turnaround_ns,p95_excess_turnaround_ns,max_excess_turnaround_ns,total_excess_turnaround_ns
shared_communication_qubit_only,periodic_dense,10,48,20,0.4166666666666667,39.50621597839183,0.0,164.81491834814065,184.8149183481405,1896.298366962808
shared_communication_qubit_only,periodic_dense,11,48,20,0.4166666666666667,38.48125297708202,0.0,162.3550071449969,182.35500714499722,1847.100142899937
shared_communication_qubit_only,periodic_sparse,0,48,10,0.20833333333333334,20.031337227121448,0.0,141.1504186901826,162.15041869018387,961.5041869018295
shared_communication_qubit_only,periodic_sparse,1,48,10,0.20833333333333334,23.062054016721095,0.0,155.69785928026093,176.6978592802625,1106.9785928026126
shared_communication_qubit_only,periodic_sparse,2,48,9,0.1875,19.013525104359758,0.0,140.40546722325166,161.40546722325234,912.6492050092684
shared_communication_qubit_only,periodic_sparse,3,48,12,0.25,23.45283087669149,0.0,162.81132350676543,183.8113235067667,1125.7358820811914
shared_communication_qubit_only,periodic_sparse,4,48,9,0.1875,18.145404397464514,0.0,135.77549011981026,156.77549011981182,870.9794110782966
shared_communication_qubit_only,periodic_sparse,5,48,10,0.20833333333333334,23.83384874177304,0.0,153.40247396051072,174.4024739605104,1144.0247396051059
shared_communication_qubit_only,periodic_sparse,6,48,12,0.25,23.90860985461353,0.0,164.63443941845307,185.63443941845435,1147.6132730214495
shared_communication_qubit_only,periodic_sparse,7,48,9,0.1875,19.706343810541057,0.0,144.10050032288555,165.10050032288564,945.9045029059707
shared_communication_qubit_only,periodic_sparse,8,48,12,0.25,24.54323286028883,0.0,167.17293144115555,188.17293144115683,1178.0751772938638
shared_communication_qubit_only,periodic_sparse,9,48,10,0.20833333333333334,15.852572888669906,0.0,121.0923498656153,142.0923498656157,760.9234986561555
shared_communication_qubit_only,periodic_sparse,10,48,9,0.1875,15.764716700254136,0.0,123.07848906802178,144.07848906802246,756.7064016121985
shared_communication_qubit_only,periodic_sparse,11,48,9,0.1875,15.155544614850479,0.0,119.82957127920243,140.82957127920326,727.466141512823
shared_endpoint_without_reset,layered_bursty,0,48,28,0.5833333333333334,153.71355655496154,101.19533483244231,496.3906696648845,555.0,7378.250714638154
shared_endpoint_without_reset,layered_bursty,1,48,27,0.5625,148.34088850612358,98.94152315335441,491.88304630670933,555.0,7120.362648293932
shared_endpoint_without_reset,layered_bursty,2,48,27,0.5625,149.95774762056004,105.0,448.29246386981674,555.0,7197.971885786882
shared_endpoint_without_reset,layered_bursty,3,48,28,0.5833333333333334,162.8139966792423,105.0,523.6919900377271,555.0,7815.07184060363
shared_endpoint_without_reset,layered_bursty,4,48,26,0.5416666666666666,146.34092255565142,94.71821413356338,483.43642826712664,555.0,7024.364282671268
shared_endpoint_without_reset,layered_bursty,5,48,27,0.5625,142.98253151932326,102.5929856743387,439.1859713486773,555.0,6863.161512927517
shared_endpoint_without_reset,layered_bursty,6,48,28,0.5833333333333334,159.19810254301362,105.0,512.844307629041,555.0,7641.508922064653
shared_endpoint_without_reset,layered_bursty,7,48,28,0.5833333333333334,154.81337171979007,102.84505757968509,499.69011515937007,555.0,7431.041842549923
shared_endpoint_without_reset,layered_bursty,8,48,28,0.5833333333333334,149.11805019727464,105.0,476.1929689194304,555.0,7157.666409469182
shared_endpoint_without_reset,layered_bursty,9,48,27,0.5625,151.73963610198345,105.0,453.32367840560056,555.0,7283.502532895206
