scheduler_policy,queue_depth,tenant_count,hub_capacity,link_capacity,communication_qubits_per_module,priority_profile,decision_interval_ns,lookahead_window_ns,preemption_allowed,epr_prefetch_enabled,trial_count,mean_remote_latency_ns,p95_remote_latency_ns,p99_remote_latency_ns,mean_queue_delay_ns,p95_queue_delay_ns,mean_positive_delay_fraction,mean_negative_speedup_fraction,mean_failure_transition_fraction,mean_observable_change_fraction,mean_signed_attacker_change_ns,mean_absolute_attacker_change_ns,mean_victim_slowdown_ratio_successful_only,victim_success_probability,tenant_success_fairness,tenant_wait_fairness,hub_utilization,link_utilization,communication_qubit_utilization,scheduler_reordering_rate,deadline_miss_fraction,mean_phase_boundary_visibility,mean_preemption_count,mean_epr_expiration_fraction,mean_queue_occupancy,mean_maximum_queue_occupancy,request_rejection_fraction
coherence_deadline,32,4,2,1,2,equal,0,0,False,False,15,766.4853033526334,2323.3866666666663,2593.5733333333333,651.5564037399025,2211.553333333333,0.015277777777777777,0.0,0.44166666666666665,0.45694444444444443,7.136111111111111,7.136111111111111,1.0,0.4666666666666667,0.8291659131121849,0.45613336346936695,0.27216580962009146,0.1629061822504025,0.10886632384803659,0.029508781820053686,0.40780926437045983,0.4139817629179331,0.0,0.0,2.812533399818583,24.4,0.27942497753818507
coherence_deadline,32,4,2,1,2,equal,0,500,False,False,15,757.4447398190484,2332.3999999999996,2600.900666666667,642.2597368887982,2219.5999999999995,0.015277777777777777,0.0,0.4472222222222222,0.4625,11.529166666666667,11.529166666666667,1.0,0.5333333333333333,0.8622093106005332,0.46530739460985365,0.2782681491079616,0.16834903759048012,0.11130725964318464,0.025845130422320884,0.40233443132873875,0.4326747720364742,0.0,0.0,2.8661341931597852,24.466666666666665,0.26864330637915546
coherence_deadline,32,4,2,1,2,equal,0,2000,False,False,15,744.8314830193939,2326.953333333333,2594.786,629.7107184545208,2213.2599999999998,0.01111111111111111,0.0,0.44166666666666665,0.4527777777777777,6.613888888888889,6.613888888888889,1.0001173632392253,0.4666666666666667,0.863031767161763,0.4559107805051725,0.2768848544102081,0.16738793330578064,0.11075394176408325,0.029876063036930425,0.3939618029029794,0.4154770638996611,0.0,0.0,2.7932798494469693,24.466666666666665,0.26774483378256964
coherence_deadline,32,4,2,1,2,equal,20,0,False,False,15,688.8168196440671,2359.973333333333,2670.094,574.1751769003743,2249.166666666666,0.02222222222222222,0.0,0.2513888888888889,0.27361111111111114,25.166666666666668,25.166666666666668,1.0,0.4,0.921589967202102,0.5417193382415538,0.30467631746000984,0.17984092085115952,0.12187052698400393,0.027118222877921327,0.3201979780181867,0.2988044579533941,0.0,0.0,3.0149607469243866,24.4,0.1958670260557053
coherence_deadline,32,4,2,1,2,equal,20,500,False,False,15,798.0480738961306,2402.519999999999,2670.96,683.6566445445,2290.186666666666,0.013888888888888888,0.0,0.3111111111111111,0.325,34.38888888888889,34.38888888888889,1.0,0.4,0.8785747630792738,0.540485378857557,0.28256272161595375,0.16547582820540746,0.11302508864638149,0.031303502094258015,0.3651754732195908,0.24660587639311043,0.0,0.0,2.984047634835187,24.333333333333332,0.24618149146451032
coherence_deadline,32,4,2,1,2,equal,20,2000,False,False,15,708.5316896681082,2367.6399999999994,2683.822666666667,593.9499332042986,2256.5399999999995,0.01111111111111111,0.0,0.2513888888888889,0.2625,23.86111111111111,23.86111111111111,1.0,0.4,0.9088390795777347,0.5353106821239096,0.30009462361386136,0.17661033269600088,0.12003784944554452,0.028022691694978622,0.3341672998622714,0.21345072144778673,0.0,0.0,3.0254691060507004,24.266666666666666,0.20709793351302785
coherence_deadline,32,4,2,1,2,equal,100,0,False,False,15,1660.9346285117358,4461.36,4998.929333333333,1545.8504599912355,4347.253333333333,0.09166666666666666,0.0,0.5097222222222222,0.601388888888889,83.47222222222221,83.47222222222221,1.0,0.2,0.7645844420264623,0.5835155709595419,0.2415934985233549,0.14540013684860328,0.09663739940934195,0.0396888798469078,0.5726368736155263,0.531902206320811,0.0,0.0,5.8979674551354995,27.933333333333334,0.3638814016172507
coherence_deadline,32,4,2,1,2,equal,100,500,False,False,15,1460.1651136563853,4456.816666666667,5021.696,1344.7450234256992,4340.456666666666,0.07638888888888888,0.005555555555555555,0.5097222222222222,0.5916666666666667,116.66666666666667,119.16666666666667,1.0,0.26666666666666666,0.8327153960656157,0.5940436785591877,0.2557657562800586,0.15696442683037973,0.10230630251202344,0.05049711965092352,0.5343198596154004,0.5163261587759791,0.0,0.0,5.8293596664309195,28.0,0.3261455525606469
coherence_deadline,32,4,2,1,2,equal,100,2000,False,False,15,1459.995763629919,4436.8966666666665,4971.114,1344.8918577811125,4321.78,0.1,0.0,0.44583333333333336,0.5458333333333333,127.5,127.5,1.0,0.2,0.8227552912393098,0.5746422783688175,0.26014485299094053,0.15701470681451718,0.10405794119637621,0.04324238843736086,0.522891612656793,0.5281766093697338,0.0,0.0,5.830528980015054,28.0,0.31581311769991016
dependency_ready,32,4,2,1,2,equal,0,0,False,False,15,765.4268080188644,2586.1166666666663,2893.8066666666664,650.6680866724386,2471.516666666666,0.01111111111111111,0.0,0.38055555555555554,0.39166666666666666,2.3944444444444444,2.3944444444444444,1.001495723940151,0.4666666666666667,0.8318144402218184,0.4514797627916533,0.27690250834136276,0.163777561772966,0.11076100333654512,0.04338767206697962,0.3956931143914066,0.38589665653495436,0.0,0.0,2.8619828304130737,24.4,0.2663971248876909
