attacker_request_id,probe_id,spacing_name,round_start_time_ns,request_release_time_ns,preceding_interval_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
14,14,spacing_alternating_strong,6880,6910,700.0,6910,6910,7020,110,0,110,module_3,module_4,30,0,110,7020,0,0,False
15,15,spacing_alternating_strong,7020,7050,140.0,7050,7050,7160,110,0,110,module_3,module_4,31,0,110,7160,0,0,False
16,16,spacing_alternating_strong,7720,7750,700.0,7750,7750,7860,110,0,110,module_3,module_4,32,0,110,7860,0,0,False
17,17,spacing_alternating_strong,7860,7890,140.0,7890,7890,8000,110,0,110,module_3,module_4,33,0,110,8000,0,0,False
18,18,spacing_alternating_strong,8560,8590,700.0,8590,8590,8700,110,0,110,module_3,module_4,34,0,110,8700,0,0,False
19,19,spacing_alternating_strong,8700,8730,140.0,8730,8730,8840,110,0,110,module_3,module_4,35,0,110,8840,0,0,False
20,20,spacing_alternating_strong,9400,9430,700.0,9430,9430,9540,110,0,110,module_3,module_4,36,0,110,9540,0,0,False
21,21,spacing_alternating_strong,9540,9570,140.0,9570,9570,9680,110,0,110,module_3,module_4,37,0,110,9680,0,0,False
22,22,spacing_alternating_strong,10240,10270,700.0,10270,10270,10380,110,0,110,module_3,module_4,38,0,110,10380,0,0,False
23,23,spacing_alternating_strong,10380,10410,140.0,10410,10410,10520,110,0,110,module_3,module_4,39,0,110,10520,0,0,False
24,24,spacing_alternating_strong,11080,11110,700.0,11110,11110,11220,110,0,110,module_3,module_4,40,0,110,11220,0,0,False
25,25,spacing_alternating_strong,11220,11250,140.0,11250,11250,11360,110,0,110,module_3,module_4,41,0,110,11360,0,0,False
26,26,spacing_alternating_strong,11920,11950,700.0,11950,11950,12060,110,0,110,module_3,module_4,42,0,110,12060,0,0,False
27,27,spacing_alternating_strong,12060,12090,140.0,12090,12090,12200,110,0,110,module_3,module_4,43,0,110,12200,0,0,False
28,28,spacing_alternating_strong,12760,12790,700.0,12790,12790,12900,110,0,110,module_3,module_4,44,0,110,12900,0,0,False
29,29,spacing_alternating_strong,12900,12930,140.0,12930,12930,13040,110,0,110,module_3,module_4,45,0,110,13040,0,0,False
30,30,spacing_alternating_strong,13600,13630,700.0,13630,13630,13740,110,0,110,module_3,module_4,46,0,110,13740,0,0,False
31,31,spacing_alternating_strong,13740,13770,140.0,13770,13770,13880,110,0,110,module_3,module_4,47,0,110,13880,0,0,False
32,32,spacing_alternating_strong,14440,14470,700.0,14470,14470,14580,110,0,110,module_3,module_4,48,0,110,14580,0,0,False
33,33,spacing_alternating_strong,14580,14610,140.0,14610,14610,14720,110,0,110,module_3,module_4,49,0,110,14720,0,0,False
34,34,spacing_alternating_strong,15280,15310,700.0,15310,15310,15420,110,0,110,module_3,module_4,50,0,110,15420,0,0,False
35,35,spacing_alternating_strong,15420,15450,140.0,15450,15450,15560,110,0,110,module_3,module_4,51,0,110,15560,0,0,False
36,36,spacing_alternating_strong,16120,16150,700.0,16150,16150,16260,110,0,110,module_3,module_4,52,0,110,16260,0,0,False
37,37,spacing_alternating_strong,16260,16290,140.0,16290,16290,16400,110,0,110,module_3,module_4,53,0,110,16400,0,0,False
38,38,spacing_alternating_strong,16960,16990,700.0,16990,16990,17100,110,0,110,module_3,module_4,54,0,110,17100,0,0,False
39,39,spacing_alternating_strong,17100,17130,140.0,17130,17130,17240,110,0,110,module_3,module_4,55,0,110,17240,0,0,False
40,40,spacing_alternating_strong,17800,17830,700.0,17830,17830,17940,110,0,110,module_3,module_4,56,0,110,17940,0,0,False
41,41,spacing_alternating_strong,17940,17970,140.0,17970,17970,18080,110,0,110,module_3,module_4,57,0,110,18080,0,0,False
42,42,spacing_alternating_strong,18640,18670,700.0,18670,18670,18780,110,0,110,module_3,module_4,58,0,110,18780,0,0,False
43,43,spacing_alternating_strong,18780,18810,140.0,18810,18810,18920,110,0,110,module_3,module_4,59,0,110,18920,0,0,False
44,44,spacing_alternating_strong,19480,19510,700.0,19510,19510,19620,110,0,110,module_3,module_4,60,0,110,19620,0,0,False
45,45,spacing_alternating_strong,19620,19650,140.0,19650,19650,19760,110,0,110,module_3,module_4,61,0,110,19760,0,0,False
46,46,spacing_alternating_strong,20320,20350,700.0,20350,20350,20460,110,0,110,module_3,module_4,62,0,110,20460,0,0,False
47,47,spacing_alternating_strong,20740,20770,420.0,20770,20770,20880,110,0,110,module_3,module_4,63,0,110,20880,0,0,False
