attacker_request_id,rate_name,rate_multiplier,probe_round_period_ns,probe_round_id,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
24,rate_1p00x_base,1.0,420,24,11080,11110,11110,11110,11220,110,0,110,module_3,module_4,40,0,110,11220,0,0,False
25,rate_1p00x_base,1.0,420,25,11500,11530,11530,11530,11640,110,0,110,module_3,module_4,41,0,110,11640,0,0,False
26,rate_1p00x_base,1.0,420,26,11920,11950,11950,11950,12060,110,0,110,module_3,module_4,42,0,110,12060,0,0,False
27,rate_1p00x_base,1.0,420,27,12340,12370,12370,12370,12480,110,0,110,module_3,module_4,43,0,110,12480,0,0,False
28,rate_1p00x_base,1.0,420,28,12760,12790,12790,12790,12900,110,0,110,module_3,module_4,44,0,110,12900,0,0,False
29,rate_1p00x_base,1.0,420,29,13180,13210,13210,13210,13320,110,0,110,module_3,module_4,45,0,110,13320,0,0,False
30,rate_1p00x_base,1.0,420,30,13600,13630,13630,13630,13740,110,0,110,module_3,module_4,46,0,110,13740,0,0,False
31,rate_1p00x_base,1.0,420,31,14020,14050,14050,14050,14160,110,0,110,module_3,module_4,47,0,110,14160,0,0,False
32,rate_1p00x_base,1.0,420,32,14440,14470,14470,14470,14580,110,0,110,module_3,module_4,48,0,110,14580,0,0,False
33,rate_1p00x_base,1.0,420,33,14860,14890,14890,14890,15000,110,0,110,module_3,module_4,49,0,110,15000,0,0,False
34,rate_1p00x_base,1.0,420,34,15280,15310,15310,15310,15420,110,0,110,module_3,module_4,50,0,110,15420,0,0,False
35,rate_1p00x_base,1.0,420,35,15700,15730,15730,15730,15840,110,0,110,module_3,module_4,51,0,110,15840,0,0,False
36,rate_1p00x_base,1.0,420,36,16120,16150,16150,16150,16260,110,0,110,module_3,module_4,52,0,110,16260,0,0,False
37,rate_1p00x_base,1.0,420,37,16540,16570,16570,16570,16680,110,0,110,module_3,module_4,53,0,110,16680,0,0,False
38,rate_1p00x_base,1.0,420,38,16960,16990,16990,16990,17100,110,0,110,module_3,module_4,54,0,110,17100,0,0,False
39,rate_1p00x_base,1.0,420,39,17380,17410,17410,17410,17520,110,0,110,module_3,module_4,55,0,110,17520,0,0,False
40,rate_1p00x_base,1.0,420,40,17800,17830,17830,17830,17940,110,0,110,module_3,module_4,56,0,110,17940,0,0,False
41,rate_1p00x_base,1.0,420,41,18220,18250,18250,18250,18360,110,0,110,module_3,module_4,57,0,110,18360,0,0,False
42,rate_1p00x_base,1.0,420,42,18640,18670,18670,18670,18780,110,0,110,module_3,module_4,58,0,110,18780,0,0,False
43,rate_1p00x_base,1.0,420,43,19060,19090,19090,19090,19200,110,0,110,module_3,module_4,59,0,110,19200,0,0,False
44,rate_1p00x_base,1.0,420,44,19480,19510,19510,19510,19620,110,0,110,module_3,module_4,60,0,110,19620,0,0,False
45,rate_1p00x_base,1.0,420,45,19900,19930,19930,19930,20040,110,0,110,module_3,module_4,61,0,110,20040,0,0,False
46,rate_1p00x_base,1.0,420,46,20320,20350,20350,20350,20460,110,0,110,module_3,module_4,62,0,110,20460,0,0,False
47,rate_1p00x_base,1.0,420,47,20740,20770,20770,20770,20880,110,0,110,module_3,module_4,63,0,110,20880,0,0,False
