scheduler_policy,hub_capacity,link_capacity,trial_count,mean_remote_latency_ns,p95_remote_latency_ns,p99_remote_latency_ns,mean_queue_delay_ns,p95_queue_delay_ns,mean_positive_delay_fraction,mean_negative_speedup_fraction,mean_failure_transition_fraction,mean_observable_change_fraction,mean_signed_attacker_change_ns,mean_absolute_attacker_change_ns,mean_victim_slowdown_ratio_successful_only,victim_success_probability,tenant_success_fairness,tenant_wait_fairness,hub_utilization,link_utilization,communication_qubit_utilization,scheduler_reordering_rate,deadline_miss_fraction,mean_phase_boundary_visibility,mean_preemption_count,mean_epr_expiration_fraction,mean_queue_occupancy,mean_maximum_queue_occupancy,request_rejection_fraction
coherence_deadline,1,1,60,1375.3928741985844,3150.1349999999998,3438.0041666666666,1261.6041582449482,3036.3849999999998,0.3472222222222222,0.011458333333333333,0.3086805555555555,0.6673611111111111,1592.951388888889,1599.3958333333333,1.0471018177574138,0.2833333333333333,0.8637728915409066,0.7993073897487798,0.5620708048107474,0.1595314447527335,0.11241416096214947,0.010317297705397683,0.578823801796649,1.0,0.0,0.0,6.57256073109775,27.7,0.2859626249456758
coherence_deadline,2,1,555,793.7477210612451,2507.3042342342337,2841.243027027027,679.5655268771383,2394.208378378378,0.07203453453453453,0.011486486486486487,0.2812687687687688,0.3651651651651652,42.53528528528528,45.16486486486487,1.0048281276948137,0.436036036036036,0.8817790423321769,0.5649722426845257,0.2913352778331817,0.17069244781195855,0.11407985113151478,0.02813693410037363,0.3645693576774478,0.49226586253577004,6.5927927927927925,0.004483795153860458,3.530915594416763,24.553153153153154,0.2305533376884179
coherence_deadline,4,1,60,786.1586674904723,2336.7399999999993,2661.194,672.3163192964687,2223.8891666666664,0.0,0.0024305555555555556,0.3409722222222223,0.3434027777777778,-0.11805555555555557,0.11805555555555557,1.0,0.4,0.8755910009296518,0.587057656772332,0.15068306017426114,0.17240076707783233,0.12054644813940893,0.028674414345088862,0.36897592453177186,0.15760582010582008,0.0,0.0,2.968357498795151,24.4,0.23142112125162972
coherence_deadline,4,2,60,475.7746271326223,1682.215833333333,1976.7901666666664,362.4155133761837,1567.0366666666664,0.043402777777777776,0.0,0.016319444444444445,0.05972222222222222,14.020833333333334,14.020833333333334,0.9994346412050046,0.6,0.9617970846022499,0.6196683252531794,0.1742853808469692,0.09646357995646121,0.13942830467757536,0.020600921026504057,0.2369857068688335,0.2885566417481311,0.0,0.0,2.127049344102609,22.983333333333334,0.11223381138635376
dependency_ready,1,1,60,1375.3928741985844,4315.749166666665,5861.143333333334,1261.6041582449482,4200.065833333331,0.23958333333333334,0.044444444444444446,0.3086805555555555,0.5927083333333333,1062.576388888889,1066.798611111111,1.818689462131046,0.2833333333333333,0.8637728915409066,0.5863590900323284,0.562076983923495,0.1595332911788029,0.112415396784699,0.058078017400184596,0.5012868924125781,0.9666666666666667,0.0,0.0,6.572710580401018,27.7,0.2859626249456758
dependency_ready,2,1,555,792.2796410800468,2798.5531531531524,3286.145603603604,678.0098468450449,2680.1593693693685,0.048986486486486486,0.010097597597597598,0.2698573573573574,0.32894144144144144,17.641066066066063,19.807507507507506,1.0174181467900294,0.43783783783783786,0.8834631654390068,0.5447516976263125,0.2928300866507005,0.17125770601872345,0.11473232083931234,0.041524743240785124,0.36285993857941595,0.42838315700376756,3.6666666666666665,0.003794077292222407,3.567625802077514,24.54774774774775,0.22720234206769738
dependency_ready,4,1,60,791.968141550531,2570.814166666666,2954.1935,678.1105407796468,2455.1974999999998,0.0,0.0020833333333333333,0.3559027777777778,0.3579861111111111,-0.09027777777777778,0.09027777777777778,1.0,0.4,0.8740550799921839,0.5710996469604459,0.15003179362273553,0.17189702499377935,0.12002543489818843,0.047337810361508706,0.37471293148435786,0.16236772486772486,0.0,0.0,3.0027586503560135,24.383333333333333,0.235006518904824
dependency_ready,4,2,60,476.3870929562738,1737.100833333333,2085.4083333333333,363.0279791998353,1622.985833333333,0.034375,0.0,0.016319444444444445,0.050694444444444445,2.1458333333333335,2.1458333333333335,1.0072436842831307,0.6,0.9617970846022499,0.6304234853377516,0.1742853808469692,0.09646357995646121,0.13942830467757536,0.022440102155617467,0.24138569345632008,0.23885374736438567,0.0,0.0,2.1314056858295314,22.95,0.11223381138635376
endpoint_aware,1,1,60,1375.3928741985844,4849.969999999998,5852.277166666667,1261.6041582449482,4735.086666666665,0.22604166666666667,0.06909722222222223,0.3086805555555555,0.6038194444444444,95.45138888888889,139.27083333333334,1.501510830777439,0.2833333333333333,0.8637728915409066,0.5846831491369524,0.5620708048107474,0.1595314447527335,0.11241416096214947,0.06693032509807795,0.48704351958173747,0.9546386800334169,0.0,0.0,6.57256073109775,27.7,0.2859626249456758
endpoint_aware,2,1,555,842.4182826213747,3060.9521621621616,3463.4783063063064,726.9129466868438,2942.993513513513,0.040840840840840845,0.014076576576576577,0.27518768768768764,0.33100600600600605,7.3311936936936934,11.638400900900901,1.0303705239549552,0.43783783783783786,0.8803866426541931,0.6286560006864431,0.29146758586967864,0.17058939441136603,0.11427524096009538,0.04630240872734676,0.36419161076528317,0.4048251845892173,13.037837837837838,0.006507822135653387,3.82003437545759,24.80900900900901,0.23167840120006775
