scheduler_policy,tenant_count,trial_count,mean_remote_latency_ns,p95_remote_latency_ns,p99_remote_latency_ns,mean_queue_delay_ns,p95_queue_delay_ns,mean_positive_delay_fraction,mean_negative_speedup_fraction,mean_failure_transition_fraction,mean_observable_change_fraction,mean_signed_attacker_change_ns,mean_absolute_attacker_change_ns,mean_victim_slowdown_ratio_successful_only,victim_success_probability,tenant_success_fairness,tenant_wait_fairness,hub_utilization,link_utilization,communication_qubit_utilization,scheduler_reordering_rate,deadline_miss_fraction,mean_phase_boundary_visibility,mean_preemption_count,mean_epr_expiration_fraction,mean_queue_occupancy,mean_maximum_queue_occupancy,request_rejection_fraction
coherence_deadline,2,60,984.3997190391344,2431.4875,2654.6599999999994,872.649445562583,2318.1625,0.075,0.0,0.23333333333333334,0.30833333333333335,299.3125,299.3125,1.0128810821724208,0.45,0.892919531078252,0.5996511351920637,0.21088043026578684,0.08797164250551931,0.08584785195534396,0.027049081910115746,0.4298425942906045,0.37817741753911965,0.0,0.0,3.060090449019591,24.3,0.261070110701107
coherence_deadline,3,60,857.5604826960185,2430.845,2692.643833333333,744.0701517603201,2316.953333333333,0.07638888888888888,0.005555555555555555,0.2503472222222222,0.33229166666666665,361.5,362.65277777777777,1.0143923663746295,0.43333333333333335,0.8776586503118814,0.6447004034702755,0.2446266191821408,0.11751493288870568,0.10081789586960739,0.02512647736954091,0.39823595383094085,0.4412273367592517,0.0,0.0,3.154782138309157,24.716666666666665,0.23624091381100726
coherence_deadline,4,555,794.5949703816813,2512.3092792792786,2842.6395315315312,680.3087868265563,2399.1981081081076,0.07766516516516517,0.011186186186186185,0.2730855855855856,0.3623123123123123,88.67687687687688,91.21636636636637,1.0050995777654816,0.436036036036036,0.8842795789465776,0.5687255027341968,0.2898348364970569,0.16865838880138628,0.11390034952670229,0.027131543570333448,0.36524208972643507,0.49688963620873955,6.5927927927927925,0.004483795153860458,3.5696848715574574,24.598198198198197,0.2289890969136252
coherence_deadline,8,60,787.5289108724909,2260.4616666666666,2715.7668333333336,672.7412390625813,2146.0399999999995,0.18715277777777778,0.01111111111111111,0.25798611111111114,0.45625,519.2319444444445,525.5930555555556,0.9997069905762282,0.4,0.9074528319994677,0.7269641776524953,0.44541127874320474,0.24172426224059546,0.18738355579869792,0.016716936200205593,0.35048411362257675,0.583987801080611,0.0,0.0,5.094479173115341,25.65,0.18060420315236428
dependency_ready,2,60,984.3997190391344,2761.9249999999997,3037.7025,872.649445562583,2647.4999999999995,0.06145833333333333,0.0,0.23333333333333334,0.2947916666666667,255.6875,255.6875,1.0460536482779885,0.45,0.892919531078252,0.5480143962433905,0.21088043026578684,0.08797164250551931,0.08584785195534396,0.05477834246294552,0.41961603704382905,0.37817741753911965,0.0,0.0,3.060090449019591,24.3,0.261070110701107
dependency_ready,3,60,857.9099496469779,2771.7799999999993,3127.972833333333,744.4196187112796,2655.504999999999,0.057291666666666664,0.007291666666666667,0.2503472222222222,0.31493055555555555,287.48611111111114,288.55555555555554,1.0576217273262152,0.43333333333333335,0.8776586503118814,0.5933837739803139,0.2446266191821408,0.11751493288870568,0.10081789586960739,0.04561508029213858,0.38503258165693277,0.4204167997785019,0.0,0.0,3.1564494918640578,24.716666666666665,0.23624091381100726
dependency_ready,4,555,792.6585439694917,2824.678918918918,3325.587261261261,678.2848169815142,2706.404954954954,0.053716216216216216,0.01006006006006006,0.26167417417417416,0.32545045045045046,51.77800300300301,53.88708708708708,1.0217849722597423,0.43783783783783786,0.8859662419135077,0.5464007653297734,0.291333955845202,0.1692253712204017,0.11455454344675037,0.04071032424712906,0.36145083255092747,0.43661601088156204,3.6666666666666665,0.003794077292222407,3.6015865536634446,24.57837837837838,0.2256137539156407
dependency_ready,8,60,797.9335882919107,2848.2958333333318,4370.2345000000005,683.130140188227,2732.4724999999985,0.11145833333333334,0.03958333333333333,0.27291666666666664,0.4239583333333333,205.69166666666666,209.55555555555557,1.4325045130317786,0.4,0.9058934173560739,0.6312301758498068,0.4447263188961333,0.24120641761929448,0.1868478294167096,0.03499588285354524,0.32577112941601344,0.4931400232115566,0.0,0.0,5.176198023533057,25.733333333333334,0.18308523058960888
endpoint_aware,2,60,998.2987089381243,2703.4749999999995,2908.315,886.5474253605628,2589.5499999999997,0.058333333333333334,0.0,0.23333333333333334,0.2916666666666667,33.75,33.75,1.031042386669992,0.45,0.8930482606165806,0.5331675253722428,0.21074802776217585,0.08791868150407492,0.08579489095389956,0.055855457905889444,0.4189861849746317,0.37817741753911965,0.0,0.0,3.0867867786716903,24.3,0.2615313653136531
endpoint_aware,3,60,866.5466788655457,2793.6874999999995,3054.376666666666,753.0524712509707,2678.641666666666,0.061111111111111116,0.005208333333333333,0.2503472222222222,0.31666666666666665,34.11805555555556,34.9375,1.0420370994097714,0.43333333333333335,0.8773981532634281,0.6247856899135005,0.2444607665023954,0.11744859181680753,0.10075155479770924,0.04825684113496461,0.382944942927503,0.41951589887760105,0.0,0.0,3.180974940172719,24.75,0.2367601246105919
