attacker_request_id,rate_name,rate_multiplier,probe_round_period_ns,probe_round_id,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,rate_4p00x_sat,4.0,105,0,1000,1030,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,rate_4p00x_sat,4.0,105,1,1105,1135,1135,2680,2790,110,1545,1655,module_3,module_4,15,5,115,1250,1540,1540,True
2,rate_4p00x_sat,4.0,105,2,1210,1240,1240,4220,4330,110,2980,3090,module_3,module_4,29,10,120,1360,2970,2970,True
3,rate_4p00x_sat,4.0,105,3,1315,1345,1345,5430,5540,110,4085,4195,module_3,module_4,40,15,125,1470,4070,4070,True
4,rate_4p00x_sat,4.0,105,4,1420,1450,1450,6100,6210,110,4650,4760,module_3,module_4,46,20,130,1580,4630,4630,True
5,rate_4p00x_sat,4.0,105,5,1525,1555,1555,6210,6320,110,4655,4765,module_3,module_4,47,25,135,1690,4630,4630,True
6,rate_4p00x_sat,4.0,105,6,1630,1660,1660,6320,6430,110,4660,4770,module_3,module_4,48,30,140,1800,4630,4630,True
7,rate_4p00x_sat,4.0,105,7,1735,1765,1765,6430,6540,110,4665,4775,module_3,module_4,49,35,145,1910,4630,4630,True
8,rate_4p00x_sat,4.0,105,8,1840,1870,1870,6540,6650,110,4670,4780,module_3,module_4,50,40,150,2020,4630,4630,True
9,rate_4p00x_sat,4.0,105,9,1945,1975,1975,6650,6760,110,4675,4785,module_3,module_4,51,45,155,2130,4630,4630,True
10,rate_4p00x_sat,4.0,105,10,2050,2080,2080,6760,6870,110,4680,4790,module_3,module_4,52,50,160,2240,4630,4630,True
11,rate_4p00x_sat,4.0,105,11,2155,2185,2185,6870,6980,110,4685,4795,module_3,module_4,53,55,165,2350,4630,4630,True
12,rate_4p00x_sat,4.0,105,12,2260,2290,2290,6980,7090,110,4690,4800,module_3,module_4,54,60,170,2460,4630,4630,True
13,rate_4p00x_sat,4.0,105,13,2365,2395,2395,7090,7200,110,4695,4805,module_3,module_4,55,65,175,2570,4630,4630,True
14,rate_4p00x_sat,4.0,105,14,2470,2500,2500,7200,7310,110,4700,4810,module_3,module_4,56,70,180,2680,4630,4630,True
15,rate_4p00x_sat,4.0,105,15,2575,2605,2605,7310,7420,110,4705,4815,module_3,module_4,57,75,185,2790,4630,4630,True
16,rate_4p00x_sat,4.0,105,16,2680,2710,2710,7420,7530,110,4710,4820,module_3,module_4,58,80,190,2900,4630,4630,True
17,rate_4p00x_sat,4.0,105,17,2785,2815,2815,7530,7640,110,4715,4825,module_3,module_4,59,85,195,3010,4630,4630,True
18,rate_4p00x_sat,4.0,105,18,2890,2920,2920,7640,7750,110,4720,4830,module_3,module_4,60,90,200,3120,4630,4630,True
19,rate_4p00x_sat,4.0,105,19,2995,3025,3025,7750,7860,110,4725,4835,module_3,module_4,61,95,205,3230,4630,4630,True
20,rate_4p00x_sat,4.0,105,20,3100,3130,3130,7860,7970,110,4730,4840,module_3,module_4,62,100,210,3340,4630,4630,True
21,rate_4p00x_sat,4.0,105,21,3205,3235,3235,7970,8080,110,4735,4845,module_3,module_4,63,105,215,3450,4630,4630,True
22,rate_4p00x_sat,4.0,105,22,3310,3340,3340,8080,8190,110,4740,4850,module_3,module_4,64,110,220,3560,4630,4630,True
23,rate_4p00x_sat,4.0,105,23,3415,3445,3445,8190,8300,110,4745,4855,module_3,module_4,65,115,225,3670,4630,4630,True
24,rate_4p00x_sat,4.0,105,24,3520,3550,3550,8300,8410,110,4750,4860,module_3,module_4,66,120,230,3780,4630,4630,True
25,rate_4p00x_sat,4.0,105,25,3625,3655,3655,8410,8520,110,4755,4865,module_3,module_4,67,125,235,3890,4630,4630,True
26,rate_4p00x_sat,4.0,105,26,3730,3760,3760,8520,8630,110,4760,4870,module_3,module_4,68,130,240,4000,4630,4630,True
27,rate_4p00x_sat,4.0,105,27,3835,3865,3865,8630,8740,110,4765,4875,module_3,module_4,69,135,245,4110,4630,4630,True
28,rate_4p00x_sat,4.0,105,28,3940,3970,3970,8740,8850,110,4770,4880,module_3,module_4,70,140,250,4220,4630,4630,True
29,rate_4p00x_sat,4.0,105,29,4045,4075,4075,8850,8960,110,4775,4885,module_3,module_4,71,145,255,4330,4630,4630,True
30,rate_4p00x_sat,4.0,105,30,4150,4180,4180,8960,9070,110,4780,4890,module_3,module_4,72,150,260,4440,4630,4630,True
31,rate_4p00x_sat,4.0,105,31,4255,4285,4285,9070,9180,110,4785,4895,module_3,module_4,73,155,265,4550,4630,4630,True
