profile_name,method,sample_count,chance_accuracy,accuracy,balanced_accuracy,macro_f1
clean,nearest_clean_template,11,0.09090909090909091,1.0,1.0,1.0
timestamp_5ns,nearest_clean_template,110,0.09090909090909091,1.0,1.0,1.0
timestamp_20ns,nearest_clean_template,110,0.09090909090909091,1.0,1.0,1.0
scheduler_5ns,nearest_clean_template,110,0.09090909090909091,0.9727272727272728,0.9727272727272727,0.9720995117414556
scheduler_20ns,nearest_clean_template,110,0.09090909090909091,0.9636363636363636,0.9636363636363636,0.9621212121212122
combined_5ns,nearest_clean_template,110,0.09090909090909091,0.9727272727272728,0.9727272727272727,0.9720995117414556
combined_20ns,nearest_clean_template,110,0.09090909090909091,0.9090909090909091,0.9090909090909091,0.898989898989899
combined_50ns,nearest_clean_template,110,0.09090909090909091,0.7909090909090909,0.7909090909090909,0.7755327285687816
timestamp_5ns,random_forest,110,0.09090909090909091,1.0,1.0,1.0
timestamp_20ns,random_forest,110,0.09090909090909091,1.0,1.0,1.0
scheduler_5ns,random_forest,110,0.09090909090909091,1.0,1.0,1.0
scheduler_20ns,random_forest,110,0.09090909090909091,0.9272727272727272,0.9272727272727274,0.9257116620752984
combined_5ns,random_forest,110,0.09090909090909091,0.9818181818181818,0.9818181818181819,0.9818181818181819
combined_20ns,random_forest,110,0.09090909090909091,0.8818181818181818,0.8818181818181817,0.8783321941216677
combined_50ns,random_forest,110,0.09090909090909091,0.8363636363636363,0.8363636363636363,0.8329218362711185
