profile_name,qaoa_label,num_qubits,trial_count,mean_baseline_waiting_ns,max_baseline_waiting_ns,mean_raw_excess_latency_ns,std_raw_excess_latency_ns,mean_thresholded_excess_latency_ns,std_thresholded_excess_latency_ns,mean_detected_contention_fraction,std_detected_contention_fraction
clean,qaoa_n10,10,1,0.0,0.0,269.7916666666667,,269.7916666666667,,0.20833333333333334,
clean,qaoa_n11,11,1,0.0,0.0,452.7083333333333,,452.7083333333333,,0.2708333333333333,
clean,qaoa_n12,12,1,0.0,0.0,174.375,,174.375,,0.16666666666666666,
clean,qaoa_n13,13,1,0.0,0.0,434.375,,434.375,,0.2708333333333333,
clean,qaoa_n14,14,1,0.0,0.0,420.625,,420.625,,0.2708333333333333,
clean,qaoa_n15,15,1,0.0,0.0,545.625,,545.625,,0.2916666666666667,
clean,qaoa_n5,5,1,0.0,0.0,96.875,,96.875,,0.125,
clean,qaoa_n6,6,1,0.0,0.0,218.125,,218.125,,0.16666666666666666,
clean,qaoa_n7,7,1,0.0,0.0,211.25,,211.25,,0.16666666666666666,
clean,qaoa_n8,8,1,0.0,0.0,206.66666666666666,,206.66666666666666,,0.16666666666666666,
clean,qaoa_n9,9,1,0.0,0.0,373.3333333333333,,373.3333333333333,,0.22916666666666666,
combined_20ns,qaoa_n10,10,10,0.0,0.0,267.55384538276303,4.958257237364649,266.3329709029014,6.757746041148879,0.20833333333333334,0.00982092751647983
combined_20ns,qaoa_n11,11,10,0.0,0.0,449.03112199006057,5.074930016727357,448.3459691247549,4.767282273429496,0.25625,0.010063456073742658
combined_20ns,qaoa_n12,12,10,0.0,0.0,174.2062510665991,4.192925107439512,174.00057317796208,3.7127169070155324,0.16666666666666666,0.0
combined_20ns,qaoa_n13,13,10,0.0,0.0,430.7828199545271,7.341152136471324,430.8569403885347,5.840700770873107,0.25625,0.01006345607374265
combined_20ns,qaoa_n14,14,10,0.0,0.0,417.87242612908557,6.878241634792101,419.1373297618951,4.5648078431592305,0.2520833333333333,0.006588078458684102
combined_20ns,qaoa_n15,15,10,0.0,0.0,541.4690168670516,10.559395644886177,541.5022610710281,8.488270495499728,0.29375,0.006588078458684118
combined_20ns,qaoa_n5,5,10,0.0,0.0,98.12435374261688,3.3902002926897516,97.26537835068038,2.7449369750969637,0.11041666666666668,0.010063456073742665
combined_20ns,qaoa_n6,6,10,0.0,0.0,216.77526810099886,4.7545212334549385,216.1111478842879,4.6049305574041846,0.16666666666666666,0.0
combined_20ns,qaoa_n7,7,10,0.0,0.0,202.5778289962644,7.4314195857624945,203.5560450724262,6.126271718484141,0.16666666666666666,0.0
combined_20ns,qaoa_n8,8,10,0.0,0.0,205.81700445456016,8.152851442230238,203.65721938638995,5.335889994449865,0.16666666666666666,0.0
combined_20ns,qaoa_n9,9,10,0.0,0.0,376.5817307841348,7.33184625650543,374.8179692411162,6.187277347525629,0.23125,0.006588078458684128
combined_50ns,qaoa_n10,10,10,0.0,0.0,266.3041535765009,12.322335777309169,266.27339450242357,8.544542492556516,0.19791666666666669,0.014731391274719735
combined_50ns,qaoa_n11,11,10,0.0,0.0,449.6477788662477,15.198937435089173,450.5530457548419,10.851875992434323,0.25,0.0
