scenario_name,scenario_family,link_capacity,shared_backend_components,backend_capacity,workload_name,trial_id,victim_phase_ns,probe_count,affected_probe_count,affected_probe_fraction,mean_excess_turnaround_ns,p95_excess_turnaround_ns,max_excess_turnaround_ns,direct_critical_affected_fraction,reset_reuse_affected_fraction,other_reuse_affected_fraction,mean_direct_cross_tenant_critical_wait_ns,mean_reset_reuse_cascade_ns,mean_postcompletion_wait_ns,longest_affected_run,affected_gap_cv,autocorr_lag1,victim_mean_request_slowdown,victim_makespan_slowdown
isolated_backend_link1,isolated_backend,1,,1,sparse_periodic,0,480.71560829821397,48,6,0.125,4.336902512997237,39.77572725557461,52.69125821495618,0.0625,0.0,0.0625,3.2622012564986185,0.0,0.0,2,1.0272053760058488,0.21759515357964246,1.0335795590875185,1.0027035310380759
isolated_backend_link1,isolated_backend,1,,1,sparse_periodic,1,630.4463403419877,48,6,0.125,3.9329610813357854,20.458843226466975,78.58371070053909,0.08333333333333333,0.0,0.020833333333333332,2.846139802146657,0.0,0.0,3,0.986062036131777,0.35685939470762745,1.038875972477241,1.0
isolated_backend_link1,isolated_backend,1,,1,sparse_periodic,2,184.0725379784687,48,6,0.125,4.712647744048657,42.878565771322016,55.67235878456995,0.0625,0.0,0.0625,3.450073872024319,0.0,0.0,2,1.0272053760058488,0.24327319528057104,1.022257819452164,1.0
isolated_backend_link1,isolated_backend,1,,1,sparse_periodic,3,317.15754733141074,48,9,0.1875,6.631426895172457,54.83603669055287,69.58540500605523,0.125,0.0,0.0625,4.621996223883372,0.0,0.0,2,1.1072015700875824,0.2959695418555753,1.0170498997782296,1.0
isolated_backend_link1,isolated_backend,1,,1,sparse_periodic,4,371.10561707714817,48,9,0.1875,5.533400900847302,48.417065113775266,63.282269087618715,0.125,0.0,0.0625,3.9197401263134375,0.0,0.0,2,1.1072015700875824,0.27676989959404125,1.0197202498181814,1.0
isolated_backend_link1,isolated_backend,1,,1,sparse_periodic,5,485.8776153986558,48,6,0.125,4.855560704328847,43.98415390690943,57.431498661224396,0.0625,0.0,0.0625,3.5215303521644237,0.0,0.0,2,1.0272053760058488,0.25198540736204894,1.0304673027173663,1.002207451758906
isolated_backend_link1,isolated_backend,1,,1,sparse_periodic,6,546.1810346387633,48,6,0.125,4.735779708941247,42.41440219905976,56.843556966021424,0.0625,0.0,0.0625,3.4616398544706235,0.0,0.0,2,1.0272053760058488,0.24501250999558793,1.022603227115097,1.0
isolated_backend_link1,isolated_backend,1,,1,sparse_periodic,7,609.4099524431582,48,7,0.14583333333333334,5.271219593777573,46.412499674084074,61.14925123362991,0.08333333333333333,0.0,0.0625,3.7330630443606956,0.0,0.0,2,1.0800431640505295,0.273742684491383,1.0211233228079473,1.0
isolated_backend_link1,isolated_backend,1,,1,sparse_periodic,8,672.1465561717492,48,9,0.1875,5.837275069536465,49.4076777002761,64.85339833548824,0.125,0.0,0.0625,4.121037978635409,0.0,0.0,2,1.1072015700875824,0.2821047676205857,1.0192308417041318,1.0
isolated_backend_link1,isolated_backend,1,,1,sparse_periodic,9,270.3170724214532,48,6,0.125,3.9957425153191743,22.791207651001695,77.65176590683677,0.08333333333333333,0.0,0.020833333333333332,2.9477522692009757,0.0,0.0,3,0.9775252199076787,0.33612825026036175,1.0377497657142056,1.0
isolated_backend_link1,isolated_backend,1,,1,dense_periodic,0,176.3217694043617,48,13,0.2708333333333333,9.40943012976222,54.4499918825793,76.64597743749255,0.16666666666666666,0.0,0.08333333333333333,6.965934167168133,0.0,0.0,4,1.0029700095098582,0.38990768369470785,1.0364840259105172,1.0
isolated_backend_link1,isolated_backend,1,,1,dense_periodic,1,441.1257097459797,48,15,0.3125,10.406932240716607,56.62746205506896,78.87759001521954,0.16666666666666666,0.0,0.10416666666666667,7.555835547427892,0.0,0.0,4,0.9445896079304538,0.35171016082836165,1.0364926126054148,1.0
isolated_backend_link1,isolated_backend,1,,1,dense_periodic,2,612.5992388755034,48,12,0.25,7.984191664621544,49.37212930082555,69.96283702216488,0.16666666666666666,0.0,0.08333333333333333,6.16951623204334,0.0,0.0,3,0.9573412667997164,0.33437301702430244,1.0384403217816458,1.0
isolated_backend_link1,isolated_backend,1,,1,dense_periodic,3,488.3481337513038,48,10,0.20833333333333334,6.5506095065562135,45.39086504128863,68.06653798397747,0.14583333333333334,0.0,0.0625,5.696958469575492,0.0,0.0,3,0.8559713666995048,0.264415591921099,1.036408320684541,1.0
