scenario_name,link_capacity,workload_name,trial_count,mean_affected_probe_fraction,mean_excess_turnaround_ns,mean_direct_critical_affected_fraction,mean_reset_reuse_affected_fraction,mean_victim_request_slowdown,mean_victim_makespan_slowdown,mean_longest_affected_run
isolated_backend_link1,1,dense_periodic,10,0.26875,8.7192275157791,0.1625,0.0,1.0372441521141522,1.0001193757681364,3.8
isolated_backend_link1,1,sparse_periodic,10,0.14583333333333331,4.984291672630475,0.0875,0.0,1.0262657960672084,1.0004910982796982,2.2
isolated_backend_link1,1,synchronization_bursty,10,0.07291666666666666,2.1962722386630658,0.04166666666666667,0.0,1.029063210273263,1.002418390544927,2.1
isolated_backend_link2,2,dense_periodic,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0
isolated_backend_link2,2,sparse_periodic,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0
isolated_backend_link2,2,synchronization_bursty,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0
shared_conditional_control_capacity1_link1,1,dense_periodic,10,0.26875,8.7192275157791,0.1625,0.0,1.0372441521141522,1.0001193757681364,3.8
shared_conditional_control_capacity1_link1,1,sparse_periodic,10,0.14583333333333331,4.984291672630475,0.0875,0.0,1.0262657960672084,1.0004910982796982,2.2
shared_conditional_control_capacity1_link1,1,synchronization_bursty,10,0.07291666666666666,2.1962722386630658,0.04166666666666667,0.0,1.029063210273263,1.002418390544927,2.1
shared_conditional_control_capacity1_link2,2,dense_periodic,10,0.03333333333333333,0.37252291657790004,0.03333333333333333,0.0,1.0020658796863462,1.0,1.0
shared_conditional_control_capacity1_link2,2,sparse_periodic,10,0.020833333333333332,0.1456685999958817,0.020833333333333332,0.0,1.0012212998284267,1.0,0.6
shared_conditional_control_capacity1_link2,2,synchronization_bursty,10,0.05208333333333333,0.460216931373958,0.05208333333333333,0.0,1.0013961117528996,1.0000879666916063,1.0
shared_feedforward_capacity1_link1,1,dense_periodic,10,0.26875,8.7192275157791,0.1625,0.0,1.0372441521141522,1.0001193757681364,3.8
shared_feedforward_capacity1_link1,1,sparse_periodic,10,0.14583333333333331,4.984291672630475,0.0875,0.0,1.0262657960672084,1.0004910982796982,2.2
shared_feedforward_capacity1_link1,1,synchronization_bursty,10,0.07291666666666666,2.1962722386630658,0.04166666666666667,0.0,1.029063210273263,1.002418390544927,2.1
shared_feedforward_capacity1_link2,2,dense_periodic,10,0.09375,1.5899335117697873,0.08333333333333333,0.0,1.0075327348155114,1.0,1.5
shared_feedforward_capacity1_link2,2,sparse_periodic,10,0.058333333333333334,1.1041075279939483,0.05416666666666666,0.0,1.0040383562813764,1.0000736653505709,1.2
shared_feedforward_capacity1_link2,2,synchronization_bursty,10,0.02708333333333333,0.4297333578598767,0.022916666666666665,0.0,1.0128502182172856,1.001584364094746,1.0
shared_feedforward_capacity2_link1,1,dense_periodic,10,0.26875,8.7192275157791,0.1625,0.0,1.0372441521141522,1.0001193757681364,3.8
shared_feedforward_capacity2_link1,1,sparse_periodic,10,0.14583333333333331,4.984291672630475,0.0875,0.0,1.0262657960672084,1.0004910982796982,2.2
shared_feedforward_capacity2_link1,1,synchronization_bursty,10,0.07291666666666666,2.1962722386630658,0.04166666666666667,0.0,1.029063210273263,1.002418390544927,2.1
shared_feedforward_capacity2_link2,2,dense_periodic,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0
shared_feedforward_capacity2_link2,2,sparse_periodic,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0
shared_feedforward_capacity2_link2,2,synchronization_bursty,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0
shared_full_backend_capacity1_link1,1,dense_periodic,10,0.8979166666666666,959.5550298923763,0.80625,0.8104166666666666,1.000847302747042,1.0,43.1
shared_full_backend_capacity1_link1,1,sparse_periodic,10,0.25833333333333336,9.35898296662242,0.0875,0.10625,1.0393740902272923,1.0007452274821393,4.7
shared_full_backend_capacity1_link1,1,synchronization_bursty,10,0.11666666666666667,4.184759279707192,0.04166666666666667,0.04375,1.031070488863062,1.0025226438511996,4.0
shared_full_backend_capacity1_link2,2,dense_periodic,10,0.8916666666666666,951.5211618826982,0.8,0.8104166666666666,1.0006676082277246,1.0,42.8
shared_full_backend_capacity1_link2,2,sparse_periodic,10,0.2375,8.615481071250546,0.06666666666666667,0.10625,1.0332215061419765,1.0006408692498574,4.3
shared_full_backend_capacity1_link2,2,synchronization_bursty,10,0.1125,3.790669609941573,0.0375,0.04375,1.0300475024964815,1.0025226438511996,3.9
shared_full_backend_capacity2_link1,1,dense_periodic,10,0.26875,8.7192275157791,0.1625,0.0,1.0372441521141522,1.0001193757681364,3.8
shared_full_backend_capacity2_link1,1,sparse_periodic,10,0.14583333333333331,4.984291672630475,0.0875,0.0,1.0262657960672084,1.0004910982796982,2.2
shared_full_backend_capacity2_link1,1,synchronization_bursty,10,0.07291666666666666,2.1962722386630658,0.04166666666666667,0.0,1.029063210273263,1.002418390544927,2.1
shared_full_backend_capacity2_link2,2,dense_periodic,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0
shared_full_backend_capacity2_link2,2,sparse_periodic,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0
shared_full_backend_capacity2_link2,2,synchronization_bursty,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0
shared_measurement_feedback_stack_capacity1_link1,1,dense_periodic,10,0.26875,8.7192275157791,0.1625,0.0,1.0372441521141522,1.0001193757681364,3.8
shared_measurement_feedback_stack_capacity1_link1,1,sparse_periodic,10,0.14583333333333331,4.984291672630475,0.0875,0.0,1.0262657960672084,1.0004910982796982,2.2
shared_measurement_feedback_stack_capacity1_link1,1,synchronization_bursty,10,0.07291666666666666,2.1962722386630658,0.04166666666666667,0.0,1.029063210273263,1.002418390544927,2.1
shared_measurement_feedback_stack_capacity1_link2,2,dense_periodic,10,0.21666666666666665,6.033355902678153,0.14791666666666667,0.0,1.0274587380701132,1.000068187921036,3.0
shared_measurement_feedback_stack_capacity1_link2,2,sparse_periodic,10,0.12083333333333332,3.665299200993233,0.06666666666666667,0.0,1.0198347303934299,1.0003867400474165,2.0
shared_measurement_feedback_stack_capacity1_link2,2,synchronization_bursty,10,0.05625,1.5371849344301336,0.0375,0.0,1.0244073860394511,1.0022098839323816,1.6
shared_readout_capacity1_link1,1,dense_periodic,10,0.26875,8.7192275157791,0.1625,0.0,1.0372441521141522,1.0001193757681364,3.8
shared_readout_capacity1_link1,1,sparse_periodic,10,0.14583333333333331,4.984291672630475,0.0875,0.0,1.0262657960672084,1.0004910982796982,2.2
shared_readout_capacity1_link1,1,synchronization_bursty,10,0.07291666666666666,2.1962722386630658,0.04166666666666667,0.0,1.029063210273263,1.002418390544927,2.1
shared_readout_capacity1_link2,2,dense_periodic,10,0.21666666666666665,6.033355902678153,0.14791666666666667,0.0,1.0274587380701132,1.000068187921036,3.0
shared_readout_capacity1_link2,2,sparse_periodic,10,0.12083333333333332,3.665299200993233,0.06666666666666667,0.0,1.0198347303934299,1.0003867400474165,2.0
shared_readout_capacity1_link2,2,synchronization_bursty,10,0.05625,1.5371849344301336,0.0375,0.0,1.0244073860394511,1.0022098839323816,1.6
shared_readout_capacity2_link1,1,dense_periodic,10,0.26875,8.7192275157791,0.1625,0.0,1.0372441521141522,1.0001193757681364,3.8
shared_readout_capacity2_link1,1,sparse_periodic,10,0.14583333333333331,4.984291672630475,0.0875,0.0,1.0262657960672084,1.0004910982796982,2.2
shared_readout_capacity2_link1,1,synchronization_bursty,10,0.07291666666666666,2.1962722386630658,0.04166666666666667,0.0,1.029063210273263,1.002418390544927,2.1
shared_readout_capacity2_link2,2,dense_periodic,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0
shared_readout_capacity2_link2,2,sparse_periodic,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0
shared_readout_capacity2_link2,2,synchronization_bursty,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0
shared_reset_capacity1_link1,1,dense_periodic,10,0.8979166666666666,959.5550298923763,0.80625,0.8104166666666666,1.000847302747042,1.0,43.1
shared_reset_capacity1_link1,1,sparse_periodic,10,0.25833333333333336,9.35898296662242,0.0875,0.10625,1.0393740902272923,1.0007452274821393,4.7
shared_reset_capacity1_link1,1,synchronization_bursty,10,0.11666666666666667,4.184759279707192,0.04166666666666667,0.04375,1.031070488863062,1.0025226438511996,4.0
shared_reset_capacity1_link2,2,dense_periodic,10,0.88125,923.5928023246764,0.0,0.8104166666666666,1.0000469599038646,1.0,42.3
shared_reset_capacity1_link2,2,sparse_periodic,10,0.17083333333333334,5.770465488652567,0.0,0.10625,1.0,1.0,2.3
shared_reset_capacity1_link2,2,synchronization_bursty,10,0.075,2.5660200444017787,0.0,0.04375,1.0269227069993734,1.0025226438511996,2.2
shared_reset_capacity2_link1,1,dense_periodic,10,0.26875,8.7192275157791,0.1625,0.0,1.0372441521141522,1.0001193757681364,3.8
shared_reset_capacity2_link1,1,sparse_periodic,10,0.14583333333333331,4.984291672630475,0.0875,0.0,1.0262657960672084,1.0004910982796982,2.2
shared_reset_capacity2_link1,1,synchronization_bursty,10,0.07291666666666666,2.1962722386630658,0.04166666666666667,0.0,1.029063210273263,1.002418390544927,2.1
shared_reset_capacity2_link2,2,dense_periodic,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0
shared_reset_capacity2_link2,2,sparse_periodic,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0
shared_reset_capacity2_link2,2,synchronization_bursty,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0
