trace_id,probe_index,release_ns,attacker_only_completion_ns,combined_completion_ns,attacker_only_turnaround_ns,combined_turnaround_ns,excess_turnaround_ns,affected
isolated_backend_link1::sparse_periodic::trial1,2,870.0,1135.0,1135.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,3,1290.0,1555.0,1555.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,4,1710.0,1975.0,1975.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,5,2130.0,2395.0,2395.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,6,2550.0,2815.0,2815.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,7,2970.0,3235.0,3235.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,8,3390.0,3655.0,3673.201733773554,265.0,283.2017337735542,18.201733773554224,True
isolated_backend_link1::sparse_periodic::trial1,9,3810.0,4075.0,4075.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,10,4230.0,4495.0,4495.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,11,4650.0,4915.0,4915.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,12,5070.0,5335.0,5335.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,13,5490.0,5755.0,5755.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,14,5910.0,6175.0,6175.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,15,6330.0,6595.0,6595.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,16,6750.0,7015.0,7015.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,17,7170.0,7435.0,7435.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,18,7590.0,7855.0,7855.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,19,8010.0,8275.0,8275.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,20,8430.0,8695.0,8695.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,21,8850.0,9115.0,9115.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,22,9270.0,9535.0,9535.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,23,9690.0,9955.0,9973.155056173988,265.0,283.15505617398776,18.15505617398776,True
isolated_backend_link1::sparse_periodic::trial1,24,10110.0,10375.0,10375.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,25,10530.0,10795.0,10795.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,26,10950.0,11215.0,11215.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,27,11370.0,11635.0,11635.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,28,11790.0,12055.0,12055.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,29,12210.0,12475.0,12475.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,30,12630.0,12895.0,12895.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,31,13050.0,13315.0,13315.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,32,13470.0,13735.0,13735.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,33,13890.0,14155.0,14155.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,34,14310.0,14575.0,14575.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,35,14730.0,14995.0,14995.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,36,15150.0,15415.0,15415.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,37,15570.0,15835.0,15835.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,38,15990.0,16255.0,16276.674209854958,265.0,286.67420985495846,21.674209854958463,True
isolated_backend_link1::sparse_periodic::trial1,39,16410.0,16675.0,16675.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,40,16830.0,17095.0,17173.58371070054,265.0,343.5837107005391,78.58371070053909,True
isolated_backend_link1::sparse_periodic::trial1,41,17250.0,17515.0,17558.58371070054,265.0,308.5837107005391,43.583710700539086,True
isolated_backend_link1::sparse_periodic::trial1,42,17670.0,17935.0,17943.58371070054,265.0,273.5837107005391,8.583710700539086,True
isolated_backend_link1::sparse_periodic::trial1,43,18090.0,18355.0,18355.0,265.0,265.0,0.0,False
isolated_backend_link1::sparse_periodic::trial1,44,18510.0,18775.0,18775.0,265.0,265.0,0.0,False
