subexperiment,allocation_policy,communication_qubits_per_module,trial_count,successful_victim_trial_count,victim_failure_rate,mean_positive_delay_detection_probability,mean_negative_speedup_detection_probability,mean_signed_timing_change_probability,mean_failure_only_detection_probability,mean_delay_or_failure_detection_probability,mean_signed_timing_or_failure_detection_probability,mean_full_observable_change_probability,mean_signed_turnaround_change_ns,mean_absolute_turnaround_change_ns,mean_total_absolute_turnaround_change_ns,mean_signed_cq_queue_change_ns,mean_absolute_cq_queue_change_ns,mean_successful_victim_slowdown_ratio,max_successful_victim_slowdown_ratio,mean_request_failure_rate,mean_cq_service_utilization,mean_cq_reset_occupancy_fraction,mean_cq_reservation_occupancy_fraction,mean_cq_allocation_hold_fraction,mean_aggregate_resource_demand_nonphysical,fraction_aggregate_resource_demand_exceeds_one,mean_epr_unused_fraction,total_epr_prefetched_pairs,total_epr_used_pairs,total_epr_unused_pairs,mean_grant_fairness,mean_inverse_wait_fairness,successful_victim_trial_fraction,aggregate_epr_unused_fraction
core_policy_capacity_tenancy,coherence_aware,1,60,0,1.0,0.0,0.0059027777777777785,0.0059027777777777785,0.0,0.0,0.0059027777777777785,0.0059027777777777785,-5.102777777777778,5.102777777777778,244.93333333333334,-5.102777777777778,5.102777777777778,,,0.35751712645573364,0.15991722695922939,0.07268964861783152,0.46348711099724194,0.0,0.6960939865743028,0.0,,0,0,0,0.682222820271353,0.31152180706624877,0.0,
core_policy_capacity_tenancy,coherence_aware,2,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03715277777777778,0.0,0.0,0.0,0.0,0.0,1.1768426537092722,2.1379310344827585,0.021224974596194553,0.1370998515364321,0.06231811433474183,0.37696901333860744,0.0,0.5763869792097813,0.0,,0,0,0,0.7881053542947766,0.3082764388258481,1.0,
core_policy_capacity_tenancy,coherence_aware,4,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022569444444444444,0.0,0.0,0.0,0.0,0.0,1.0192125071335538,1.3904109589041096,0.0,0.07428915931770076,0.03376779968986395,0.2561914910255682,0.0,0.36424845003313294,0.0,,0,0,0,0.8055181787340238,0.37323065613026724,1.0,
core_policy_capacity_tenancy,coherence_aware,8,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02847222222222222,0.0,0.0,0.0,0.0,0.0,1.00071481415474,1.0120141342756184,0.0,0.03688394917051939,0.016765431441145152,0.14672000057717582,0.0,0.20036938118884035,0.0,,0,0,0,0.8055181787340238,0.6457612694934124,1.0,
core_policy_capacity_tenancy,fair_share,1,60,0,1.0,0.0,0.0020833333333333333,0.0020833333333333333,0.0,0.0,0.0020833333333333333,0.0020833333333333333,-1.2760416666666667,1.2760416666666667,61.25,-1.2760416666666667,1.2760416666666667,,,0.3576461528388731,0.1598193395108072,0.07264515432309415,0.4632785841882146,0.0,0.6957430780221159,0.0,,0,0,0,0.6826521887353675,0.3098664734885812,0.0,
core_policy_capacity_tenancy,fair_share,2,60,50,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3638888888888889,0.0,0.0,0.0,0.0,0.0,1.1261377772696328,1.4942450914014895,0.03244568822132669,0.13576384466551364,0.06171083848432435,0.46878482861086945,0.0,0.6662595117607074,0.0,,0,0,0,0.8067584761221341,0.3055120757202622,0.8333333333333334,
core_policy_capacity_tenancy,fair_share,4,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6527777777777778,0.0,0.0,0.0,0.0,0.0,1.0352960684175267,1.7652173913043478,0.0,0.07407099896599127,0.033668635893632365,0.3142115717805039,0.0,0.4219512066401275,0.0,,0,0,0,0.8055181787340238,0.3460386655939408,1.0,
core_policy_capacity_tenancy,fair_share,8,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7121527777777777,0.0,0.0,0.0,0.0,0.0,1.0007492058040075,1.0152851263962375,0.0,0.037226931198720406,0.016921332363054698,0.18594134924392325,0.0,0.24008961280569835,0.0,,0,0,0,0.8055181787340238,0.5749523215252268,1.0,
core_policy_capacity_tenancy,first_available,1,60,0,1.0,0.0,0.0010416666666666667,0.0010416666666666667,0.0,0.0,0.0010416666666666667,0.0010416666666666667,-0.4125,0.4125,19.8,-0.4125,0.4125,,,0.36053030740100456,0.15976778854627893,0.0726217220664904,0.463660428096097,0.0,0.6960499387088662,0.0,,0,0,0,0.6780967933218953,0.3099255240039984,0.0,
core_policy_capacity_tenancy,first_available,2,60,57,0.05,0.0010416666666666667,0.0,0.0010416666666666667,0.0,0.0010416666666666667,0.0010416666666666667,0.5305555555555556,0.08090277777777778,0.08090277777777778,3.8833333333333333,0.08090277777777778,0.08090277777777778,1.1239748525542377,1.5645320197044335,0.02256536935488521,0.13740736152396477,0.06245789160180214,0.4805016350961812,0.0,0.6803668882219481,0.0,,0,0,0,0.7960390955140496,0.30418889777810926,0.95,
