subexperiment,configuration_id,allocation_policy,communication_qubits_per_module,tenants_sharing_module,reservation_duration_ns,reset_time_ns,epr_prefetch_enabled,allocation_coordination,allocation_granularity,trial_count,successful_victim_trial_count,victim_failure_rate,mean_positive_delay_detection_probability,mean_negative_speedup_detection_probability,mean_signed_timing_change_probability,mean_failure_only_detection_probability,mean_delay_or_failure_detection_probability,mean_signed_timing_or_failure_detection_probability,mean_full_observable_change_probability,mean_signed_turnaround_change_ns,mean_absolute_turnaround_change_ns,mean_total_absolute_turnaround_change_ns,mean_signed_cq_queue_change_ns,mean_absolute_cq_queue_change_ns,mean_successful_victim_slowdown_ratio,max_successful_victim_slowdown_ratio,mean_request_failure_rate,mean_cq_service_utilization,mean_cq_reset_occupancy_fraction,mean_cq_reservation_occupancy_fraction,mean_cq_allocation_hold_fraction,mean_aggregate_resource_demand_nonphysical,fraction_aggregate_resource_demand_exceeds_one,mean_epr_unused_fraction,total_epr_prefetched_pairs,total_epr_used_pairs,total_epr_unused_pairs,mean_grant_fairness,mean_inverse_wait_fairness,successful_victim_trial_fraction,aggregate_epr_unused_fraction
core_policy_capacity_tenancy,core_policy_capacity_tenancy__coherence_aware__cq4__ten8__res500__reset50__noepr__global__per_operation,coherence_aware,4,8,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043055555555555555,0.0,0.0,0.0,0.0,0.0,1.058277895613727,1.3904109589041096,0.0,0.10713434085236487,0.04869742766016582,0.38917498777875253,0.0,0.5450067562912833,0.0,,0,0,0,0.7482382334044941,0.13059638787218075,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__coherence_aware__cq8__ten2__res500__reset50__noepr__global__per_operation,coherence_aware,8,2,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0003569303985722,1.0017846519928615,0.0,0.02782081194587026,0.01264582361175918,0.09677788147456833,0.0,0.13724451703219775,0.0,,0,0,0,0.9011615494493965,0.708500568221984,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__coherence_aware__cq8__ten3__res500__reset50__noepr__global__per_operation,coherence_aware,8,3,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,1.0003567184446538,1.0017846519928615,0.0,0.03097431142904143,0.01407923246774608,0.11613574704417665,0.0,0.16118929094096415,0.0,,0,0,0,0.804958020709733,0.7313298487003626,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__coherence_aware__cq8__ten4__res500__reset50__noepr__global__per_operation,coherence_aware,8,4,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0003567184446538,1.0017846519928615,0.0,0.03507881738745477,0.015944916994297585,0.138993378059536,0.0,0.19001711244128835,0.0,,0,0,0,0.7677149113724713,0.6511775229382365,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__coherence_aware__cq8__ten8__res500__reset50__noepr__global__per_operation,coherence_aware,8,8,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10555555555555556,0.0,0.0,0.0,0.0,0.0,1.0017888893310796,1.0120141342756184,0.0,0.0536618559197111,0.024391752690777754,0.23497299573042235,0.0,0.3130266043409112,0.0,,0,0,0,0.7482382334044941,0.49203713811306654,1.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq1__ten2__res500__reset50__noepr__global__per_operation,fair_share,1,2,500,50,False,global,per_operation,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.27701265358518246,0.1531684554363042,0.06962202519832004,0.473560429304713,0.0,0.6963509099393372,0.0,,0,0,0,0.8677455078443082,0.5013972960058183,0.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq1__ten3__res500__reset50__noepr__global__per_operation,fair_share,1,3,500,50,False,global,per_operation,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.31288576824430164,0.15908252101673748,0.07231023682578974,0.46675420980251386,0.0,0.6981469676450411,0.0,,0,0,0,0.7331190401266079,0.3397537802199882,0.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq1__ten4__res500__reset50__noepr__global__per_operation,fair_share,1,4,500,50,False,global,per_operation,15,0,1.0,0.0,0.008333333333333333,0.008333333333333333,0.0,0.0,0.008333333333333333,0.008333333333333333,-5.104166666666667,5.104166666666667,245.0,-5.104166666666667,5.104166666666667,,,0.35041307353831075,0.1622136139978336,0.07373346090810616,0.46175368092670827,0.0,0.6977007558326479,0.0,,0,0,0,0.6549250712620982,0.2526489307471025,0.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq1__ten8__res500__reset50__noepr__global__per_operation,fair_share,1,8,500,50,False,global,per_operation,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.49027311598769757,0.16481276759235358,0.07491489436016069,0.45104601671892314,0.0,0.6907736786714374,0.0,,0,0,0,0.4748191357084556,0.14566588698141597,0.0,
core_policy_capacity_tenancy,core_policy_capacity_tenancy__fair_share__cq2__ten2__res500__reset50__noepr__global__per_operation,fair_share,2,2,500,50,False,global,per_operation,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30833333333333335,0.0,0.0,0.0,0.0,0.0,1.0992059005155985,1.2503008423586042,0.0,0.11128324778348107,0.0505832944470368,0.3955949603359776,0.0,0.5574615025664954,0.0,,0,0,0,0.9011615494493965,0.5011969625105086,1.0,
