subexperiment,allocation_policy,trial_count,successful_victim_trial_count,victim_failure_rate,mean_positive_delay_detection_probability,mean_negative_speedup_detection_probability,mean_signed_timing_change_probability,mean_failure_only_detection_probability,mean_delay_or_failure_detection_probability,mean_signed_timing_or_failure_detection_probability,mean_full_observable_change_probability,mean_signed_turnaround_change_ns,mean_absolute_turnaround_change_ns,mean_total_absolute_turnaround_change_ns,mean_signed_cq_queue_change_ns,mean_absolute_cq_queue_change_ns,mean_successful_victim_slowdown_ratio,max_successful_victim_slowdown_ratio,mean_request_failure_rate,mean_cq_service_utilization,mean_cq_reset_occupancy_fraction,mean_cq_reservation_occupancy_fraction,mean_cq_allocation_hold_fraction,mean_aggregate_resource_demand_nonphysical,fraction_aggregate_resource_demand_exceeds_one,mean_epr_unused_fraction,total_epr_prefetched_pairs,total_epr_used_pairs,total_epr_unused_pairs,mean_grant_fairness,mean_inverse_wait_fairness,successful_victim_trial_fraction,aggregate_epr_unused_fraction
core_policy_capacity_tenancy,coherence_aware,240,180,0.25,0.0,0.0014756944444444446,0.0014756944444444446,0.0,0.0,0.0014756944444444446,0.023524305555555555,-1.2756944444444445,1.2756944444444445,61.233333333333334,-1.2756944444444445,1.2756944444444445,1.0655899916658553,2.1379310344827585,0.09468552526298206,0.10204754674597041,0.046385248520895615,0.31084190398464834,0.0,0.4592746992515144,0.0,,0,0,0,0.7703411330085442,0.4096975428789441,0.75,
core_policy_capacity_tenancy,fair_share,240,170,0.2916666666666667,0.0,0.0005208333333333333,0.0005208333333333333,0.0,0.0,0.0005208333333333333,0.4327256944444445,-0.3190104166666667,0.3190104166666667,15.3125,-0.3190104166666667,0.3190104166666667,1.0498212077457276,1.7652173913043478,0.09752296026504995,0.10172027858525813,0.046236490266026394,0.3580540834558778,0.0,0.5060108523071623,0.0,,0,0,0,0.7751117555813872,0.38409238408200275,0.7083333333333334,
core_policy_capacity_tenancy,first_available,240,177,0.2625,0.00026041666666666666,0.00026041666666666666,0.0005208333333333333,0.0,0.00026041666666666666,0.0005208333333333333,0.5271701388888889,-0.08289930555555555,0.12335069444444445,5.920833333333333,-0.08289930555555555,0.12335069444444445,1.049571553384533,1.7652173913043478,0.09577391918897243,0.10206058708801453,0.04639117594909749,0.36286953585472753,0.0,0.5113212988918395,0.0,,0,0,0,0.7712930615759981,0.37392248624907415,0.7375,
core_policy_capacity_tenancy,per_tenant_reserved,240,192,0.2,0.0,0.0,0.0,0.25,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2756136708336589,0.0755894966244262,0.03435886210201188,0.21240554864361957,0.0,0.3223539073700577,0.0,,0,0,0,0.6051335501189192,0.5687512226316305,0.8,
core_policy_capacity_tenancy,predicted_demand,240,178,0.25833333333333336,0.002864583333333333,0.0006944444444444444,0.0035590277777777777,0.0,0.002864583333333333,0.0035590277777777777,0.007725694444444444,10.620659722222223,11.748090277777777,563.9083333333333,10.620659722222223,11.748090277777777,1.0494766297876739,1.6761904761904762,0.09620413707994428,0.10200389168209867,0.04636540531004482,0.31847186577769393,0.0,0.4668411627698374,0.0,,0,0,0,0.7683816012385651,0.40593992185552924,0.7416666666666667,
core_policy_capacity_tenancy,priority_allocation,240,182,0.24166666666666667,0.005815972222222223,0.0003472222222222222,0.006163194444444445,0.0,0.005815972222222223,0.006163194444444445,0.5120659722222222,15.911805555555556,16.250694444444445,780.0333333333333,15.911805555555556,16.250694444444445,1.0578385176285547,1.7684729064039408,0.09400477366506498,0.10226926132862176,0.04648602787664623,0.3619276747379612,0.0,0.5106829639432292,0.0,,0,0,0,0.7708904729323239,0.3818849852803215,0.7583333333333333,
core_policy_capacity_tenancy,random_allocation,240,176,0.26666666666666666,0.0,0.0011284722222222223,0.0011284722222222223,0.0,0.0,0.0011284722222222223,0.13958333333333334,-0.5801215277777777,0.5801215277777777,27.845833333333335,-0.5801215277777777,0.5801215277777777,1.0703246863538471,2.9458128078817736,0.09561875177028738,0.10209010024305823,0.04640459101957189,0.345392280614667,0.0,0.4938869718772971,0.0,,0,0,0,0.7705698472072676,0.38463121831324903,0.7333333333333333,
core_policy_capacity_tenancy,round_robin,240,178,0.25833333333333336,0.0,0.0004340277777777778,0.0004340277777777778,0.0,0.0,0.0004340277777777778,0.43697916666666664,-0.3263888888888889,0.3263888888888889,15.666666666666666,-0.3263888888888889,0.3263888888888889,1.060526750298982,1.7015717092337916,0.09507154266516195,0.1019943026999575,0.04636104668179884,0.35877541796595075,0.0,0.5071307673477071,0.0,,0,0,0,0.7701066322991453,0.3838513253147381,0.7416666666666667,
core_policy_capacity_tenancy,shared_global_pool,240,228,0.05,0.01623263888888889,0.0,0.01623263888888889,0.0,0.01623263888888889,0.01623263888888889,0.914236111111111,44.599131944444444,44.599131944444444,2140.758333333333,44.599131944444444,44.599131944444444,1.1613531702576962,2.815947242206235,0.017791219173764136,0.12867583265213986,0.05848901484188172,0.49539468103198914,0.0,0.6825595285260107,0.275,,0,0,0,0.8041370647214604,0.5319331054312931,0.95,
core_policy_capacity_tenancy,static_assignment,240,136,0.43333333333333335,0.0,0.0004340277777777778,0.0004340277777777778,0.0,0.0,0.0004340277777777778,0.0004340277777777778,-0.2248263888888889,0.2248263888888889,10.791666666666666,-0.2248263888888889,0.2248263888888889,1.0,1.0,0.134993532385893,0.09471138777364306,0.04305063080620137,0.2749864731106826,0.0,0.412748491690527,0.0,,0,0,0,0.7807292641714992,0.30949724756580116,0.5666666666666667,
