victim_instance_id,phase_index,phase_label,remote_active,start_ns,end_ns,duration_ns,schedule_signature
victim_0000,0,sparse_remote,1,0.0,2522.51865144427,2522.51865144427,b999fd99f5e33754
victim_0000,1,local_compute,0,2522.51865144427,6369.8343588148455,3847.3157073705756,b999fd99f5e33754
victim_0000,2,dense_remote,1,6369.8343588148455,8950.468580323257,2580.6342215084114,b999fd99f5e33754
victim_0000,3,sparse_remote,1,8950.468580323257,16848.42815676093,7897.959576437672,b999fd99f5e33754
victim_0000,4,synchronization_bursty,1,16848.42815676093,20000.0,3151.5718432390713,b999fd99f5e33754
victim_0001,0,sparse_remote,1,0.0,2790.0809255149798,2790.0809255149798,b5ecfce36cd7c63e
victim_0001,1,dense_remote,1,2790.0809255149798,5346.412674375486,2556.331748860506,b5ecfce36cd7c63e
victim_0001,2,local_compute,0,5346.412674375486,9999.025399623475,4652.612725247989,b5ecfce36cd7c63e
victim_0001,3,synchronization_bursty,1,9999.025399623475,12912.254333577226,2913.228933953751,b5ecfce36cd7c63e
victim_0001,4,local_compute,0,12912.254333577226,16270.633113856344,3358.3787802791176,b5ecfce36cd7c63e
victim_0001,5,synchronization_bursty,1,16270.633113856344,20000.0,3729.3668861436563,b5ecfce36cd7c63e
victim_0002,0,sparse_remote,1,0.0,4128.836103055568,4128.836103055568,1be91f37ee78a095
victim_0002,1,synchronization_bursty,1,4128.836103055568,8090.9366784642525,3962.1005754086846,1be91f37ee78a095
victim_0002,2,local_compute,0,8090.9366784642525,11252.308935390323,3161.372256926071,1be91f37ee78a095
victim_0002,3,dense_remote,1,11252.308935390323,14243.601544682242,2991.292609291919,1be91f37ee78a095
victim_0002,4,sparse_remote,1,14243.601544682242,20000.0,5756.398455317758,1be91f37ee78a095
victim_0003,0,local_compute,0,0.0,3184.1511702802213,3184.1511702802213,3422f6062b54f9fa
victim_0003,1,sparse_remote,1,3184.1511702802213,8137.308551850549,4953.157381570327,3422f6062b54f9fa
victim_0003,2,dense_remote,1,8137.308551850549,11766.900719130488,3629.5921672799395,3422f6062b54f9fa
victim_0003,3,sparse_remote,1,11766.900719130488,16533.76894948869,4766.868230358203,3422f6062b54f9fa
victim_0003,4,synchronization_bursty,1,16533.76894948869,20000.0,3466.231050511309,3422f6062b54f9fa
victim_0004,0,local_compute,0,0.0,3195.312992757064,3195.312992757064,21f41cf7676b5551
victim_0004,1,dense_remote,1,3195.312992757064,7349.961088063754,4154.648095306689,21f41cf7676b5551
victim_0004,2,local_compute,0,7349.961088063754,11831.287903889734,4481.32681582598,21f41cf7676b5551
victim_0004,3,sparse_remote,1,11831.287903889734,15469.1376451758,3637.849741286067,21f41cf7676b5551
victim_0004,4,synchronization_bursty,1,15469.1376451758,20000.0,4530.862354824199,21f41cf7676b5551
victim_0005,0,sparse_remote,1,0.0,2325.814881570932,2325.814881570932,32ec9a2802ee8938
victim_0005,1,dense_remote,1,2325.814881570932,4712.914433167959,2387.099551597027,32ec9a2802ee8938
victim_0005,2,local_compute,0,4712.914433167959,9548.466600336094,4835.552167168135,32ec9a2802ee8938
victim_0005,3,dense_remote,1,9548.466600336094,12536.559408046282,2988.092807710187,32ec9a2802ee8938
victim_0005,4,local_compute,0,12536.559408046282,16010.111611882203,3473.5522038359213,32ec9a2802ee8938
victim_0005,5,synchronization_bursty,1,16010.111611882203,20000.0,3989.888388117797,32ec9a2802ee8938
victim_0006,0,sparse_remote,1,0.0,3868.292651126604,3868.292651126604,a6d2b2d448bfed62
victim_0006,1,local_compute,0,3868.292651126604,8142.9548099510275,4274.662158824423,a6d2b2d448bfed62
victim_0006,2,sparse_remote,1,8142.9548099510275,10850.749623475784,2707.794813524756,a6d2b2d448bfed62
victim_0006,3,synchronization_bursty,1,10850.749623475784,13905.834588475289,3055.0849649995052,a6d2b2d448bfed62
victim_0006,4,dense_remote,1,13905.834588475289,20000.0,6094.165411524711,a6d2b2d448bfed62
victim_0007,0,synchronization_bursty,1,0.0,3237.6599544053965,3237.6599544053965,eae67e10c7e26316
victim_0007,1,sparse_remote,1,3237.6599544053965,8027.775370122328,4790.115415716931,eae67e10c7e26316
victim_0007,2,synchronization_bursty,1,8027.775370122328,12585.00067934516,4557.225309222831,eae67e10c7e26316
