protocol_context,model_name,model_variant,sample_count,accuracy,balanced_accuracy,macro_f1,macro_iou,remote_vs_local_accuracy,remote_vs_local_f1
direct_coherent_all_shared,logistic_regression,debounced_offline,1056,0.8106060606060606,0.8121039680973774,0.8150645843678949,0.6901638754497774,0.9327651515151515,0.9559279950341403
direct_coherent_all_shared,logistic_regression,raw_online,1056,0.7869318181818182,0.7898996213271006,0.7931190010938635,0.6615162192205748,0.9299242424242424,0.9539800995024875
direct_coherent_all_shared,random_forest,debounced_offline,1056,0.821969696969697,0.8261083201796989,0.8243538588741814,0.7031853059786528,0.9365530303030303,0.9582554517133957
direct_coherent_all_shared,random_forest,raw_online,1056,0.8191287878787878,0.8230728660757649,0.8216612053073217,0.6993098318801865,0.9346590909090909,0.9569557080474111
direct_coherent_all_shared,hist_gradient_boosting,debounced_offline,1056,0.8191287878787878,0.8230728660757649,0.8218911435803913,0.6997123201949256,0.9356060606060606,0.9576059850374065
direct_coherent_all_shared,hist_gradient_boosting,raw_online,1056,0.790719696969697,0.7945177801724138,0.7932358945802715,0.658843562673094,0.9147727272727273,0.9438202247191011
direct_coherent_all_shared,majority_baseline,raw_online,1056,0.2196969696969697,0.25,0.09006211180124224,0.054924242424242424,0.7575757575757576,0.8620689655172413
direct_coherent_all_shared,time_only_diagnostic,raw_online,1056,0.2935606060606061,0.2999446029626032,0.2941189865619189,0.17381774054647628,0.6022727272727273,0.7286821705426356
entanglement_assisted_all_shared,logistic_regression,debounced_offline,1056,0.5018939393939394,0.5230281879856726,0.501196475814296,0.37075482849151176,0.6647727272727273,0.7442196531791907
entanglement_assisted_all_shared,logistic_regression,raw_online,1056,0.4971590909090909,0.5180396088817387,0.49757736784854867,0.3671930083933181,0.6600378787878788,0.7404193781634129
entanglement_assisted_all_shared,random_forest,debounced_offline,1056,0.5075757575757576,0.5286176921442448,0.5091130767129985,0.375203485364065,0.6723484848484849,0.7532097004279601
entanglement_assisted_all_shared,random_forest,raw_online,1056,0.5037878787878788,0.5248992608669257,0.5042744050792676,0.36990537807508317,0.6676136363636364,0.7487473156764496
entanglement_assisted_all_shared,hist_gradient_boosting,debounced_offline,1056,0.5151515151515151,0.5360498118018455,0.5170193535763968,0.3816298080114715,0.6590909090909091,0.7398843930635838
entanglement_assisted_all_shared,hist_gradient_boosting,raw_online,1056,0.4981060606060606,0.5181401582989316,0.4996829907757476,0.3622540267487687,0.6496212121212122,0.7318840579710145
entanglement_assisted_all_shared,majority_baseline,raw_online,1056,0.2196969696969697,0.25,0.09006211180124224,0.054924242424242424,0.7575757575757576,0.8620689655172413
entanglement_assisted_all_shared,time_only_diagnostic,raw_online,1056,0.2935606060606061,0.2999446029626032,0.2941189865619189,0.17381774054647628,0.6022727272727273,0.7286821705426356
