subexperiment,configuration_id,allocation_policy,communication_qubits_per_module,tenants_sharing_module,reservation_duration_ns,reset_time_ns,epr_prefetch_enabled,allocation_coordination,allocation_granularity,trial_count,mean_cq_queue_delay_ns,mean_excess_cq_queue_delay_ns,mean_excess_latency_ns,mean_detection_probability,mean_balanced_detection_accuracy,mean_conflict_count,mean_request_failure_rate,mean_cq_utilization,mean_reset_utilization,mean_allocation_hold_utilization,mean_reservation_utilization,mean_effective_cq_utilization,mean_epr_wastage_fraction,mean_grant_fairness,mean_wait_fairness,mean_victim_slowdown_ratio,mean_allocation_change_probability,mean_redirected_endpoints
epr_coordination_granularity,epr_coordination_granularity__coherence_aware__cq2__ten4__res500__reset50__epr__global__per_job,coherence_aware,2,4,500,50,True,global,per_job,15,451.8333333333333,0.0,0.0,0.0,0.5,14194.266666666666,0.22201744813272326,0.08329804488282773,0.049037681808318495,0.0,0.47135446704145423,0.6036901937326005,0.17828820556375374,0.761124128846562,0.2759892336735585,0.8543323033099471,0.0,0.0
epr_coordination_granularity,epr_coordination_granularity__coherence_aware__cq2__ten4__res500__reset50__epr__global__per_layer,coherence_aware,2,4,500,50,True,global,per_layer,15,0.0,0.0,0.0,0.0,0.5,10290.466666666667,0.0,0.11508844144395029,0.06396765881119267,0.0,0.37657964844446246,0.5556357486996055,0.21139571974333296,0.7677149113724713,0.25293828113823025,1.2266143180784135,0.3611111111111111,0.0
epr_coordination_granularity,epr_coordination_granularity__coherence_aware__cq2__ten4__res500__reset50__epr__global__per_operation,coherence_aware,2,4,500,50,True,global,per_operation,15,0.0,0.0,0.0,0.0,0.5,10799.066666666668,0.0016339869281045752,0.11520052885765307,0.0637346538822333,0.0,0.4232784089265085,0.6022135916663949,0.21361197824058156,0.7661524211335099,0.25209397065642963,1.3019001872611817,0.36944444444444446,0.0
epr_coordination_granularity,epr_coordination_granularity__coherence_aware__cq2__ten4__res500__reset50__epr__local__per_job,coherence_aware,2,4,500,50,True,local,per_job,15,0.0,0.0,0.0,0.0,0.5,15153.0,0.2159320529775938,0.08214830918419755,0.04921544304906624,0.18140978779290873,0.45595161869363743,0.7687251587198101,0.21270569503357187,0.7380615928050375,0.2783375677662531,1.3863569449649467,0.0,0.0
epr_coordination_granularity,epr_coordination_granularity__coherence_aware__cq2__ten4__res500__reset50__epr__local__per_layer,coherence_aware,2,4,500,50,True,local,per_layer,15,0.0,0.0,0.0,0.0,0.5,9200.133333333333,0.0,0.11644105239022814,0.06482879900205478,0.0690580228566204,0.3848786024787094,0.6352064767276128,0.25724110427650765,0.7677149113724713,0.25278344432729366,1.206258469567685,0.49166666666666664,0.0
epr_coordination_granularity,epr_coordination_granularity__coherence_aware__cq2__ten4__res500__reset50__epr__local__per_operation,coherence_aware,2,4,500,50,True,local,per_operation,15,0.0,0.0,0.0,0.0,0.5,10876.133333333333,0.005825163398692811,0.11464746463258634,0.06369692373257826,0.07263619393630542,0.44214149179453466,0.6931220740960047,0.2557799995643806,0.762005938512588,0.2516853969491201,1.214841512802207,0.4263888888888889,0.0
epr_coordination_granularity,epr_coordination_granularity__coherence_aware__cq2__ten4__res500__reset50__noepr__global__per_job,coherence_aware,2,4,500,50,False,global,per_job,15,0.0,0.0,0.0,0.0,0.5,12451.6,0.20689628119087322,0.11145457206914894,0.05066116912234043,0.0,0.44945268428014096,0.6115684254716303,0.0,0.7255269629066793,0.28813978114832106,0.9089043065556672,0.0,0.0
epr_coordination_granularity,epr_coordination_granularity__coherence_aware__cq2__ten4__res500__reset50__noepr__global__per_layer,coherence_aware,2,4,500,50,False,global,per_layer,15,0.0,0.0,0.0,0.0,0.5,8647.666666666666,0.0,0.14177101214275525,0.06444136915579785,0.0,0.3746140568704393,0.5808264381689925,0.0,0.7677149113724713,0.252667950408365,1.1967033418608872,0.1375,0.0
epr_coordination_granularity,epr_coordination_granularity__coherence_aware__cq2__ten4__res500__reset50__noepr__global__per_operation,coherence_aware,2,4,500,50,False,global,per_operation,15,1.1861111111111111,0.0,0.0,0.0,0.5,9486.933333333332,0.004575163398692811,0.14057622887013776,0.06389828585006262,0.0,0.4073627123426931,0.6118372270628936,0.0,0.7633060480139543,0.2538564257593883,1.2371865134670825,0.1638888888888889,0.0
epr_coordination_granularity,epr_coordination_granularity__coherence_aware__cq2__ten4__res500__reset50__noepr__local__per_job,coherence_aware,2,4,500,50,False,local,per_job,15,0.0,0.0,0.0,0.0,0.5,13722.6,0.23470143697752807,0.10534942474231772,0.047886102155598964,0.20362739988369402,0.46123350880769876,0.8180964355893094,0.0,0.7406355103791146,0.28658183821466554,2.5468483455274624,0.01388888888888889,0.0
