qaoa_label,num_qubits,profile_name,trial_id,attacker_request_id,probe_id,window_name,observation_duration_ns,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed,raw_excess_turnaround_time_ns,raw_excess_waiting_time_ns,detection_threshold_ns
qaoa_n5,5,clean,0,27,27,qaoa_n5_clean,20000,12340,12370,12370,12370,12480.0,110,0.0,110.0,module_3,module_4,44,0.0,110.0,12480.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n5,5,clean,0,28,28,qaoa_n5_clean,20000,12760,12790,12790,12790,12900.0,110,0.0,110.0,module_3,module_4,45,0.0,110.0,12900.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n5,5,clean,0,29,29,qaoa_n5_clean,20000,13180,13210,13210,13210,13320.0,110,0.0,110.0,module_3,module_4,46,0.0,110.0,13320.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n5,5,clean,0,30,30,qaoa_n5_clean,20000,13600,13630,13630,13630,13740.0,110,0.0,110.0,module_3,module_4,47,0.0,110.0,13740.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n5,5,clean,0,31,31,qaoa_n5_clean,20000,14020,14050,14050,14050,14160.0,110,0.0,110.0,module_3,module_4,48,0.0,110.0,14160.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n5,5,clean,0,32,32,qaoa_n5_clean,20000,14440,14470,14470,14470,14580.0,110,0.0,110.0,module_3,module_4,49,0.0,110.0,14580.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n5,5,clean,0,33,33,qaoa_n5_clean,20000,14860,14890,14890,14890,15000.0,110,0.0,110.0,module_3,module_4,50,0.0,110.0,15000.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n5,5,clean,0,34,34,qaoa_n5_clean,20000,15280,15310,15310,15310,15420.0,110,0.0,110.0,module_3,module_4,51,0.0,110.0,15420.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n5,5,clean,0,35,35,qaoa_n5_clean,20000,15700,15730,15730,15730,15840.0,110,0.0,110.0,module_3,module_4,52,0.0,110.0,15840.0,0.0,0.0,False,0.0,0.0,0.0
qaoa_n5,5,clean,0,36,36,qaoa_n5_clean,20000,16120,16150,16150,16150,16260.0,110,0.0,110.0,module_3,module_4,53,0.0,110.0,16260.0,0.0,0.0,False,0.0,0.0,0.0
