qaoa_label,qaoa_n5,qaoa_n6,qaoa_n7,qaoa_n8,qaoa_n9,qaoa_n10,qaoa_n11,qaoa_n12,qaoa_n13,qaoa_n14,qaoa_n15
qaoa_n5,0.0,121.25,114.375,109.79166666666667,276.4583333333333,191.25,365.0,114.16666666666667,346.6666666666667,360.4166666666667,467.0833333333333
qaoa_n6,121.25,0.0,6.875,11.458333333333334,168.95833333333334,92.91666666666667,266.6666666666667,43.75,253.33333333333334,267.0833333333333,368.75
qaoa_n7,114.375,6.875,0.0,4.583333333333333,162.08333333333334,86.04166666666667,259.7916666666667,36.875,246.45833333333334,260.2083333333333,361.875
qaoa_n8,109.79166666666667,11.458333333333334,4.583333333333333,0.0,166.66666666666666,81.45833333333333,255.20833333333334,32.291666666666664,241.875,255.625,357.2916666666667
qaoa_n9,276.4583333333333,168.95833333333334,162.08333333333334,166.66666666666666,0.0,103.54166666666667,102.70833333333333,198.95833333333334,121.04166666666667,134.79166666666666,213.95833333333334
qaoa_n10,191.25,92.91666666666667,86.04166666666667,81.45833333333333,103.54166666666667,0.0,182.91666666666666,95.41666666666667,182.91666666666666,187.5,275.8333333333333
qaoa_n11,365.0,266.6666666666667,259.7916666666667,255.20833333333334,102.70833333333333,182.91666666666666,0.0,278.3333333333333,18.333333333333332,32.083333333333336,111.25
qaoa_n12,114.16666666666667,43.75,36.875,32.291666666666664,198.95833333333334,95.41666666666667,278.3333333333333,0.0,260.0,246.25,371.25
qaoa_n13,346.6666666666667,253.33333333333334,246.45833333333334,241.875,121.04166666666667,182.91666666666666,18.333333333333332,260.0,0.0,13.75,120.41666666666667
qaoa_n14,360.4166666666667,267.0833333333333,260.2083333333333,255.625,134.79166666666666,187.5,32.083333333333336,246.25,13.75,0.0,125.0
qaoa_n15,467.0833333333333,368.75,361.875,357.2916666666667,213.95833333333334,275.8333333333333,111.25,371.25,120.41666666666667,125.0,0.0
