protocol_context,protocol_name,scenario_id,shared_resources,nominal_critical_latency_ns,postcompletion_cleanup_ns,uses_epr
direct_coherent_all_shared,direct_coherent_remote_cx,direct_coherent_remote_cx__all_used_shared,endpoint+quantum_link+reset+switch_path,150.0,120.0,False
entanglement_assisted_all_shared,entanglement_assisted_remote_cx,entanglement_assisted_remote_cx__all_used_shared,endpoint+epr_generator+epr_pool+feedforward+quantum_link+readout+reset,150.0,120.0,True
