protocol_context,activity_class,trace_count,mean_excess_latency_ns,mean_absolute_timing_change_ns,delayed_probe_fraction,cumulative_positive_excess_ns,maximum_excess_latency_ns,longest_delayed_run
direct_coherent_all_shared,bursty_remote,36,4266.197756666992,4266.197756666992,0.9791666666666666,204777.4923200156,8247.623950071253,47.0
direct_coherent_all_shared,heavy_remote,36,2422.577747081528,2422.577747081528,0.9791666666666666,116283.73185991333,4835.292167232199,47.0
direct_coherent_all_shared,local_only,36,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_all_shared,moderate_remote,36,317.9246741456867,317.9246741456867,0.9114583333333334,15260.384358992962,655.3845399531828,35.111111111111114
direct_coherent_all_shared,no_victim,36,0.0,0.0,0.0,0.0,0.0,0.0
direct_coherent_all_shared,sparse_remote,36,59.00343485077013,59.00343485077013,0.45949074074074076,2832.164872836966,250.4082628797047,2.0
entanglement_assisted_all_shared,bursty_remote,36,925.8985038504678,925.8985038504678,0.8917824074074073,44443.12818482245,1810.020472377653,34.25
entanglement_assisted_all_shared,heavy_remote,36,4.417024711402741,4.417024711402741,0.125,212.01718614733153,52.05894384172856,2.361111111111111
entanglement_assisted_all_shared,local_only,36,0.0,0.0,0.0,0.0,0.0,0.0
entanglement_assisted_all_shared,moderate_remote,36,3.1968317811529636,3.1968317811529636,0.09837962962962962,153.44792549534225,53.911137148439366,1.0
entanglement_assisted_all_shared,no_victim,36,0.0,0.0,0.0,0.0,0.0,0.0
entanglement_assisted_all_shared,sparse_remote,36,2.101128364641666,2.101128364641666,0.05844907407407407,100.85416150279997,50.91632468043476,0.9444444444444444
