probe_path,attacker_knows_path,path_specific_resources,common_cross_path_resources
probe_path_0,True,endpoint::probe_path_0|switch_path::probe_path_0|quantum_link::probe_path_0|receiver_gate::probe_path_0|correction::probe_path_0|gate_interaction::probe_path_0|gate_correction::probe_path_0|state_load::probe_path_0|state_reconstruct::probe_path_0,epr_generator|readout|feedforward|reset|distillation
probe_path_1,True,endpoint::probe_path_1|switch_path::probe_path_1|quantum_link::probe_path_1|receiver_gate::probe_path_1|correction::probe_path_1|gate_interaction::probe_path_1|gate_correction::probe_path_1|state_load::probe_path_1|state_reconstruct::probe_path_1,epr_generator|readout|feedforward|reset|distillation
probe_path_2,True,endpoint::probe_path_2|switch_path::probe_path_2|quantum_link::probe_path_2|receiver_gate::probe_path_2|correction::probe_path_2|gate_interaction::probe_path_2|gate_correction::probe_path_2|state_load::probe_path_2|state_reconstruct::probe_path_2,epr_generator|readout|feedforward|reset|distillation
