base_schedule_id,repeat_id,schedule_profile,victim_request_index,route_path,release_ns
base_0001,1,dense_periodic,8,probe_path_1,3902.9397415438325
base_0001,1,dense_periodic,9,probe_path_2,4345.909750924108
base_0001,1,dense_periodic,10,probe_path_0,4786.892688515417
base_0001,1,dense_periodic,11,probe_path_1,5238.014524345642
base_0001,1,dense_periodic,12,probe_path_2,5676.985223410261
base_0001,1,dense_periodic,13,probe_path_0,6121.936906936672
base_0001,1,dense_periodic,14,probe_path_1,6573.409127830524
base_0001,1,dense_periodic,15,probe_path_2,7018.160801847879
base_0001,1,dense_periodic,16,probe_path_0,7462.787495953695
base_0001,1,dense_periodic,17,probe_path_1,7909.149829370083
base_0001,1,dense_periodic,18,probe_path_2,8351.434772246788
base_0001,1,dense_periodic,19,probe_path_0,8795.820684949336
base_0001,1,dense_periodic,20,probe_path_1,9244.544067432966
base_0001,1,dense_periodic,21,probe_path_2,9685.382156419364
base_0001,1,dense_periodic,22,probe_path_0,10128.845987109398
base_0001,1,dense_periodic,23,probe_path_1,10572.58685012087
base_0001,1,dense_periodic,24,probe_path_2,11024.648097325802
base_0001,1,dense_periodic,25,probe_path_0,11468.394729112248
base_0001,1,dense_periodic,26,probe_path_1,11912.680553416332
base_0001,1,dense_periodic,27,probe_path_2,12359.386653571937
base_0001,1,dense_periodic,28,probe_path_0,12805.763842035127
base_0001,1,dense_periodic,29,probe_path_1,13249.719975318245
base_0001,1,dense_periodic,30,probe_path_2,13688.04223792892
base_0001,1,dense_periodic,31,probe_path_0,14137.432309770878
base_0001,1,dense_periodic,32,probe_path_1,14585.117971742613
base_0001,1,dense_periodic,33,probe_path_2,15026.255949760467
base_0001,1,dense_periodic,34,probe_path_0,15475.18514709793
base_0001,1,dense_periodic,35,probe_path_1,15921.24350870832
base_0001,1,dense_periodic,36,probe_path_2,16361.523252400275
base_0001,1,dense_periodic,37,probe_path_0,16807.802335482305
base_0001,1,dense_periodic,38,probe_path_1,17256.051256990486
base_0001,1,dense_periodic,39,probe_path_2,17701.486265561114
base_0001,1,dense_periodic,40,probe_path_0,18146.866715022334
base_0001,1,dense_periodic,41,probe_path_1,18587.316201141657
base_0001,1,dense_periodic,42,probe_path_2,19036.390927736873
base_0001,1,dense_periodic,43,probe_path_0,19480.816711571068
base_0001,1,dense_periodic,44,probe_path_1,19926.813444630243
base_0002,0,synchronization_bursty,0,probe_path_2,312.54853693919966
base_0002,0,synchronization_bursty,1,probe_path_0,398.3788969443599
base_0002,0,synchronization_bursty,2,probe_path_1,482.268371337613
base_0002,0,synchronization_bursty,3,probe_path_2,1813.814201035515
base_0002,0,synchronization_bursty,4,probe_path_0,1893.7322786660843
base_0002,0,synchronization_bursty,5,probe_path_1,1983.288173919838
base_0002,0,synchronization_bursty,6,probe_path_2,3308.462152871904
base_0002,0,synchronization_bursty,7,probe_path_0,3392.856914150962
base_0002,0,synchronization_bursty,8,probe_path_1,3482.4000637962276
base_0002,0,synchronization_bursty,9,probe_path_2,4809.957855311714
base_0002,0,synchronization_bursty,10,probe_path_0,4892.203054545549
base_0002,0,synchronization_bursty,11,probe_path_1,4983.035677859398
base_0002,0,synchronization_bursty,12,probe_path_2,6309.602328575526
base_0002,0,synchronization_bursty,13,probe_path_0,6394.103673348658
base_0002,0,synchronization_bursty,14,probe_path_1,6479.942661740731
base_0002,0,synchronization_bursty,15,probe_path_2,7807.999132143227
base_0002,0,synchronization_bursty,16,probe_path_0,7893.634707674153
