task_name,model_name,true_label,predicted_label,count,true_normalized_fraction
distillation_depth_inference,logistic_regression,distill_0,distill_0,23,0.6388888888888888
distillation_depth_inference,logistic_regression,distill_0,distill_1,13,0.3611111111111111
distillation_depth_inference,logistic_regression,distill_0,distill_2,0,0.0
distillation_depth_inference,logistic_regression,distill_1,distill_0,15,0.4166666666666667
distillation_depth_inference,logistic_regression,distill_1,distill_1,7,0.19444444444444445
distillation_depth_inference,logistic_regression,distill_1,distill_2,14,0.3888888888888889
distillation_depth_inference,logistic_regression,distill_2,distill_0,5,0.1388888888888889
distillation_depth_inference,logistic_regression,distill_2,distill_1,5,0.1388888888888889
distillation_depth_inference,logistic_regression,distill_2,distill_2,26,0.7222222222222222
distillation_depth_inference,random_forest,distill_0,distill_0,26,0.7222222222222222
distillation_depth_inference,random_forest,distill_0,distill_1,10,0.2777777777777778
distillation_depth_inference,random_forest,distill_0,distill_2,0,0.0
distillation_depth_inference,random_forest,distill_1,distill_0,14,0.3888888888888889
distillation_depth_inference,random_forest,distill_1,distill_1,15,0.4166666666666667
distillation_depth_inference,random_forest,distill_1,distill_2,7,0.19444444444444445
distillation_depth_inference,random_forest,distill_2,distill_0,5,0.1388888888888889
distillation_depth_inference,random_forest,distill_2,distill_1,6,0.16666666666666666
distillation_depth_inference,random_forest,distill_2,distill_2,25,0.6944444444444444
distillation_depth_inference,hist_gradient_boosting,distill_0,distill_0,24,0.6666666666666666
distillation_depth_inference,hist_gradient_boosting,distill_0,distill_1,11,0.3055555555555556
distillation_depth_inference,hist_gradient_boosting,distill_0,distill_2,1,0.027777777777777776
distillation_depth_inference,hist_gradient_boosting,distill_1,distill_0,13,0.3611111111111111
distillation_depth_inference,hist_gradient_boosting,distill_1,distill_1,14,0.3888888888888889
distillation_depth_inference,hist_gradient_boosting,distill_1,distill_2,9,0.25
distillation_depth_inference,hist_gradient_boosting,distill_2,distill_0,4,0.1111111111111111
distillation_depth_inference,hist_gradient_boosting,distill_2,distill_1,3,0.08333333333333333
distillation_depth_inference,hist_gradient_boosting,distill_2,distill_2,29,0.8055555555555556
protocol_inference,logistic_regression,direct_transfer,direct_transfer,36,1.0
protocol_inference,logistic_regression,direct_transfer,on_demand_epr,0,0.0
protocol_inference,logistic_regression,direct_transfer,prefetched_epr,0,0.0
protocol_inference,logistic_regression,direct_transfer,teledata,0,0.0
protocol_inference,logistic_regression,direct_transfer,telegate,0,0.0
protocol_inference,logistic_regression,on_demand_epr,direct_transfer,4,0.1111111111111111
protocol_inference,logistic_regression,on_demand_epr,on_demand_epr,19,0.5277777777777778
protocol_inference,logistic_regression,on_demand_epr,prefetched_epr,10,0.2777777777777778
protocol_inference,logistic_regression,on_demand_epr,teledata,2,0.05555555555555555
protocol_inference,logistic_regression,on_demand_epr,telegate,1,0.027777777777777776
protocol_inference,logistic_regression,prefetched_epr,direct_transfer,7,0.19444444444444445
protocol_inference,logistic_regression,prefetched_epr,on_demand_epr,3,0.08333333333333333
protocol_inference,logistic_regression,prefetched_epr,prefetched_epr,15,0.4166666666666667
protocol_inference,logistic_regression,prefetched_epr,teledata,6,0.16666666666666666
protocol_inference,logistic_regression,prefetched_epr,telegate,5,0.1388888888888889
protocol_inference,logistic_regression,teledata,direct_transfer,3,0.08333333333333333
protocol_inference,logistic_regression,teledata,on_demand_epr,3,0.08333333333333333
protocol_inference,logistic_regression,teledata,prefetched_epr,17,0.4722222222222222
protocol_inference,logistic_regression,teledata,teledata,5,0.1388888888888889
protocol_inference,logistic_regression,teledata,telegate,8,0.2222222222222222
protocol_inference,logistic_regression,telegate,direct_transfer,5,0.1388888888888889
