trace_id,probe_index,release_ns,attacker_only_success,combined_success,attacker_only_completion_ns,combined_completion_ns,attacker_only_turnaround_ns,combined_turnaround_ns,excess_turnaround_ns,affected,speedup,failure_transition
isolated_on_demand::sparse_periodic::trial2,18,7590.0,True,True,7980.0,7980.0,390.0,390.0,0.0,False,False,False
isolated_on_demand::sparse_periodic::trial2,19,8010.0,True,True,8400.0,8400.0,390.0,390.0,0.0,False,False,False
isolated_on_demand::sparse_periodic::trial2,20,8430.0,True,True,8820.0,8820.0,390.0,390.0,0.0,False,False,False
isolated_on_demand::sparse_periodic::trial2,21,8850.0,True,True,9240.0,9240.0,390.0,390.0,0.0,False,False,False
isolated_on_demand::sparse_periodic::trial2,22,9270.0,True,True,9660.0,9660.0,390.0,390.0,0.0,False,False,False
isolated_on_demand::sparse_periodic::trial2,23,9690.0,True,True,10080.0,10080.0,390.0,390.0,0.0,False,False,False
isolated_on_demand::sparse_periodic::trial2,24,10110.0,True,True,10500.0,10500.0,390.0,390.0,0.0,False,False,False
isolated_on_demand::sparse_periodic::trial2,25,10530.0,True,True,10920.0,10920.0,390.0,390.0,0.0,False,False,False
isolated_on_demand::sparse_periodic::trial2,26,10950.0,True,True,11340.0,11340.0,390.0,390.0,0.0,False,False,False
isolated_on_demand::sparse_periodic::trial2,27,11370.0,True,True,11760.0,11760.0,390.0,390.0,0.0,False,False,False
isolated_on_demand::sparse_periodic::trial2,28,11790.0,True,True,12180.0,12180.0,390.0,390.0,0.0,False,False,False
isolated_on_demand::sparse_periodic::trial2,29,12210.0,True,True,12600.0,12600.0,390.0,390.0,0.0,False,False,False
isolated_on_demand::sparse_periodic::trial2,30,12630.0,True,True,13020.0,13020.0,390.0,390.0,0.0,False,False,False
isolated_on_demand::sparse_periodic::trial2,31,13050.0,True,True,13440.0,13440.0,390.0,390.0,0.0,False,False,False
isolated_on_demand::sparse_periodic::trial2,32,13470.0,True,True,13860.0,13860.0,390.0,390.0,0.0,False,False,False
isolated_on_demand::sparse_periodic::trial2,33,13890.0,True,True,14280.0,14280.0,390.0,390.0,0.0,False,False,False
isolated_on_demand::sparse_periodic::trial2,34,14310.0,True,True,14700.0,14700.0,390.0,390.0,0.0,False,False,False
isolated_on_demand::sparse_periodic::trial2,35,14730.0,True,True,15120.0,15120.0,390.0,390.0,0.0,False,False,False
isolated_on_demand::sparse_periodic::trial2,36,15150.0,True,True,15540.0,15540.0,390.0,390.0,0.0,False,False,False
isolated_on_demand::sparse_periodic::trial2,37,15570.0,True,True,15960.0,15960.0,390.0,390.0,0.0,False,False,False
isolated_on_demand::sparse_periodic::trial2,38,15990.0,True,True,16380.0,16380.0,390.0,390.0,0.0,False,False,False
