scenario_name,workload_name,run_kind,generation_attempts,successful_attempts,mean_queue_wait_ns,max_queue_wait_ns,cross_tenant_blocked_fraction,generation_success_rate
shared_on_demand_gen2,synchronization_bursty,victim_only,365,365,29.736615647773124,94.91692950063862,0.0,1.0
shared_prefetch_pool1,dense_periodic,attacker_only,480,480,0.0,0.0,0.0,1.0
shared_prefetch_pool1,dense_periodic,combined,863,863,344.9462360161648,960.0,0.27578215527230593,1.0
shared_prefetch_pool1,dense_periodic,victim_only,423,423,0.0,0.0,0.0,1.0
shared_prefetch_pool1,sparse_periodic,attacker_only,480,480,0.0,0.0,0.0,1.0
shared_prefetch_pool1,sparse_periodic,combined,700,700,0.0,0.0,0.0,1.0
shared_prefetch_pool1,sparse_periodic,victim_only,223,223,0.0,0.0,0.0,1.0
shared_prefetch_pool1,synchronization_bursty,attacker_only,480,480,0.0,0.0,0.0,1.0
shared_prefetch_pool1,synchronization_bursty,combined,835,835,105.4139997780799,480.0,0.35449101796407184,1.0
shared_prefetch_pool1,synchronization_bursty,victim_only,363,363,29.900453750515677,94.91692950063862,0.0,1.0
shared_prefetch_pool2,dense_periodic,attacker_only,480,480,0.0,0.0,0.0,1.0
shared_prefetch_pool2,dense_periodic,combined,856,856,283.59030811110443,720.0,0.375,1.0
shared_prefetch_pool2,dense_periodic,victim_only,423,423,0.0,0.0,0.0,1.0
shared_prefetch_pool2,sparse_periodic,attacker_only,480,480,0.0,0.0,0.0,1.0
shared_prefetch_pool2,sparse_periodic,combined,703,703,53.80035637181718,238.69928071253707,0.49786628733997157,1.0
shared_prefetch_pool2,sparse_periodic,victim_only,333,333,0.5890567473003504,152.31796098999098,0.009009009009009009,1.0
shared_prefetch_pool2,synchronization_bursty,attacker_only,480,480,0.0,0.0,0.0,1.0
shared_prefetch_pool2,synchronization_bursty,combined,836,836,113.11602849299945,240.0,0.27392344497607657,1.0
shared_prefetch_pool2,synchronization_bursty,victim_only,365,365,55.300785249076014,170.5684546177472,0.0,1.0
shared_prefetch_pool2_gen2,dense_periodic,attacker_only,480,480,0.0,0.0,0.0,1.0
shared_prefetch_pool2_gen2,dense_periodic,combined,903,903,0.0,0.0,0.5359911406423035,1.0
shared_prefetch_pool2_gen2,dense_periodic,victim_only,423,423,0.0,0.0,0.0,1.0
shared_prefetch_pool2_gen2,sparse_periodic,attacker_only,480,480,0.0,0.0,0.0,1.0
shared_prefetch_pool2_gen2,sparse_periodic,combined,703,703,0.0,0.0,0.3613086770981508,1.0
shared_prefetch_pool2_gen2,sparse_periodic,victim_only,333,333,0.0,0.0,0.006006006006006006,1.0
shared_prefetch_pool2_gen2,synchronization_bursty,attacker_only,480,480,0.0,0.0,0.0,1.0
shared_prefetch_pool2_gen2,synchronization_bursty,combined,843,843,0.0,0.0,0.3309608540925267,1.0
shared_prefetch_pool2_gen2,synchronization_bursty,victim_only,466,466,0.0,0.0,0.22103004291845493,1.0
shared_prefetch_short_lifetime,dense_periodic,attacker_only,720,720,51.25,240.0,0.0,1.0
shared_prefetch_short_lifetime,dense_periodic,combined,860,860,304.2943199960842,920.0,0.3511627906976744,1.0
shared_prefetch_short_lifetime,dense_periodic,victim_only,706,706,50.96373598767147,240.0,0.3909348441926346,1.0
shared_prefetch_short_lifetime,sparse_periodic,attacker_only,720,720,51.25,240.0,0.0,1.0
shared_prefetch_short_lifetime,sparse_periodic,combined,787,787,81.73156294771577,240.0,0.397712833545108,1.0
shared_prefetch_short_lifetime,sparse_periodic,victim_only,709,709,30.309586729921712,240.0,0.22143864598025387,1.0
shared_prefetch_short_lifetime,synchronization_bursty,attacker_only,720,720,51.25,240.0,0.0,1.0
shared_prefetch_short_lifetime,synchronization_bursty,combined,836,836,113.9008372056128,380.0,0.2799043062200957,1.0
shared_prefetch_short_lifetime,synchronization_bursty,victim_only,723,723,50.44862599408723,240.0,0.16044260027662519,1.0
shared_prefetch_unreliable_generation,dense_periodic,attacker_only,648,479,13.333333333333334,180.0,0.0,0.7391975308641975
shared_prefetch_unreliable_generation,dense_periodic,combined,1151,850,347.8137770100742,1620.0,0.2745438748913988,0.738488271068636
shared_prefetch_unreliable_generation,dense_periodic,victim_only,568,423,5.560533473656079,180.0,0.0,0.7447183098591549
shared_prefetch_unreliable_generation,sparse_periodic,attacker_only,622,480,9.453376205787782,180.0,0.0,0.7717041800643086
shared_prefetch_unreliable_generation,sparse_periodic,combined,934,700,68.28583112337293,318.39692325204305,0.30406852248394006,0.7494646680942184
shared_prefetch_unreliable_generation,sparse_periodic,victim_only,432,331,6.761945072433325,180.0,0.03935185185185185,0.7662037037037037
shared_prefetch_unreliable_generation,synchronization_bursty,attacker_only,642,480,12.336448598130842,180.0,0.0,0.7476635514018691
shared_prefetch_unreliable_generation,synchronization_bursty,combined,1096,827,173.214588091109,1080.0,0.22445255474452555,0.7545620437956204
shared_prefetch_unreliable_generation,synchronization_bursty,victim_only,558,412,66.61666332952461,180.00000000000045,0.08602150537634409,0.7383512544802867
strict_reserved_pool1_shared_generator,dense_periodic,attacker_only,550,550,43.63636363636363,240.0,0.23636363636363636,1.0
strict_reserved_pool1_shared_generator,dense_periodic,combined,793,793,123.42777359139255,240.0,0.8461538461538461,1.0
strict_reserved_pool1_shared_generator,dense_periodic,victim_only,552,552,29.92634034813709,238.21132223812492,0.23550724637681159,1.0
strict_reserved_pool1_shared_generator,sparse_periodic,attacker_only,550,550,43.63636363636363,240.0,0.23636363636363636,1.0
strict_reserved_pool1_shared_generator,sparse_periodic,combined,673,673,55.2202352397138,238.69928071253707,0.5200594353640416,1.0
strict_reserved_pool1_shared_generator,sparse_periodic,victim_only,353,353,35.11084409244983,227.07523338269266,0.11898016997167139,1.0
strict_reserved_pool1_shared_generator,synchronization_bursty,attacker_only,550,550,43.63636363636363,240.0,0.23636363636363636,1.0
strict_reserved_pool1_shared_generator,synchronization_bursty,combined,603,603,56.611026115636086,240.0,0.3582089552238806,1.0
strict_reserved_pool1_shared_generator,synchronization_bursty,victim_only,331,331,19.142558811102948,219.93072514995856,0.0755287009063444,1.0
