scenario_name,sample_count,accuracy,mean_nearest_distance,chance_accuracy
isolated_on_demand,30,0.3333333333333333,0.0,0.3333333333333333
reserved_pool1_dedicated_generators,30,0.3333333333333333,0.0,0.3333333333333333
reserved_pool1_shared_generator,30,1.0,0.39701223403855496,0.3333333333333333
shared_buffer4_lowwater1,30,0.9333333333333333,0.21161381867231469,0.3333333333333333
shared_on_demand_gen1,30,1.0,0.2415000723146954,0.3333333333333333
shared_on_demand_gen2,30,0.6666666666666666,0.09392469434457867,0.3333333333333333
shared_prefetch_pool1,30,1.0,0.43544277563894723,0.3333333333333333
shared_prefetch_pool2,30,1.0,0.32306861623340305,0.3333333333333333
shared_prefetch_pool2_gen2,30,0.6666666666666666,0.09392469434457852,0.3333333333333333
shared_prefetch_short_lifetime,30,1.0,0.6402283117499523,0.3333333333333333
shared_prefetch_unreliable_generation,30,0.7,3.405322182261678,0.3333333333333333
strict_reserved_pool1_shared_generator,30,0.9333333333333333,0.20915493060074747,0.3333333333333333
